column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.053	3	B Cells	Best4+ Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Best4+ Enterocytes	CD96	NECTIN1	0.004	3	B Cells	Best4+ Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.023	3	B Cells	Best4+ Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.103	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	APP	CD74	0.03	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	APP	SORL1	0.078	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	APP	TNFRSF21	0.04	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	APLP2	PIGR	1.265	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	APOA1	ABCA1	0.409	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	LRPAP1	SORT1	0.037	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	CCL25	CCR9	0.121	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	LGALS3	MERTK	0.074	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	GAS6	MERTK	0.068	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	WNT2B	FRZB	0.011	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	ALCAM	CD6	0.053	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	CD99	PILRA	0.005	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|CD8	PPIA	BSG	0.075	14	B Cells	CD8	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.103	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.018	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.052	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.052	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.017	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.829	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.523	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.049	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.213	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.208	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.05	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN3	PVR	0.009	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.021	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.012	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.028	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.023	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.08	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.123	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 2	PPIA	BSG	0.039	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.064	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APP	PLXNA4	0.029	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PLXNA4	0.034	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.318	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.45	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	LGALS3	MERTK	0.05	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	GAS6	MERTK	0.045	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTH1	SCARA5	0.153	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTL	SCARA5	0.111	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM564.DSPG.945_reg001
B Cells|CyclingTA 1	APP	CD74	0.021	2	B Cells	CyclingTA 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.047	2	B Cells	CyclingTA 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.123	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	APP	CD74	0.107	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	APLP2	PIGR	1.839	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	LRPAP1	SORT1	0.028	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	LGALS3	MERTK	0.06	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	GAS6	MERTK	0.055	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	SST	SSTR2	0.096	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	CD96	NECTIN1	0.48	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|D Cells	PPIA	BSG	0.044	9	B Cells	D Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	NECTIN3	0.074	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	TIGIT	0.095	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN3	TIGIT	0.071	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	CD74	0.227	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	SORL1	0.028	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	TNFRSF21	0.02	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	APLP2	PIGR	0.686	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	HEBP1	FPR3	0.011	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	APOA1	ABCA1	0.387	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	LRPAP1	SORT1	0.115	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	CCL25	ACKR4	0.056	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	GAS6	TYRO3	0.044	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	TAC3	TACR1	0.02	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	WNT2B	FRZB	0.066	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	WNT2B	SFRP5	0.012	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	ALCAM	CD6	0.02	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-CD36+ Microvascular	PPIA	BSG	0.023	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	NECTIN2	NECTIN3	0.101	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	APP	CD74	0.032	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	APP	PLXNA4	0.132	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	APLP2	PLXNA4	0.137	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	APP	SORL1	0.021	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	APLP2	PIGR	0.993	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	APOA1	ABCA1	0.401	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	LRPAP1	SORT1	0.066	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	GAS6	AXL	0.04	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	NECTIN3	PVR	0.013	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	CD24	SELP	0.126	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	TAC3	TACR1	0.039	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	TAC3	TACR2	0.111	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Endothelial-Venules	PPIA	BSG	0.029	14	B Cells	Endothelial-Venules	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	NECTIN2	NECTIN3	0.32	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	APP	CD74	0.112	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	APP	SORL1	0.093	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	APLP2	PIGR	1.194	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	APOA1	ABCA1	0.424	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	LRPAP1	SORT1	0.121	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	LGALS3	MERTK	0.056	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	GAS6	MERTK	0.051	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	GAS6	AXL	0.051	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	MDK	ALK	0.054	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	SST	SSTR2	0.082	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	WNT2B	SFRP5	0.046	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterochromaffin	PPIA	BSG	0.041	13	B Cells	Enterochromaffin	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	NECTIN2	NECTIN3	0.036	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	APP	CD74	0.025	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	APP	PLXNA4	0.018	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	APLP2	PLXNA4	0.023	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	APP	SORL1	0.017	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	APLP2	PIGR	0.135	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	LRPAP1	SORT1	0.006	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	WNT2B	SFRP5	0.01	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	CD96	NECTIN1	0.004	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	MST1	MST1R	0.008	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enterocytes	PPIA	BSG	0.022	11	B Cells	Enterocytes	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enteroendocrine	APLP2	PIGR	0.13	4	B Cells	Enteroendocrine	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enteroendocrine	WNT2B	FRZB	0.044	4	B Cells	Enteroendocrine	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enteroendocrine	CD96	NECTIN1	0.039	4	B Cells	Enteroendocrine	small_intestine	HBM564.DSPG.945_reg001
B Cells|Enteroendocrine	PPIA	BSG	0.057	4	B Cells	Enteroendocrine	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn	NECTIN2	NECTIN3	0.112	5	B Cells	EnteroendocrineUn	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn	APP	CD74	0.036	5	B Cells	EnteroendocrineUn	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn	APP	SORL1	0.036	5	B Cells	EnteroendocrineUn	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn	APLP2	PIGR	0.201	5	B Cells	EnteroendocrineUn	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn	NECTIN3	PVR	0.028	5	B Cells	EnteroendocrineUn	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	NECTIN2	NECTIN3	0.094	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	APP	SORL1	0.078	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	APLP2	PIGR	1.021	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	LGALS3	MERTK	0.1	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	GAS6	MERTK	0.094	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	WNT2B	FRZB	0.07	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|EnteroendocrineUn 1	PPIA	BSG	0.084	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	APP	CD74	0.03	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	APLP2	PIGR	0.085	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	LGALS3	MERTK	0.04	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	GAS6	MERTK	0.035	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	WNT2B	SFRP5	0.009	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	MST1	MST1R	0.009	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Epithelial	PPIA	BSG	0.024	7	B Cells	Epithelial	small_intestine	HBM564.DSPG.945_reg001
B Cells|Goblet	NECTIN2	NECTIN3	0.033	3	B Cells	Goblet	small_intestine	HBM564.DSPG.945_reg001
B Cells|Goblet	APP	CD74	0.02	3	B Cells	Goblet	small_intestine	HBM564.DSPG.945_reg001
B Cells|Goblet	APLP2	PIGR	0.04	3	B Cells	Goblet	small_intestine	HBM564.DSPG.945_reg001
B Cells|I Cells	NECTIN2	NECTIN3	0.184	15	B Cells	I Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|I Cells	NECTIN2	TIGIT	0.075	15	B Cells	I Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|I Cells	NECTIN3	TIGIT	0.051	15	B Cells	I Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|I Cells	APP	CD74	0.038	15	B Cells	I Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|I Cells	APP	SORL1	0.222	15	B Cells	I Cells	small_intestine	HBM564.DSPG.945_reg001
B Cells|I Cells	APP	TNFRSF21	0.038	15	B Cells	I Cells	small_intestine	HBM564.DSPG.945_reg001
