source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	D Cells	1
Adipocytes	Endothelial-CD36+ Microvascular	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Immature Goblet	1
Adipocytes	K Cells	1
Adipocytes	Mo Cells	1
Adipocytes	Mono_Macrophages	1
B Cells	Best4+ Enterocytes	3
B Cells	CD4	1
B Cells	CD8	15
B Cells	Crypt Fibroblasts 1 WNT2B+	13
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	6
B Cells	CyclingTA 1	2
B Cells	D Cells	4
B Cells	DC	5
B Cells	Endothelial-CD36+ Microvascular	13
B Cells	Endothelial-Venules	9
B Cells	Enterochromaffin	14
B Cells	Enterocytes	13
B Cells	Enteroendocrine	3
B Cells	EnteroendocrineUn	3
B Cells	EnteroendocrineUn 1	1
B Cells	Epithelial	4
B Cells	Glia	3
B Cells	Goblet	3
B Cells	I Cells	11
B Cells	ICC	2
B Cells	Immature Enterocytes	15
B Cells	Immature Goblet	4
B Cells	K Cells	5
B Cells	Lymphatic Endothelial Cells	9
B Cells	Mast	4
B Cells	Mo Cells	10
B Cells	Mono_Macrophages	14
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	11
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	7
B Cells	NEUROG3high	3
B Cells	Neurons	2
B Cells	Pericytes	5
B Cells	Plasma	5
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	3
B Cells	Stem	2
B Cells	TA1	10
B Cells	TA2	8
B Cells	Villus Fibroblasts WNT5B+	10
Best4+ Enterocytes	B Cells	2
Best4+ Enterocytes	CD4	1
Best4+ Enterocytes	CD8	19
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	21
Best4+ Enterocytes	Crypt Fibroblasts 2	3
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	8
Best4+ Enterocytes	CyclingTA 1	4
Best4+ Enterocytes	D Cells	7
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	20
Best4+ Enterocytes	Endothelial-Venules	12
Best4+ Enterocytes	Enterochromaffin	16
Best4+ Enterocytes	Enterocytes	15
Best4+ Enterocytes	Enteroendocrine	4
Best4+ Enterocytes	EnteroendocrineUn	7
Best4+ Enterocytes	EnteroendocrineUn 1	3
Best4+ Enterocytes	Epithelial	5
Best4+ Enterocytes	Glia	8
Best4+ Enterocytes	Goblet	4
Best4+ Enterocytes	I Cells	11
Best4+ Enterocytes	ICC	7
Best4+ Enterocytes	Immature Enterocytes	16
Best4+ Enterocytes	Immature Goblet	9
Best4+ Enterocytes	K Cells	5
Best4+ Enterocytes	Lymphatic Endothelial Cells	9
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	17
