column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.195	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.397	1	Adipocytes	D Cells	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|Endothelial-CD36+ Microvascular	CD96	NECTIN1	0.189	1	Adipocytes	Endothelial-CD36+ Microvascular	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.189	1	Adipocytes	Enterocytes	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.246	1	Adipocytes	Enteroendocrine	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.345	1	Adipocytes	I Cells	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.192	1	Adipocytes	Immature Goblet	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.688	1	Adipocytes	K Cells	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.312	1	Adipocytes	Mo Cells	small_intestine	HBM587.VTDD.789_reg001
Adipocytes|Mono_Macrophages	CD96	NECTIN1	0.192	1	Adipocytes	Mono_Macrophages	small_intestine	HBM587.VTDD.789_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.12	3	B Cells	Best4+ Enterocytes	small_intestine	HBM587.VTDD.789_reg001
B Cells|Best4+ Enterocytes	SEMA4D	PLXNB2	0.014	3	B Cells	Best4+ Enterocytes	small_intestine	HBM587.VTDD.789_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.016	3	B Cells	Best4+ Enterocytes	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD4	ALCAM	CD6	0.018	1	B Cells	CD4	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	APP	CD74	0.031	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	APP	SORL1	0.016	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	APP	TNFRSF21	0.016	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	APLP2	PIGR	0.705	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	APOA1	ABCA1	0.137	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	LRPAP1	SORT1	0.013	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	CCL25	ACKR4	0.023	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	CCL25	CCR9	0.042	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	LGALS3	MERTK	0.059	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
B Cells|CD8	GAS6	MERTK	0.057	15	B Cells	CD8	small_intestine	HBM587.VTDD.789_reg001
