source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	Crypt Fibroblasts 1 WNT2B+	1
Adipocytes	D Cells	1
Adipocytes	Endothelial-CD36+ Microvascular	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Immature Goblet	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
Adipocytes	Mono_Macrophages	1
Adipocytes	TA1	1
B Cells	Best4+ Enterocytes	4
B Cells	CD4	2
B Cells	CD8	16
B Cells	Crypt Fibroblasts 1 WNT2B+	15
B Cells	Crypt Fibroblasts 2	5
B Cells	Crypt Fibroblasts 3 RSPO3+	9
B Cells	CyclingTA 1	2
B Cells	D Cells	3
B Cells	Endothelial-CD36+ Microvascular	14
B Cells	Endothelial-Venules	2
B Cells	Enterochromaffin	7
B Cells	Enterocytes	10
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	6
B Cells	Epithelial	3
B Cells	Glia	2
B Cells	Goblet	2
B Cells	I Cells	11
B Cells	ICC	2
B Cells	Immature Enterocytes	14
B Cells	Immature Goblet	10
B Cells	K Cells	4
B Cells	Lymphatic Endothelial Cells	7
B Cells	Mast	3
B Cells	Mo Cells	8
B Cells	Mono_Macrophages	16
B Cells	Myofibroblasts/SM 1	8
B Cells	Myofibroblasts/SM 2	12
B Cells	Myofibroblasts/SM 3	3
B Cells	Myofibroblasts/SM DES High	5
B Cells	NEUROG3high	3
B Cells	NK	1
B Cells	Neurons	6
B Cells	Pericytes	6
B Cells	Plasma	4
B Cells	S Cells	4
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	3
B Cells	TA1	10
B Cells	TA2	11
B Cells	Villus Fibroblasts WNT5B+	7
Best4+ Enterocytes	B Cells	3
Best4+ Enterocytes	CD4	2
Best4+ Enterocytes	CD8	22
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	22
Best4+ Enterocytes	Crypt Fibroblasts 2	6
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	14
Best4+ Enterocytes	CyclingTA 1	5
Best4+ Enterocytes	D Cells	10
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	20
Best4+ Enterocytes	Endothelial-Venules	11
Best4+ Enterocytes	Enterochromaffin	16
Best4+ Enterocytes	Enterocytes	14
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	13
Best4+ Enterocytes	EnteroendocrineUn 1	9
Best4+ Enterocytes	Epithelial	7
Best4+ Enterocytes	Glia	7
Best4+ Enterocytes	Goblet	6
Best4+ Enterocytes	I Cells	18
Best4+ Enterocytes	ICC	6
Best4+ Enterocytes	Immature Enterocytes	20
Best4+ Enterocytes	Immature Goblet	14
Best4+ Enterocytes	K Cells	11
Best4+ Enterocytes	Lymphatic Endothelial Cells	14
Best4+ Enterocytes	Mast	3
Best4+ Enterocytes	Mo Cells	20
Best4+ Enterocytes	Mono_Macrophages	27
Best4+ Enterocytes	Myofibroblasts/SM 1	17
Best4+ Enterocytes	Myofibroblasts/SM 2	19
Best4+ Enterocytes	Myofibroblasts/SM 3	7
Best4+ Enterocytes	Myofibroblasts/SM DES High	8
Best4+ Enterocytes	NEUROG3high	7
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	12
Best4+ Enterocytes	Pericytes	13
Best4+ Enterocytes	Plasma	6
Best4+ Enterocytes	S Cells	7
Best4+ Enterocytes	Secretory Specialized MUC6+	5
Best4+ Enterocytes	Stem	4
Best4+ Enterocytes	TA1	10
Best4+ Enterocytes	TA2	18
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	12
CD4	Best4+ Enterocytes	1
CD4	CD8	3
CD4	Crypt Fibroblasts 1 WNT2B+	2
CD4	Crypt Fibroblasts 2	1
CD4	Crypt Fibroblasts 3 RSPO3+	1
CD4	D Cells	2
CD4	Endothelial-CD36+ Microvascular	2
CD4	Endothelial-Venules	2
CD4	Enterochromaffin	2
CD4	Enterocytes	1
CD4	Enteroendocrine	1
CD4	EnteroendocrineUn	2
CD4	EnteroendocrineUn 1	1
CD4	Epithelial	1
CD4	Glia	2
CD4	Goblet	1
CD4	I Cells	4
CD4	ICC	2
CD4	Immature Enterocytes	3
CD4	Immature Goblet	1
CD4	K Cells	2
CD4	Lymphatic Endothelial Cells	3
CD4	Mast	1
CD4	Mo Cells	3
CD4	Mono_Macrophages	3
CD4	Myofibroblasts/SM 1	3
CD4	Myofibroblasts/SM 2	2
CD4	Myofibroblasts/SM 3	2
CD4	Myofibroblasts/SM DES High	2
CD4	NEUROG3high	2
CD4	Neurons	3
CD4	Pericytes	1
CD4	Plasma	1
CD4	S Cells	1
CD4	TA1	2
CD4	TA2	4
CD4	Villus Fibroblasts WNT5B+	2
CD8	B Cells	13
CD8	Best4+ Enterocytes	11
CD8	CD4	3
CD8	Crypt Fibroblasts 1 WNT2B+	67
CD8	Crypt Fibroblasts 2	18
CD8	Crypt Fibroblasts 3 RSPO3+	26
CD8	CyclingTA 1	12
CD8	D Cells	30
CD8	Endothelial-CD36+ Microvascular	68
CD8	Endothelial-Venules	31
CD8	Enterochromaffin	44
CD8	Enterocytes	32
CD8	Enteroendocrine	16
CD8	EnteroendocrineUn	21
CD8	EnteroendocrineUn 1	30
CD8	Epithelial	9
CD8	Glia	12
CD8	Goblet	11
CD8	I Cells	55
CD8	ICC	25
CD8	Immature Enterocytes	53
CD8	Immature Goblet	28
CD8	K Cells	28
CD8	Lymphatic Endothelial Cells	34
CD8	Mast	7
CD8	Mo Cells	56
CD8	Mono_Macrophages	81
CD8	Myofibroblasts/SM 1	57
CD8	Myofibroblasts/SM 2	50
CD8	Myofibroblasts/SM 3	19
CD8	Myofibroblasts/SM DES High	35
CD8	NEUROG3high	14
CD8	NK	1
CD8	Neurons	32
CD8	Pericytes	41
CD8	Plasma	27
CD8	S Cells	16
CD8	Secretory Specialized MUC6+	5
CD8	Stem	6
CD8	TA1	33
CD8	TA2	43
CD8	Villus Fibroblasts WNT5B+	36
Crypt Fibroblasts 1 WNT2B+	B Cells	11
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	13
Crypt Fibroblasts 1 WNT2B+	CD4	2
Crypt Fibroblasts 1 WNT2B+	CD8	85
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	15
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	34
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	15
Crypt Fibroblasts 1 WNT2B+	D Cells	30
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	73
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	37
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	55
Crypt Fibroblasts 1 WNT2B+	Enterocytes	40
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	23
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	35
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	36
Crypt Fibroblasts 1 WNT2B+	Epithelial	20
Crypt Fibroblasts 1 WNT2B+	Glia	21
Crypt Fibroblasts 1 WNT2B+	Goblet	15
Crypt Fibroblasts 1 WNT2B+	I Cells	68
Crypt Fibroblasts 1 WNT2B+	ICC	29
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	66
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	33
Crypt Fibroblasts 1 WNT2B+	K Cells	35
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	43
Crypt Fibroblasts 1 WNT2B+	Mast	12
Crypt Fibroblasts 1 WNT2B+	Mo Cells	70
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	91
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	69
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	52
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	26
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	39
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	18
Crypt Fibroblasts 1 WNT2B+	NK	2
Crypt Fibroblasts 1 WNT2B+	Neurons	44
Crypt Fibroblasts 1 WNT2B+	Pericytes	50
Crypt Fibroblasts 1 WNT2B+	Plasma	37
Crypt Fibroblasts 1 WNT2B+	S Cells	24
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	10
Crypt Fibroblasts 1 WNT2B+	Stem	7
Crypt Fibroblasts 1 WNT2B+	TA1	35
Crypt Fibroblasts 1 WNT2B+	TA2	64
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	37
Crypt Fibroblasts 2	B Cells	2
Crypt Fibroblasts 2	Best4+ Enterocytes	3
Crypt Fibroblasts 2	CD4	1
Crypt Fibroblasts 2	CD8	15
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	14
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	8
Crypt Fibroblasts 2	CyclingTA 1	1
Crypt Fibroblasts 2	D Cells	4
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	14
Crypt Fibroblasts 2	Endothelial-Venules	7
Crypt Fibroblasts 2	Enterochromaffin	11
Crypt Fibroblasts 2	Enterocytes	9
Crypt Fibroblasts 2	Enteroendocrine	5
Crypt Fibroblasts 2	EnteroendocrineUn	3
Crypt Fibroblasts 2	EnteroendocrineUn 1	6
Crypt Fibroblasts 2	Epithelial	3
Crypt Fibroblasts 2	Glia	2
Crypt Fibroblasts 2	Goblet	1
Crypt Fibroblasts 2	I Cells	8
Crypt Fibroblasts 2	ICC	4
Crypt Fibroblasts 2	Immature Enterocytes	11
Crypt Fibroblasts 2	Immature Goblet	7
Crypt Fibroblasts 2	K Cells	3
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	6
Crypt Fibroblasts 2	Mast	1
Crypt Fibroblasts 2	Mo Cells	12
Crypt Fibroblasts 2	Mono_Macrophages	16
Crypt Fibroblasts 2	Myofibroblasts/SM 1	10
Crypt Fibroblasts 2	Myofibroblasts/SM 2	8
Crypt Fibroblasts 2	Myofibroblasts/SM 3	1
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	7
Crypt Fibroblasts 2	NEUROG3high	4
Crypt Fibroblasts 2	Neurons	5
Crypt Fibroblasts 2	Pericytes	6
Crypt Fibroblasts 2	Plasma	4
Crypt Fibroblasts 2	S Cells	4
Crypt Fibroblasts 2	Stem	1
Crypt Fibroblasts 2	TA1	9
Crypt Fibroblasts 2	TA2	5
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	6
Crypt Fibroblasts 3 RSPO3+	B Cells	5
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	6
Crypt Fibroblasts 3 RSPO3+	CD4	1
Crypt Fibroblasts 3 RSPO3+	CD8	39
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	40
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	11
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	8
Crypt Fibroblasts 3 RSPO3+	D Cells	14
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	35
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	21
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	25
Crypt Fibroblasts 3 RSPO3+	Enterocytes	19
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	9
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn	19
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	13
Crypt Fibroblasts 3 RSPO3+	Epithelial	12
Crypt Fibroblasts 3 RSPO3+	Glia	6
Crypt Fibroblasts 3 RSPO3+	Goblet	9
Crypt Fibroblasts 3 RSPO3+	I Cells	32
Crypt Fibroblasts 3 RSPO3+	ICC	22
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	39
