column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.084	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.084	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.433	1	Adipocytes	D Cells	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Endothelial-CD36+ Microvascular	CD96	NECTIN1	0.084	1	Adipocytes	Endothelial-CD36+ Microvascular	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.084	1	Adipocytes	Enterocytes	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.13	1	Adipocytes	Enteroendocrine	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.217	1	Adipocytes	I Cells	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.085	1	Adipocytes	Immature Goblet	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.099	1	Adipocytes	K Cells	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.148	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.095	1	Adipocytes	Mo Cells	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|Mono_Macrophages	CD96	NECTIN1	0.085	1	Adipocytes	Mono_Macrophages	small_intestine	HBM625.BPDM.987_reg001
Adipocytes|TA1	CD96	NECTIN1	0.083	1	Adipocytes	TA1	small_intestine	HBM625.BPDM.987_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.203	4	B Cells	Best4+ Enterocytes	small_intestine	HBM625.BPDM.987_reg001
B Cells|Best4+ Enterocytes	SEMA4D	PLXNB2	0.005	4	B Cells	Best4+ Enterocytes	small_intestine	HBM625.BPDM.987_reg001
B Cells|Best4+ Enterocytes	CD96	NECTIN1	0.002	4	B Cells	Best4+ Enterocytes	small_intestine	HBM625.BPDM.987_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.003	4	B Cells	Best4+ Enterocytes	small_intestine	HBM625.BPDM.987_reg001
B Cells|CD4	APLP2	PIGR	0.004	2	B Cells	CD4	small_intestine	HBM625.BPDM.987_reg001
B Cells|CD4	ALCAM	CD6	0.01	2	B Cells	CD4	small_intestine	HBM625.BPDM.987_reg001
B Cells|CD8	APP	CD74	0.014	16	B Cells	CD8	small_intestine	HBM625.BPDM.987_reg001
B Cells|CD8	APP	SORL1	0.009	16	B Cells	CD8	small_intestine	HBM625.BPDM.987_reg001
B Cells|CD8	APP	TNFRSF21	0.021	16	B Cells	CD8	small_intestine	HBM625.BPDM.987_reg001
