source	target	count
B Cells	Best4+ Enterocytes	3
B Cells	CD4	1
B Cells	CD8	23
B Cells	Crypt Fibroblasts 1 WNT2B+	19
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	7
B Cells	CyclingTA 1	6
B Cells	D Cells	11
B Cells	DC	6
B Cells	Endothelial-CD36+ Microvascular	23
B Cells	Endothelial-Venules	16
B Cells	Enterochromaffin	16
B Cells	Enterocytes	15
B Cells	Enteroendocrine	5
B Cells	EnteroendocrineUn 1	5
B Cells	Epithelial	9
B Cells	Glia	1
B Cells	Goblet	2
B Cells	I Cells	13
B Cells	ICC	2
B Cells	Immature Enterocytes	18
B Cells	Immature Goblet	10
B Cells	K Cells	6
B Cells	Lymphatic Endothelial Cells	7
B Cells	Mo Cells	7
B Cells	Mono_Macrophages	27
B Cells	Myofibroblasts/SM 1	11
B Cells	Myofibroblasts/SM 2	11
B Cells	Myofibroblasts/SM 3	4
B Cells	Myofibroblasts/SM DES High	8
B Cells	NEUROG3high	2
B Cells	Pericytes	10
B Cells	Plasma	8
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	3
B Cells	Stem	2
B Cells	TA1	13
B Cells	TA2	17
B Cells	Villus Fibroblasts WNT5B+	14
Best4+ Enterocytes	B Cells	6
Best4+ Enterocytes	CD4	1
Best4+ Enterocytes	CD8	18
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	23
Best4+ Enterocytes	Crypt Fibroblasts 2	3
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	10
Best4+ Enterocytes	CyclingTA 1	9
Best4+ Enterocytes	D Cells	11
Best4+ Enterocytes	DC	2
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	23
Best4+ Enterocytes	Endothelial-Venules	16
Best4+ Enterocytes	Enterochromaffin	13
Best4+ Enterocytes	Enterocytes	12
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn 1	5
Best4+ Enterocytes	Epithelial	6
Best4+ Enterocytes	Glia	6
Best4+ Enterocytes	Goblet	3
Best4+ Enterocytes	I Cells	14
Best4+ Enterocytes	ICC	7
Best4+ Enterocytes	Immature Enterocytes	14
Best4+ Enterocytes	Immature Goblet	12
Best4+ Enterocytes	K Cells	9
Best4+ Enterocytes	Lymphatic Endothelial Cells	10
Best4+ Enterocytes	Mo Cells	15
Best4+ Enterocytes	Mono_Macrophages	23
Best4+ Enterocytes	Myofibroblasts/SM 1	12
Best4+ Enterocytes	Myofibroblasts/SM 2	14
Best4+ Enterocytes	Myofibroblasts/SM 3	9
Best4+ Enterocytes	Myofibroblasts/SM DES High	4
Best4+ Enterocytes	NEUROG3high	2
Best4+ Enterocytes	Pericytes	8
Best4+ Enterocytes	Plasma	9
Best4+ Enterocytes	S Cells	5
Best4+ Enterocytes	Secretory Specialized MUC6+	2
Best4+ Enterocytes	Stem	1
Best4+ Enterocytes	TA1	9
Best4+ Enterocytes	TA2	13
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	15
CD4	CD8	3
CD4	Crypt Fibroblasts 1 WNT2B+	2
CD4	Crypt Fibroblasts 3 RSPO3+	1
CD4	CyclingTA 1	1
CD4	D Cells	2
CD4	Endothelial-CD36+ Microvascular	2
CD4	Endothelial-Venules	2
CD4	Enterochromaffin	2
CD4	Enterocytes	1
CD4	Enteroendocrine	1
CD4	EnteroendocrineUn 1	1
CD4	Epithelial	1
CD4	Glia	2
CD4	Goblet	1
CD4	I Cells	4
CD4	ICC	2
CD4	Immature Enterocytes	3
CD4	Immature Goblet	1
CD4	K Cells	1
CD4	Lymphatic Endothelial Cells	1
CD4	Mo Cells	3
CD4	Mono_Macrophages	3
CD4	Myofibroblasts/SM 1	3
CD4	Myofibroblasts/SM 2	2
CD4	Myofibroblasts/SM 3	2
CD4	NEUROG3high	1
CD4	Pericytes	1
CD4	Plasma	3
CD4	S Cells	1
CD4	TA1	2
CD4	TA2	4
CD4	Villus Fibroblasts WNT5B+	3
CD8	B Cells	18
CD8	Best4+ Enterocytes	8
CD8	CD4	2
CD8	Crypt Fibroblasts 1 WNT2B+	74
CD8	Crypt Fibroblasts 2	3
CD8	Crypt Fibroblasts 3 RSPO3+	21
CD8	CyclingTA 1	15
CD8	D Cells	33
CD8	DC	17
CD8	Endothelial-CD36+ Microvascular	79
CD8	Endothelial-Venules	55
CD8	Enterochromaffin	39
CD8	Enterocytes	32
CD8	Enteroendocrine	11
CD8	EnteroendocrineUn 1	18
CD8	Epithelial	14
CD8	Glia	10
CD8	Goblet	8
CD8	I Cells	40
CD8	ICC	25
CD8	Immature Enterocytes	44
CD8	Immature Goblet	27
CD8	K Cells	19
CD8	Lymphatic Endothelial Cells	23
CD8	Mo Cells	32
CD8	Mono_Macrophages	86
CD8	Myofibroblasts/SM 1	39
CD8	Myofibroblasts/SM 2	35
CD8	Myofibroblasts/SM 3	24
CD8	Myofibroblasts/SM DES High	10
CD8	NEUROG3high	3
CD8	Pericytes	30
CD8	Plasma	29
CD8	S Cells	15
CD8	Secretory Specialized MUC6+	4
CD8	Stem	5
CD8	TA1	28
CD8	TA2	40
CD8	Villus Fibroblasts WNT5B+	47
Crypt Fibroblasts 1 WNT2B+	B Cells	25
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	15
Crypt Fibroblasts 1 WNT2B+	CD4	1
Crypt Fibroblasts 1 WNT2B+	CD8	97
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	7
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	44
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	27
Crypt Fibroblasts 1 WNT2B+	D Cells	47
Crypt Fibroblasts 1 WNT2B+	DC	27
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	119
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	84
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	71
Crypt Fibroblasts 1 WNT2B+	Enterocytes	60
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	23
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	37
Crypt Fibroblasts 1 WNT2B+	Epithelial	32
Crypt Fibroblasts 1 WNT2B+	Glia	31
Crypt Fibroblasts 1 WNT2B+	Goblet	17
Crypt Fibroblasts 1 WNT2B+	I Cells	75
Crypt Fibroblasts 1 WNT2B+	ICC	39
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	74
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	45
Crypt Fibroblasts 1 WNT2B+	K Cells	29
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	41
Crypt Fibroblasts 1 WNT2B+	Mo Cells	62
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	132
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	77
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	55
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	49
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	21
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	9
Crypt Fibroblasts 1 WNT2B+	Pericytes	53
Crypt Fibroblasts 1 WNT2B+	Plasma	53
Crypt Fibroblasts 1 WNT2B+	S Cells	30
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	5
Crypt Fibroblasts 1 WNT2B+	Stem	4
Crypt Fibroblasts 1 WNT2B+	TA1	45
Crypt Fibroblasts 1 WNT2B+	TA2	71
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	76
Crypt Fibroblasts 2	B Cells	2
Crypt Fibroblasts 2	Best4+ Enterocytes	2
Crypt Fibroblasts 2	CD8	15
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	10
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	6
Crypt Fibroblasts 2	CyclingTA 1	1
Crypt Fibroblasts 2	D Cells	7
Crypt Fibroblasts 2	DC	4
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	12
Crypt Fibroblasts 2	Endothelial-Venules	10
Crypt Fibroblasts 2	Enterochromaffin	8
Crypt Fibroblasts 2	Enterocytes	5
Crypt Fibroblasts 2	Enteroendocrine	4
Crypt Fibroblasts 2	EnteroendocrineUn 1	2
Crypt Fibroblasts 2	Epithelial	3
Crypt Fibroblasts 2	Glia	1
Crypt Fibroblasts 2	Goblet	2
Crypt Fibroblasts 2	I Cells	5
Crypt Fibroblasts 2	ICC	5
Crypt Fibroblasts 2	Immature Enterocytes	7
Crypt Fibroblasts 2	Immature Goblet	3
Crypt Fibroblasts 2	K Cells	2
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	6
Crypt Fibroblasts 2	Mo Cells	6
Crypt Fibroblasts 2	Mono_Macrophages	16
Crypt Fibroblasts 2	Myofibroblasts/SM 1	5
Crypt Fibroblasts 2	Myofibroblasts/SM 2	7
Crypt Fibroblasts 2	Myofibroblasts/SM 3	4
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	2
Crypt Fibroblasts 2	NEUROG3high	1
Crypt Fibroblasts 2	Pericytes	4
Crypt Fibroblasts 2	Plasma	7
Crypt Fibroblasts 2	S Cells	4
Crypt Fibroblasts 2	Secretory Specialized MUC6+	1
Crypt Fibroblasts 2	Stem	1
Crypt Fibroblasts 2	TA1	6
Crypt Fibroblasts 2	TA2	6
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	8
Crypt Fibroblasts 3 RSPO3+	B Cells	8
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	7
Crypt Fibroblasts 3 RSPO3+	CD4	1
Crypt Fibroblasts 3 RSPO3+	CD8	28
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	43
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	6
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	12
Crypt Fibroblasts 3 RSPO3+	D Cells	14
Crypt Fibroblasts 3 RSPO3+	DC	7
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	42
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	33
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	20
Crypt Fibroblasts 3 RSPO3+	Enterocytes	24
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	9
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	9
Crypt Fibroblasts 3 RSPO3+	Epithelial	16
Crypt Fibroblasts 3 RSPO3+	Glia	5
Crypt Fibroblasts 3 RSPO3+	Goblet	7
Crypt Fibroblasts 3 RSPO3+	I Cells	27
Crypt Fibroblasts 3 RSPO3+	ICC	18
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	28
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	20
Crypt Fibroblasts 3 RSPO3+	K Cells	15
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	19
Crypt Fibroblasts 3 RSPO3+	Mo Cells	20
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	47
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 1	35
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 2	24
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 3	17
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	9
Crypt Fibroblasts 3 RSPO3+	NEUROG3high	5
Crypt Fibroblasts 3 RSPO3+	Pericytes	16
Crypt Fibroblasts 3 RSPO3+	Plasma	19
Crypt Fibroblasts 3 RSPO3+	S Cells	18
Crypt Fibroblasts 3 RSPO3+	Secretory Specialized MUC6+	2
Crypt Fibroblasts 3 RSPO3+	Stem	2
Crypt Fibroblasts 3 RSPO3+	TA1	19
Crypt Fibroblasts 3 RSPO3+	TA2	29
Crypt Fibroblasts 3 RSPO3+	Villus Fibroblasts WNT5B+	32
CyclingTA 1	B Cells	7
CyclingTA 1	Best4+ Enterocytes	3
CyclingTA 1	CD4	1
CyclingTA 1	CD8	22
CyclingTA 1	Crypt Fibroblasts 1 WNT2B+	25
CyclingTA 1	Crypt Fibroblasts 2	2
CyclingTA 1	Crypt Fibroblasts 3 RSPO3+	8
CyclingTA 1	D Cells	11
CyclingTA 1	DC	4
CyclingTA 1	Endothelial-CD36+ Microvascular	32
CyclingTA 1	Endothelial-Venules	21
CyclingTA 1	Enterochromaffin	15
CyclingTA 1	Enterocytes	13
CyclingTA 1	Enteroendocrine	3
CyclingTA 1	EnteroendocrineUn 1	6
CyclingTA 1	Epithelial	5
CyclingTA 1	Glia	6
CyclingTA 1	Goblet	1
CyclingTA 1	I Cells	14
CyclingTA 1	ICC	12
CyclingTA 1	Immature Enterocytes	17
CyclingTA 1	Immature Goblet	10
CyclingTA 1	K Cells	6
CyclingTA 1	Lymphatic Endothelial Cells	8
CyclingTA 1	Mo Cells	16
CyclingTA 1	Mono_Macrophages	28
CyclingTA 1	Myofibroblasts/SM 1	18
CyclingTA 1	Myofibroblasts/SM 2	11
CyclingTA 1	Myofibroblasts/SM 3	8
CyclingTA 1	Myofibroblasts/SM DES High	4
CyclingTA 1	NEUROG3high	1
CyclingTA 1	Pericytes	8
CyclingTA 1	Plasma	6
CyclingTA 1	S Cells	6
CyclingTA 1	Secretory Specialized MUC6+	2
CyclingTA 1	Stem	1
CyclingTA 1	TA1	7
CyclingTA 1	TA2	16
CyclingTA 1	Villus Fibroblasts WNT5B+	18
D Cells	B Cells	12
D Cells	Best4+ Enterocytes	7
D Cells	CD4	1
D Cells	CD8	38
