source	target	count
B Cells	Best4+ Enterocytes	4
B Cells	CD4	1
B Cells	CD8	12
B Cells	Crypt Fibroblasts 1 WNT2B+	19
B Cells	Crypt Fibroblasts 2	6
B Cells	Crypt Fibroblasts 3 RSPO3+	11
B Cells	CyclingTA 1	4
B Cells	D Cells	3
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	17
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	14
B Cells	Enterocytes	13
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	13
B Cells	EnteroendocrineUn 1	7
B Cells	Epithelial	9
B Cells	Glia	2
B Cells	Goblet	9
B Cells	I Cells	14
B Cells	ICC	3
B Cells	Immature Enterocytes	19
B Cells	Immature Goblet	10
B Cells	K Cells	8
B Cells	Lymphatic Endothelial Cells	9
B Cells	Mast	4
B Cells	Mo Cells	11
B Cells	Mono_Macrophages	27
B Cells	Myofibroblasts/SM 1	14
B Cells	Myofibroblasts/SM 2	7
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	12
B Cells	Pericytes	2
B Cells	Plasma	5
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	5
B Cells	TA1	12
B Cells	TA2	22
B Cells	Villus Fibroblasts WNT5B+	8
Best4+ Enterocytes	B Cells	8
Best4+ Enterocytes	CD4	4
Best4+ Enterocytes	CD8	17
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	31
Best4+ Enterocytes	Crypt Fibroblasts 2	8
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	17
Best4+ Enterocytes	CyclingTA 1	11
Best4+ Enterocytes	D Cells	9
Best4+ Enterocytes	DC	2
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	22
Best4+ Enterocytes	Endothelial-Venules	24
Best4+ Enterocytes	Enterochromaffin	18
Best4+ Enterocytes	Enterocytes	19
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	18
Best4+ Enterocytes	EnteroendocrineUn 1	10
Best4+ Enterocytes	Epithelial	9
Best4+ Enterocytes	Glia	3
Best4+ Enterocytes	Goblet	13
Best4+ Enterocytes	I Cells	22
Best4+ Enterocytes	ICC	7
Best4+ Enterocytes	Immature Enterocytes	29
Best4+ Enterocytes	Immature Goblet	20
Best4+ Enterocytes	K Cells	11
Best4+ Enterocytes	Lymphatic Endothelial Cells	18
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	18
Best4+ Enterocytes	Mono_Macrophages	40
Best4+ Enterocytes	Myofibroblasts/SM 1	24
Best4+ Enterocytes	Myofibroblasts/SM 2	12
Best4+ Enterocytes	Myofibroblasts/SM 3	3
Best4+ Enterocytes	Myofibroblasts/SM DES High	17
Best4+ Enterocytes	Pericytes	2
Best4+ Enterocytes	Plasma	9
Best4+ Enterocytes	S Cells	8
Best4+ Enterocytes	Secretory Specialized MUC6+	6
Best4+ Enterocytes	Stem	8
Best4+ Enterocytes	TA1	15
Best4+ Enterocytes	TA2	21
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	15
CD4	B Cells	3
CD4	Best4+ Enterocytes	4
CD4	CD8	5
CD4	Crypt Fibroblasts 1 WNT2B+	8
CD4	Crypt Fibroblasts 2	2
CD4	Crypt Fibroblasts 3 RSPO3+	5
CD4	CyclingTA 1	4
CD4	D Cells	3
CD4	DC	1
CD4	Endothelial-CD36+ Microvascular	6
CD4	Endothelial-Venules	4
CD4	Enterochromaffin	4
CD4	Enterocytes	7
CD4	Enteroendocrine	3
CD4	EnteroendocrineUn	3
CD4	EnteroendocrineUn 1	7
CD4	Epithelial	2
CD4	Glia	2
CD4	Goblet	3
CD4	I Cells	6
CD4	Immature Enterocytes	8
CD4	Immature Goblet	6
CD4	K Cells	3
CD4	Lymphatic Endothelial Cells	2
CD4	Mo Cells	6
CD4	Mono_Macrophages	11
CD4	Myofibroblasts/SM 1	8
CD4	Myofibroblasts/SM 2	2
CD4	Myofibroblasts/SM DES High	7
CD4	Pericytes	2
CD4	Plasma	1
CD4	S Cells	1
CD4	Secretory Specialized MUC6+	4
CD4	TA1	6
CD4	TA2	8
CD4	Villus Fibroblasts WNT5B+	5
CD8	B Cells	19
CD8	Best4+ Enterocytes	20
CD8	CD4	8
CD8	Crypt Fibroblasts 1 WNT2B+	65
CD8	Crypt Fibroblasts 2	17
CD8	Crypt Fibroblasts 3 RSPO3+	29
CD8	CyclingTA 1	20
CD8	D Cells	18
CD8	DC	12
CD8	Endothelial-CD36+ Microvascular	47
CD8	Endothelial-Venules	49
CD8	Enterochromaffin	38
CD8	Enterocytes	40
CD8	Enteroendocrine	13
CD8	EnteroendocrineUn	35
CD8	EnteroendocrineUn 1	30
CD8	Epithelial	16
CD8	Glia	10
CD8	Goblet	28
CD8	I Cells	44
CD8	ICC	13
CD8	Immature Enterocytes	59
CD8	Immature Goblet	38
CD8	K Cells	17
CD8	Lymphatic Endothelial Cells	35
CD8	Mast	7
CD8	Mo Cells	42
CD8	Mono_Macrophages	87
CD8	Myofibroblasts/SM 1	58
