column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	NECTIN2	NECTIN3	0.224	4	B Cells	Best4+ Enterocytes	small_intestine	HBM654.MLRM.725_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.452	4	B Cells	Best4+ Enterocytes	small_intestine	HBM654.MLRM.725_reg001
B Cells|Best4+ Enterocytes	LGALS3	MERTK	0.072	4	B Cells	Best4+ Enterocytes	small_intestine	HBM654.MLRM.725_reg001
B Cells|Best4+ Enterocytes	GAS6	MERTK	0.067	4	B Cells	Best4+ Enterocytes	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD4	APLP2	PIGR	0.19	1	B Cells	CD4	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.186	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	APP	CD74	0.136	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	APP	SORL1	0.163	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	APLP2	PIGR	1.269	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	CCL25	CCR9	0.068	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	LGALS3	MERTK	0.143	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	GAS6	MERTK	0.138	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	SST	SSTR1	0.125	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	CD160	TNFRSF14	0.162	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	WNT2B	SFRP2	0.162	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	ALCAM	CD6	0.134	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|CD8	PPIA	BSG	0.08	12	B Cells	CD8	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.303	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.019	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.176	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.143	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.164	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.983	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	1.769	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.008	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.016	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.065	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.06	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.183	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.021	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD160	TNFRSF14	0.061	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.06	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.016	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD99	PILRA	0.131	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.082	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.092	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 2	NECTIN2	NECTIN3	0.184	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM654.MLRM.725_reg001
B Cells|Crypt Fibroblasts 2	APP	CD74	0.225	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM654.MLRM.725_reg001
