source	target	count
B Cells	Best4+ Enterocytes	5
B Cells	CD4	1
B Cells	CD8	15
B Cells	Crypt Fibroblasts 1 WNT2B+	19
B Cells	Crypt Fibroblasts 2	8
B Cells	Crypt Fibroblasts 3 RSPO3+	11
B Cells	CyclingTA 1	7
B Cells	D Cells	1
B Cells	DC	4
B Cells	Endothelial-CD36+ Microvascular	18
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	11
B Cells	Enterocytes	14
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	9
B Cells	EnteroendocrineUn 1	7
B Cells	Epithelial	10
B Cells	Glia	2
B Cells	Goblet	10
B Cells	I Cells	15
B Cells	ICC	3
B Cells	Immature Enterocytes	20
B Cells	Immature Goblet	11
B Cells	K Cells	10
B Cells	Lymphatic Endothelial Cells	9
B Cells	Mast	4
B Cells	Mo Cells	8
B Cells	Mono_Macrophages	27
B Cells	Myofibroblasts/SM 1	12
B Cells	Myofibroblasts/SM 2	6
B Cells	Myofibroblasts/SM DES High	12
B Cells	NEUROG3high	2
B Cells	Pericytes	11
B Cells	Plasma	7
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	4
B Cells	TA1	12
B Cells	TA2	22
B Cells	Villus Fibroblasts WNT5B+	9
Best4+ Enterocytes	B Cells	8
Best4+ Enterocytes	CD4	1
Best4+ Enterocytes	CD8	24
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	36
Best4+ Enterocytes	Crypt Fibroblasts 2	12
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	14
Best4+ Enterocytes	CyclingTA 1	17
Best4+ Enterocytes	D Cells	8
Best4+ Enterocytes	DC	4
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	29
Best4+ Enterocytes	Endothelial-Venules	25
Best4+ Enterocytes	Enterochromaffin	16
Best4+ Enterocytes	Enterocytes	21
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	11
Best4+ Enterocytes	EnteroendocrineUn 1	10
Best4+ Enterocytes	Epithelial	15
Best4+ Enterocytes	Glia	3
Best4+ Enterocytes	Goblet	14
Best4+ Enterocytes	I Cells	26
Best4+ Enterocytes	ICC	7
Best4+ Enterocytes	Immature Enterocytes	34
Best4+ Enterocytes	Immature Goblet	23
Best4+ Enterocytes	K Cells	14
Best4+ Enterocytes	Lymphatic Endothelial Cells	20
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	14
Best4+ Enterocytes	Mono_Macrophages	44
Best4+ Enterocytes	Myofibroblasts/SM 1	22
Best4+ Enterocytes	Myofibroblasts/SM 2	17
Best4+ Enterocytes	Myofibroblasts/SM DES High	18
Best4+ Enterocytes	NEUROG3high	4
Best4+ Enterocytes	Pericytes	13
Best4+ Enterocytes	Plasma	15
Best4+ Enterocytes	S Cells	9
Best4+ Enterocytes	Secretory Specialized MUC6+	6
Best4+ Enterocytes	Stem	14
Best4+ Enterocytes	TA1	17
Best4+ Enterocytes	TA2	24
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	18
CD8	B Cells	19
CD8	Best4+ Enterocytes	24
CD8	CD4	2
CD8	Crypt Fibroblasts 1 WNT2B+	79
CD8	Crypt Fibroblasts 2	29
CD8	Crypt Fibroblasts 3 RSPO3+	24
CD8	CyclingTA 1	25
CD8	D Cells	16
CD8	DC	18
CD8	Endothelial-CD36+ Microvascular	62
CD8	Endothelial-Venules	50
CD8	Enterochromaffin	36
CD8	Enterocytes	43
CD8	Enteroendocrine	15
CD8	EnteroendocrineUn	20
CD8	EnteroendocrineUn 1	22
CD8	Epithelial	23
CD8	Glia	10
CD8	Goblet	31
CD8	I Cells	50
CD8	ICC	11
CD8	Immature Enterocytes	70
CD8	Immature Goblet	42
CD8	K Cells	26
CD8	Lymphatic Endothelial Cells	37
CD8	Mast	7
CD8	Mo Cells	29
CD8	Mono_Macrophages	102
CD8	Myofibroblasts/SM 1	56
CD8	Myofibroblasts/SM 2	28
CD8	Myofibroblasts/SM DES High	44
CD8	NEUROG3high	7
CD8	Pericytes	30
CD8	Plasma	26
CD8	S Cells	15
CD8	Secretory Specialized MUC6+	11
CD8	Stem	26
CD8	TA1	44
CD8	TA2	58
CD8	Villus Fibroblasts WNT5B+	41
Crypt Fibroblasts 1 WNT2B+	B Cells	26
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	37
Crypt Fibroblasts 1 WNT2B+	CD4	1
Crypt Fibroblasts 1 WNT2B+	CD8	77
