source	target	count
B Cells	Best4+ Enterocytes	2
B Cells	CD4	2
B Cells	CD8	21
B Cells	Crypt Fibroblasts 1 WNT2B+	20
B Cells	Crypt Fibroblasts 2	4
B Cells	Crypt Fibroblasts 3 RSPO3+	8
B Cells	CyclingTA 1	3
B Cells	D Cells	5
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	29
B Cells	Endothelial-Venules	21
B Cells	Enterochromaffin	19
B Cells	Enterocytes	12
B Cells	Enteroendocrine	2
B Cells	EnteroendocrineUn 1	3
B Cells	Epithelial	9
B Cells	Glia	3
B Cells	Goblet	2
B Cells	I Cells	13
B Cells	ICC	7
B Cells	Immature Enterocytes	21
B Cells	Immature Goblet	7
B Cells	Lymphatic Endothelial Cells	4
B Cells	Mast	4
B Cells	Mo Cells	14
B Cells	Mono_Macrophages	27
B Cells	Myofibroblasts/SM 1	15
B Cells	Myofibroblasts/SM 2	4
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	8
B Cells	Neurons	4
B Cells	Pericytes	11
B Cells	Plasma	9
B Cells	S Cells	7
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	3
B Cells	TA1	12
B Cells	TA2	17
B Cells	Villus Fibroblasts WNT5B+	19
Best4+ Enterocytes	B Cells	5
Best4+ Enterocytes	CD4	2
Best4+ Enterocytes	CD8	17
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	20
Best4+ Enterocytes	Crypt Fibroblasts 2	4
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	10
Best4+ Enterocytes	CyclingTA 1	3
Best4+ Enterocytes	D Cells	7
Best4+ Enterocytes	DC	2
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	23
Best4+ Enterocytes	Endothelial-Venules	16
Best4+ Enterocytes	Enterochromaffin	18
Best4+ Enterocytes	Enterocytes	11
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn 1	3
Best4+ Enterocytes	Epithelial	7
Best4+ Enterocytes	Glia	5
Best4+ Enterocytes	Goblet	1
Best4+ Enterocytes	I Cells	11
Best4+ Enterocytes	ICC	5
Best4+ Enterocytes	Immature Enterocytes	15
Best4+ Enterocytes	Immature Goblet	8
Best4+ Enterocytes	Lymphatic Endothelial Cells	5
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	15
Best4+ Enterocytes	Mono_Macrophages	19
Best4+ Enterocytes	Myofibroblasts/SM 1	11
Best4+ Enterocytes	Myofibroblasts/SM 2	5
Best4+ Enterocytes	Myofibroblasts/SM 3	2
Best4+ Enterocytes	Myofibroblasts/SM DES High	5
Best4+ Enterocytes	Neurons	5
Best4+ Enterocytes	Pericytes	10
Best4+ Enterocytes	Plasma	8
Best4+ Enterocytes	S Cells	5
Best4+ Enterocytes	Secretory Specialized MUC6+	2
Best4+ Enterocytes	Stem	2
Best4+ Enterocytes	TA1	9
Best4+ Enterocytes	TA2	13
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	14
CD4	Best4+ Enterocytes	1
CD4	Crypt Fibroblasts 1 WNT2B+	1
CD4	D Cells	1
CD4	Endothelial-CD36+ Microvascular	1
CD4	Enterocytes	1
CD4	Enteroendocrine	1
CD4	I Cells	1
CD4	Immature Goblet	1
CD4	Lymphatic Endothelial Cells	1
CD4	Mo Cells	1
CD8	B Cells	12
CD8	Best4+ Enterocytes	7
CD8	CD4	2
CD8	Crypt Fibroblasts 1 WNT2B+	46
CD8	Crypt Fibroblasts 2	12
CD8	Crypt Fibroblasts 3 RSPO3+	18
CD8	CyclingTA 1	4
CD8	D Cells	10
CD8	DC	10
CD8	Endothelial-CD36+ Microvascular	57
CD8	Endothelial-Venules	40
CD8	Enterochromaffin	34
CD8	Enterocytes	27
CD8	Enteroendocrine	9
CD8	EnteroendocrineUn 1	9
CD8	Epithelial	16
CD8	Glia	9
CD8	Goblet	5
CD8	I Cells	37
CD8	ICC	18
CD8	Immature Enterocytes	42
CD8	Immature Goblet	14
CD8	Lymphatic Endothelial Cells	16
CD8	Mast	6
CD8	Mo Cells	29
CD8	Mono_Macrophages	61
CD8	Myofibroblasts/SM 1	34
CD8	Myofibroblasts/SM 2	11
CD8	Myofibroblasts/SM 3	3
CD8	Myofibroblasts/SM DES High	22
CD8	Neurons	13
CD8	Pericytes	21
CD8	Plasma	19
CD8	S Cells	10
CD8	Secretory Specialized MUC6+	2
CD8	Stem	4
CD8	TA1	20
CD8	TA2	33
CD8	Villus Fibroblasts WNT5B+	37
Crypt Fibroblasts 1 WNT2B+	B Cells	33
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	10
Crypt Fibroblasts 1 WNT2B+	CD4	2
Crypt Fibroblasts 1 WNT2B+	CD8	71
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	25
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	38
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	11
Crypt Fibroblasts 1 WNT2B+	D Cells	17
Crypt Fibroblasts 1 WNT2B+	DC	14
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	105
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	73
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	66
Crypt Fibroblasts 1 WNT2B+	Enterocytes	55
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	22
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	17
Crypt Fibroblasts 1 WNT2B+	Epithelial	30
Crypt Fibroblasts 1 WNT2B+	Glia	19
Crypt Fibroblasts 1 WNT2B+	Goblet	10
Crypt Fibroblasts 1 WNT2B+	I Cells	60
Crypt Fibroblasts 1 WNT2B+	ICC	36
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	75
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	23
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	23
Crypt Fibroblasts 1 WNT2B+	Mast	12
Crypt Fibroblasts 1 WNT2B+	Mo Cells	58
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	104
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	71
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	20
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	7
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	38
Crypt Fibroblasts 1 WNT2B+	Neurons	32
Crypt Fibroblasts 1 WNT2B+	Pericytes	50
Crypt Fibroblasts 1 WNT2B+	Plasma	42
