column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.068	2	B Cells	Best4+ Enterocytes	small_intestine	HBM735.PSTF.274_reg001
B Cells|Best4+ Enterocytes	PTPRD	IL1RAP	0.003	2	B Cells	Best4+ Enterocytes	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD4	APLP2	PIGR	0.027	2	B Cells	CD4	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD4	ALCAM	CD6	0.012	2	B Cells	CD4	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.126	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	APP	CD74	0.028	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	APP	SORL1	0.035	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	APP	TNFRSF21	0.033	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	APLP2	PIGR	1.153	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	APOA1	ABCA1	0.166	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	LRPAP1	SORT1	0.014	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	CCL25	ACKR4	0.011	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	CCL25	CCR9	0.132	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	EFNB1	EPHA4	0.003	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	EFNB1	EPHB2	0.183	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	TGFA	EGFR	0.099	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	LGALS3	MERTK	0.1	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	GAS6	MERTK	0.096	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	PDGFC	PDGFRA	0.002	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.058	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	TNFSF10	TNFRSF10A	0.009	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	TNFSF10	TNFRSF10B	0.02	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	TNFSF10	TNFRSF10D	0.004	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
B Cells|CD8	ALCAM	CD6	0.028	21	B Cells	CD8	small_intestine	HBM735.PSTF.274_reg001
