source	target	count
B Cells	Best4+ Enterocytes	1
B Cells	CD4	1
B Cells	CD8	21
B Cells	Crypt Fibroblasts 1 WNT2B+	21
B Cells	Crypt Fibroblasts 2	7
B Cells	Crypt Fibroblasts 3 RSPO3+	9
B Cells	CyclingTA 1	5
B Cells	D Cells	10
B Cells	DC	4
B Cells	Endothelial-CD36+ Microvascular	17
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	16
B Cells	Enterocytes	14
B Cells	Enteroendocrine	1
B Cells	EnteroendocrineUn	2
B Cells	EnteroendocrineUn 1	4
B Cells	Epithelial	9
B Cells	Glia	2
B Cells	Goblet	7
B Cells	I Cells	15
B Cells	ICC	4
B Cells	Immature Enterocytes	20
B Cells	Immature Goblet	9
B Cells	K Cells	8
B Cells	Lymphatic Endothelial Cells	5
B Cells	Mast	4
B Cells	Mo Cells	12
B Cells	Mono_Macrophages	23
B Cells	Myofibroblasts/SM 1	13
B Cells	Myofibroblasts/SM 2	4
B Cells	Myofibroblasts/SM 3	4
B Cells	Myofibroblasts/SM DES High	8
B Cells	NEUROG3high	4
B Cells	NK	1
B Cells	Neurons	4
B Cells	Pericytes	9
B Cells	Plasma	4
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	4
B Cells	TA1	12
B Cells	TA2	20
B Cells	Villus Fibroblasts WNT5B+	14
Best4+ Enterocytes	B Cells	4
Best4+ Enterocytes	CD4	3
Best4+ Enterocytes	CD8	20
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	17
Best4+ Enterocytes	Crypt Fibroblasts 2	7
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	12
Best4+ Enterocytes	CyclingTA 1	7
Best4+ Enterocytes	D Cells	10
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	16
Best4+ Enterocytes	Endothelial-Venules	15
Best4+ Enterocytes	Enterochromaffin	13
Best4+ Enterocytes	Enterocytes	15
Best4+ Enterocytes	Enteroendocrine	1
Best4+ Enterocytes	EnteroendocrineUn	2
Best4+ Enterocytes	EnteroendocrineUn 1	5
Best4+ Enterocytes	Epithelial	6
Best4+ Enterocytes	Glia	4
Best4+ Enterocytes	Goblet	9
Best4+ Enterocytes	I Cells	11
Best4+ Enterocytes	ICC	5
Best4+ Enterocytes	Immature Enterocytes	19
Best4+ Enterocytes	Immature Goblet	12
Best4+ Enterocytes	K Cells	8
Best4+ Enterocytes	Lymphatic Endothelial Cells	6
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	13
Best4+ Enterocytes	Mono_Macrophages	21
Best4+ Enterocytes	Myofibroblasts/SM 1	12
