column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.296	1	B Cells	Best4+ Enterocytes	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD4	APLP2	PIGR	0.222	1	B Cells	CD4	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.038	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APP	CD74	0.04	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APP	PLXNA4	0.013	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APLP2	PLXNA4	0.115	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APP	SORL1	0.032	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APP	TNFRSF21	0.026	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APLP2	PIGR	1.859	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	APOA1	ABCA1	0.402	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	LRPAP1	SORT1	0.027	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	CCL25	ACKR4	0.037	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	CCL25	CCR9	0.067	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	LGALS3	MERTK	0.048	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	GAS6	MERTK	0.045	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	SST	SSTR1	0.005	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.14	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	CD160	TNFRSF14	0.118	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	WNT2B	FRZB	0.129	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	WNT2B	SFRP5	0.12	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	ALCAM	CD6	0.074	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	CD99	PILRA	0.012	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|CD8	PPIA	BSG	0.126	21	B Cells	CD8	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.085	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.014	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.048	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.044	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.015	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	1.404	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.517	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.028	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.035	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.138	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.134	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.134	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN3	PVR	0.116	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.044	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR3	0.04	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD160	TNFRSF14	0.125	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.119	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.048	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD99	PILRA	0.014	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.133	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.219	21	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	NECTIN2	NECTIN3	0.037	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	APP	CD74	0.023	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.382	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	LRPAP1	SORT1	0.007	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	GAS6	TYRO3	0.037	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	TAX1BP3	ADGRB2	0.117	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 2	CD160	TNFRSF14	0.14	7	B Cells	Crypt Fibroblasts 2	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.03	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APP	PLXNA4	0.073	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PLXNA4	0.175	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.327	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.465	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	LGALS3	MERTK	0.099	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	GAS6	MERTK	0.096	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTH1	SCARA5	0.137	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTL	SCARA5	0.395	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM776.SDCW.837_reg001
B Cells|CyclingTA 1	NECTIN2	NECTIN3	0.008	5	B Cells	CyclingTA 1	small_intestine	HBM776.SDCW.837_reg001
B Cells|CyclingTA 1	APP	CD74	0.015	5	B Cells	CyclingTA 1	small_intestine	HBM776.SDCW.837_reg001
B Cells|CyclingTA 1	APP	SORL1	0.061	5	B Cells	CyclingTA 1	small_intestine	HBM776.SDCW.837_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.29	5	B Cells	CyclingTA 1	small_intestine	HBM776.SDCW.837_reg001
B Cells|CyclingTA 1	CD160	TNFRSF14	0.116	5	B Cells	CyclingTA 1	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.029	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	APP	CD74	0.102	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	APP	SORL1	0.034	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	APLP2	PIGR	1.136	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	LRPAP1	SORT1	0.026	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	LGALS3	MERTK	0.059	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	GAS6	MERTK	0.056	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	SST	SSTR2	0.026	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	CD160	TNFRSF14	0.136	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|D Cells	PPIA	BSG	0.136	10	B Cells	D Cells	small_intestine	HBM776.SDCW.837_reg001
B Cells|DC	APP	CD74	0.095	4	B Cells	DC	small_intestine	HBM776.SDCW.837_reg001
B Cells|DC	APLP2	PIGR	0.238	4	B Cells	DC	small_intestine	HBM776.SDCW.837_reg001
B Cells|DC	CD160	TNFRSF14	0.155	4	B Cells	DC	small_intestine	HBM776.SDCW.837_reg001
B Cells|DC	PPIA	BSG	0.155	4	B Cells	DC	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	NECTIN3	0.089	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	TIGIT	0.035	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN3	TIGIT	0.142	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	CD74	0.314	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	SORL1	0.112	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	APLP2	PIGR	1.07	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	HEBP1	FPR3	0.104	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	LRPAP1	SORT1	0.057	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	CCL25	ACKR4	0.116	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
B Cells|Endothelial-CD36+ Microvascular	LGALS3	MERTK	0.043	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM776.SDCW.837_reg001
