source	target	count
Adipocytes	Crypt Fibroblasts 1 WNT2B+	1
Adipocytes	D Cells	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mono_Macrophages	1
B Cells	Best4+ Enterocytes	3
B Cells	CD8	12
B Cells	Crypt Fibroblasts 1 WNT2B+	13
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	8
B Cells	CyclingTA 1	3
B Cells	D Cells	4
B Cells	Endothelial-CD36+ Microvascular	5
B Cells	Endothelial-Venules	1
B Cells	Enterochromaffin	8
B Cells	Enterocytes	8
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	5
B Cells	Epithelial	6
B Cells	Glia	3
B Cells	Goblet	1
B Cells	I Cells	10
B Cells	ICC	2
B Cells	Immature Enterocytes	15
B Cells	Immature Goblet	8
B Cells	K Cells	2
B Cells	Lymphatic Endothelial Cells	4
B Cells	Mo Cells	8
B Cells	Mono_Macrophages	13
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	7
B Cells	Myofibroblasts/SM 3	4
B Cells	Myofibroblasts/SM DES High	8
B Cells	NEUROG3high	3
B Cells	NK	1
B Cells	Neurons	5
B Cells	Pericytes	6
B Cells	Plasma	6
B Cells	S Cells	4
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	3
B Cells	TA1	4
B Cells	TA2	5
B Cells	Villus Fibroblasts WNT5B+	9
Best4+ Enterocytes	B Cells	3
Best4+ Enterocytes	CD8	14
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	20
Best4+ Enterocytes	Crypt Fibroblasts 2	3
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	8
Best4+ Enterocytes	CyclingTA 1	3
Best4+ Enterocytes	D Cells	6
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	12
Best4+ Enterocytes	Endothelial-Venules	1
Best4+ Enterocytes	Enterochromaffin	16
Best4+ Enterocytes	Enterocytes	11
Best4+ Enterocytes	Enteroendocrine	7
Best4+ Enterocytes	EnteroendocrineUn	10
Best4+ Enterocytes	Epithelial	9
Best4+ Enterocytes	Glia	8
Best4+ Enterocytes	Goblet	2
Best4+ Enterocytes	I Cells	16
Best4+ Enterocytes	ICC	8
Best4+ Enterocytes	Immature Enterocytes	18
Best4+ Enterocytes	Immature Goblet	10
Best4+ Enterocytes	K Cells	3
Best4+ Enterocytes	Lymphatic Endothelial Cells	6
Best4+ Enterocytes	Mo Cells	19
Best4+ Enterocytes	Mono_Macrophages	20
Best4+ Enterocytes	Myofibroblasts/SM 1	18
Best4+ Enterocytes	Myofibroblasts/SM 2	14
Best4+ Enterocytes	Myofibroblasts/SM 3	9
Best4+ Enterocytes	Myofibroblasts/SM DES High	6
Best4+ Enterocytes	NEUROG3high	7
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	9
Best4+ Enterocytes	Pericytes	10
Best4+ Enterocytes	Plasma	9
Best4+ Enterocytes	S Cells	8
Best4+ Enterocytes	Secretory Specialized MUC6+	2
Best4+ Enterocytes	Stem	4
Best4+ Enterocytes	TA1	7
Best4+ Enterocytes	TA2	11
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	16
CD4	CD8	1
CD4	Crypt Fibroblasts 1 WNT2B+	1
CD4	Endothelial-CD36+ Microvascular	1
CD4	Enterochromaffin	1
CD4	Epithelial	1
CD4	I Cells	1
CD4	Immature Enterocytes	1
CD4	Lymphatic Endothelial Cells	1
CD4	Mono_Macrophages	1
CD4	Myofibroblasts/SM 1	1
CD4	Myofibroblasts/SM 2	1
CD4	Myofibroblasts/SM DES High	1
CD4	NEUROG3high	1
CD4	Plasma	1
CD4	TA1	1
CD4	TA2	1
CD4	Villus Fibroblasts WNT5B+	1
CD8	B Cells	9
CD8	Best4+ Enterocytes	6
CD8	CD4	1
