column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.108	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.274	1	Adipocytes	D Cells	small_intestine	HBM777.TLQL.487_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.143	1	Adipocytes	Enteroendocrine	small_intestine	HBM777.TLQL.487_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.138	1	Adipocytes	I Cells	small_intestine	HBM777.TLQL.487_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.2	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM777.TLQL.487_reg001
Adipocytes|Mono_Macrophages	CD96	NECTIN1	0.108	1	Adipocytes	Mono_Macrophages	small_intestine	HBM777.TLQL.487_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.114	3	B Cells	Best4+ Enterocytes	small_intestine	HBM777.TLQL.487_reg001
B Cells|Best4+ Enterocytes	SEMA4D	PLXNB2	0.016	3	B Cells	Best4+ Enterocytes	small_intestine	HBM777.TLQL.487_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.006	3	B Cells	Best4+ Enterocytes	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.014	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	APP	CD74	0.006	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	APP	SORL1	0.005	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	APLP2	PIGR	0.236	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	APOA1	ABCA1	0.189	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	CCL25	ACKR4	0.003	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	CCL25	CCR9	0.047	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	LGALS3	MERTK	0.013	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	GAS6	MERTK	0.013	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	SEMA4D	PTPRC	0.188	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	PPIA	BSG	0.006	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|CD8	PTPRC	MRC1	0.004	12	B Cells	CD8	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.023	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.007	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.009	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.007	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.553	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.28	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.008	13	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM777.TLQL.487_reg001
