source	target	count
B Cells	Best4+ Enterocytes	1
B Cells	CD4	2
B Cells	CD8	16
B Cells	Crypt Fibroblasts 1 WNT2B+	19
B Cells	Crypt Fibroblasts 2	5
B Cells	Crypt Fibroblasts 3 RSPO3+	10
B Cells	CyclingTA 1	6
B Cells	D Cells	7
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	18
B Cells	Endothelial-Venules	16
B Cells	Enterochromaffin	13
B Cells	Enterocytes	11
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	2
B Cells	EnteroendocrineUn 1	1
B Cells	Epithelial	5
B Cells	Glia	2
B Cells	Goblet	5
B Cells	I Cells	10
B Cells	ICC	4
B Cells	Immature Enterocytes	14
B Cells	Immature Goblet	6
B Cells	K Cells	7
B Cells	Lymphatic Endothelial Cells	4
B Cells	Mo Cells	8
B Cells	Mono_Macrophages	16
B Cells	Myofibroblasts/SM 1	13
B Cells	Myofibroblasts/SM 2	3
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	8
B Cells	NEUROG3high	3
B Cells	NK	1
B Cells	Neurons	5
B Cells	Pericytes	3
B Cells	Plasma	4
B Cells	S Cells	3
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	3
B Cells	TA1	12
B Cells	TA2	13
B Cells	Villus Fibroblasts WNT5B+	11
Best4+ Enterocytes	B Cells	5
Best4+ Enterocytes	CD4	6
Best4+ Enterocytes	CD8	20
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	23
Best4+ Enterocytes	Crypt Fibroblasts 2	7
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	11
Best4+ Enterocytes	CyclingTA 1	11
Best4+ Enterocytes	D Cells	8
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	21
Best4+ Enterocytes	Endothelial-Venules	20
Best4+ Enterocytes	Enterochromaffin	16
Best4+ Enterocytes	Enterocytes	15
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	2
Best4+ Enterocytes	EnteroendocrineUn 1	3
Best4+ Enterocytes	Epithelial	4
Best4+ Enterocytes	Glia	5
Best4+ Enterocytes	Goblet	12
Best4+ Enterocytes	I Cells	10
Best4+ Enterocytes	ICC	7
Best4+ Enterocytes	Immature Enterocytes	16
Best4+ Enterocytes	Immature Goblet	10
Best4+ Enterocytes	K Cells	12
Best4+ Enterocytes	Lymphatic Endothelial Cells	7
Best4+ Enterocytes	Mo Cells	14
Best4+ Enterocytes	Mono_Macrophages	21
Best4+ Enterocytes	Myofibroblasts/SM 1	15
Best4+ Enterocytes	Myofibroblasts/SM 2	6
Best4+ Enterocytes	Myofibroblasts/SM 3	4
Best4+ Enterocytes	Myofibroblasts/SM DES High	10
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	8
Best4+ Enterocytes	Pericytes	3
Best4+ Enterocytes	Plasma	4
Best4+ Enterocytes	S Cells	4
Best4+ Enterocytes	Secretory Specialized MUC6+	5
Best4+ Enterocytes	Stem	5
Best4+ Enterocytes	TA1	14
Best4+ Enterocytes	TA2	13
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	17
CD4	B Cells	2
CD4	Best4+ Enterocytes	1
CD4	CD8	9
CD4	Crypt Fibroblasts 1 WNT2B+	11
CD4	Crypt Fibroblasts 2	3
CD4	Crypt Fibroblasts 3 RSPO3+	4
CD4	CyclingTA 1	5
CD4	D Cells	5
CD4	DC	1
CD4	Endothelial-CD36+ Microvascular	6
CD4	Endothelial-Venules	4
CD4	Enterochromaffin	5
CD4	Enterocytes	7
CD4	Enteroendocrine	3
CD4	EnteroendocrineUn 1	2
CD4	Goblet	2
CD4	I Cells	6
CD4	ICC	1
CD4	Immature Enterocytes	6
CD4	Immature Goblet	2
CD4	K Cells	3
CD4	Lymphatic Endothelial Cells	3
CD4	Mo Cells	4
CD4	Mono_Macrophages	8
CD4	Myofibroblasts/SM 1	7
CD4	Myofibroblasts/SM DES High	7
CD4	Neurons	2
CD4	Plasma	1
CD4	S Cells	1
CD4	Secretory Specialized MUC6+	1
CD4	TA1	5
CD4	TA2	6
CD4	Villus Fibroblasts WNT5B+	5
CD8	B Cells	9
CD8	Best4+ Enterocytes	3
CD8	CD4	8
CD8	Crypt Fibroblasts 1 WNT2B+	81
CD8	Crypt Fibroblasts 2	26
CD8	Crypt Fibroblasts 3 RSPO3+	24
CD8	CyclingTA 1	19
CD8	D Cells	30
CD8	DC	14
CD8	Endothelial-CD36+ Microvascular	69
CD8	Endothelial-Venules	56
CD8	Enterochromaffin	47
CD8	Enterocytes	37
CD8	Enteroendocrine	17
CD8	EnteroendocrineUn	2
CD8	EnteroendocrineUn 1	10
CD8	Epithelial	10
CD8	Glia	10
CD8	Goblet	20
CD8	I Cells	39
CD8	ICC	32
CD8	Immature Enterocytes	45
CD8	Immature Goblet	23
CD8	K Cells	31
CD8	Lymphatic Endothelial Cells	25
CD8	Mo Cells	38
CD8	Mono_Macrophages	61
CD8	Myofibroblasts/SM 1	57
CD8	Myofibroblasts/SM 2	12
CD8	Myofibroblasts/SM 3	14
CD8	Myofibroblasts/SM DES High	30
CD8	NEUROG3high	5
CD8	NK	1
CD8	Neurons	19
CD8	Pericytes	12
CD8	Plasma	27
CD8	S Cells	13
CD8	Secretory Specialized MUC6+	5
CD8	Stem	8
CD8	TA1	35
CD8	TA2	39
CD8	Villus Fibroblasts WNT5B+	52
Crypt Fibroblasts 1 WNT2B+	B Cells	14
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	13
Crypt Fibroblasts 1 WNT2B+	CD4	15
Crypt Fibroblasts 1 WNT2B+	CD8	107
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	45
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	38
