column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.216	1	B Cells	Best4+ Enterocytes	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD4	APLP2	PIGR	0.155	2	B Cells	CD4	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD4	ALCAM	CD6	0.018	2	B Cells	CD4	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.043	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	APP	CD74	0.045	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	APP	SORL1	0.058	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	APP	TNFRSF21	0.039	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	APLP2	PIGR	1.266	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	APOA1	ABCA1	0.433	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	CCL25	CCR9	0.071	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	LGALS3	MERTK	0.03	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	GAS6	MERTK	0.03	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	TAC3	TACR1	0.015	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.09	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	CD160	TNFRSF14	0.081	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	WNT2B	FRZB	0.083	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	WNT2B	SFRP5	0.078	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	ALCAM	CD6	0.051	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|CD8	PPIA	BSG	0.092	16	B Cells	CD8	small_intestine	HBM784.TKZX.992_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.121	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM784.TKZX.992_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.014	19	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM784.TKZX.992_reg001
