source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	D Cells	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
Adipocytes	TA1	1
B Cells	CD8	6
B Cells	Crypt Fibroblasts 1 WNT2B+	5
B Cells	Crypt Fibroblasts 3 RSPO3+	4
B Cells	D Cells	2
B Cells	DC	1
B Cells	Endothelial-CD36+ Microvascular	3
B Cells	Endothelial-Venules	1
B Cells	Enterochromaffin	4
B Cells	Enterocytes	5
B Cells	Enteroendocrine	1
B Cells	EnteroendocrineUn	2
B Cells	EnteroendocrineUn 1	4
B Cells	I Cells	5
B Cells	ICC	1
B Cells	Immature Enterocytes	4
B Cells	Immature Goblet	2
B Cells	K Cells	1
B Cells	Lymphatic Endothelial Cells	3
B Cells	Mo Cells	4
B Cells	Mono_Macrophages	4
B Cells	Myofibroblasts/SM 1	4
B Cells	Myofibroblasts/SM 2	3
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	5
B Cells	NEUROG3high	2
B Cells	Pericytes	1
B Cells	Plasma	2
B Cells	S Cells	2
B Cells	Secretory Specialized MUC6+	3
B Cells	TA1	2
B Cells	TA2	2
B Cells	Villus Fibroblasts WNT5B+	3
Best4+ Enterocytes	B Cells	1
Best4+ Enterocytes	CD8	18
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	18
Best4+ Enterocytes	Crypt Fibroblasts 2	4
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	9
Best4+ Enterocytes	CyclingTA 1	9
Best4+ Enterocytes	D Cells	9
Best4+ Enterocytes	DC	3
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	11
Best4+ Enterocytes	Endothelial-Venules	12
Best4+ Enterocytes	Enterochromaffin	14
Best4+ Enterocytes	Enterocytes	15
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	6
Best4+ Enterocytes	EnteroendocrineUn 1	8
Best4+ Enterocytes	Epithelial	5
Best4+ Enterocytes	Glia	4
Best4+ Enterocytes	Goblet	5
Best4+ Enterocytes	I Cells	11
Best4+ Enterocytes	ICC	5
Best4+ Enterocytes	Immature Enterocytes	19
Best4+ Enterocytes	Immature Goblet	10
Best4+ Enterocytes	K Cells	13
Best4+ Enterocytes	Lymphatic Endothelial Cells	5
Best4+ Enterocytes	Mast	3
Best4+ Enterocytes	Mo Cells	20
Best4+ Enterocytes	Mono_Macrophages	13
Best4+ Enterocytes	Myofibroblasts/SM 1	15
Best4+ Enterocytes	Myofibroblasts/SM 2	16
Best4+ Enterocytes	Myofibroblasts/SM 3	6
Best4+ Enterocytes	Myofibroblasts/SM DES High	8
Best4+ Enterocytes	NEUROG3high	4
Best4+ Enterocytes	NK	1
