column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.037	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM829.QZQP.626_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.441	1	Adipocytes	D Cells	small_intestine	HBM829.QZQP.626_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.047	1	Adipocytes	Enteroendocrine	small_intestine	HBM829.QZQP.626_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.378	1	Adipocytes	I Cells	small_intestine	HBM829.QZQP.626_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.32	1	Adipocytes	K Cells	small_intestine	HBM829.QZQP.626_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.117	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM829.QZQP.626_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.098	1	Adipocytes	Mo Cells	small_intestine	HBM829.QZQP.626_reg001
B Cells|CD8	SEMA4D	PLXNB2	0.003	2	B Cells	CD8	small_intestine	HBM829.QZQP.626_reg001
B Cells|CD8	SEMA4D	PTPRC	0.107	2	B Cells	CD8	small_intestine	HBM829.QZQP.626_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.118	5	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM829.QZQP.626_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD55	ADGRE5	0.057	5	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM829.QZQP.626_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.004	5	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM829.QZQP.626_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB1	0.003	5	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM829.QZQP.626_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.021	5	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM829.QZQP.626_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.078	1	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM829.QZQP.626_reg001
B Cells|Endothelial-CD36+ Microvascular	CD55	ADGRE5	0.003	2	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM829.QZQP.626_reg001
B Cells|Endothelial-CD36+ Microvascular	SEMA4D	PTPRC	0.019	2	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM829.QZQP.626_reg001
B Cells|Enterochromaffin	SEMA4D	PTPRC	0.005	1	B Cells	Enterochromaffin	small_intestine	HBM829.QZQP.626_reg001
B Cells|Enterocytes	APOA1	ABCA1	0.067	2	B Cells	Enterocytes	small_intestine	HBM829.QZQP.626_reg001
B Cells|Enterocytes	SEMA4D	PLXNB2	0.003	2	B Cells	Enterocytes	small_intestine	HBM829.QZQP.626_reg001
B Cells|Enteroendocrine	SEMA4D	PLXNB2	0.02	1	B Cells	Enteroendocrine	small_intestine	HBM829.QZQP.626_reg001
B Cells|Goblet	CD55	ADGRE5	0.001	1	B Cells	Goblet	small_intestine	HBM829.QZQP.626_reg001
B Cells|I Cells	SEMA4D	PLXNB2	0.008	2	B Cells	I Cells	small_intestine	HBM829.QZQP.626_reg001
B Cells|I Cells	SEMA4D	PLXNB1	0.008	2	B Cells	I Cells	small_intestine	HBM829.QZQP.626_reg001
B Cells|ICC	APOA1	ABCA1	0.078	1	B Cells	ICC	small_intestine	HBM829.QZQP.626_reg001
B Cells|Immature Enterocytes	CD55	ADGRE5	0.001	1	B Cells	Immature Enterocytes	small_intestine	HBM829.QZQP.626_reg001
B Cells|Immature Goblet	SEMA4D	PLXNB2	0.002	1	B Cells	Immature Goblet	small_intestine	HBM829.QZQP.626_reg001
B Cells|Lymphatic Endothelial Cells	APOA1	ABCA1	0.154	2	B Cells	Lymphatic Endothelial Cells	small_intestine	HBM829.QZQP.626_reg001
B Cells|Lymphatic Endothelial Cells	SEMA4D	PLXNB1	0.015	2	B Cells	Lymphatic Endothelial Cells	small_intestine	HBM829.QZQP.626_reg001
B Cells|Mo Cells	CD55	ADGRE5	0.023	3	B Cells	Mo Cells	small_intestine	HBM829.QZQP.626_reg001
