source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	D Cells	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Immature Enterocytes	1
Adipocytes	Immature Goblet	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
Adipocytes	Mono_Macrophages	1
B Cells	Best4+ Enterocytes	1
B Cells	CD8	17
B Cells	Crypt Fibroblasts 1 WNT2B+	16
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	10
B Cells	CyclingTA 1	2
B Cells	D Cells	3
B Cells	DC	5
B Cells	Endothelial-CD36+ Microvascular	17
B Cells	Endothelial-Venules	9
B Cells	Enterochromaffin	17
B Cells	Enterocytes	11
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	9
B Cells	EnteroendocrineUn 1	1
B Cells	Epithelial	6
B Cells	Glia	2
B Cells	Goblet	4
B Cells	I Cells	15
B Cells	ICC	2
B Cells	Immature Enterocytes	16
B Cells	Immature Goblet	4
B Cells	K Cells	7
B Cells	Lymphatic Endothelial Cells	5
B Cells	Mo Cells	15
B Cells	Mono_Macrophages	21
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	4
B Cells	Myofibroblasts/SM 3	3
B Cells	Myofibroblasts/SM DES High	5
B Cells	NEUROG3high	5
B Cells	NK	1
B Cells	Neurons	7
B Cells	Pericytes	6
B Cells	Plasma	7
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	3
B Cells	TA1	10
B Cells	TA2	9
B Cells	Villus Fibroblasts WNT5B+	13
Best4+ Enterocytes	B Cells	5
Best4+ Enterocytes	CD8	14
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	12
Best4+ Enterocytes	Crypt Fibroblasts 2	3
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	12
Best4+ Enterocytes	CyclingTA 1	3
Best4+ Enterocytes	D Cells	5
Best4+ Enterocytes	DC	1
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	11
Best4+ Enterocytes	Endothelial-Venules	11
Best4+ Enterocytes	Enterochromaffin	11
Best4+ Enterocytes	Enterocytes	8
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	8
Best4+ Enterocytes	EnteroendocrineUn 1	3
Best4+ Enterocytes	Epithelial	6
Best4+ Enterocytes	Glia	3
Best4+ Enterocytes	Goblet	3
Best4+ Enterocytes	I Cells	12
Best4+ Enterocytes	ICC	5
Best4+ Enterocytes	Immature Enterocytes	12
Best4+ Enterocytes	Immature Goblet	5
Best4+ Enterocytes	K Cells	6
Best4+ Enterocytes	Lymphatic Endothelial Cells	8
Best4+ Enterocytes	Mo Cells	14
Best4+ Enterocytes	Mono_Macrophages	14
