column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.066	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.562	1	Adipocytes	D Cells	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.063	1	Adipocytes	Enterocytes	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.083	1	Adipocytes	Enteroendocrine	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.171	1	Adipocytes	I Cells	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Immature Enterocytes	CD96	NECTIN1	0.063	1	Adipocytes	Immature Enterocytes	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.063	1	Adipocytes	Immature Goblet	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.247	1	Adipocytes	K Cells	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.115	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.092	1	Adipocytes	Mo Cells	small_intestine	HBM837.RHNC.533_reg001
Adipocytes|Mono_Macrophages	CD96	NECTIN1	0.064	1	Adipocytes	Mono_Macrophages	small_intestine	HBM837.RHNC.533_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.042	1	B Cells	Best4+ Enterocytes	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	APP	CD74	0.013	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	APP	SORL1	0.021	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	APP	TNFRSF21	0.007	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	APLP2	PIGR	1.06	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	APOA1	ABCA1	0.055	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	LRPAP1	SORT1	0.007	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	CCL25	CCR9	0.233	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	LGALS3	MERTK	0.121	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	GAS6	MERTK	0.119	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	SEMA4D	PLXNB2	0.008	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	SEMA4D	PLXNB1	0.009	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	SEMA4D	PTPRC	0.752	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	TAC3	TACR1	0.008	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.016	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	WNT2B	FRZB	0.004	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	ALCAM	CD6	0.029	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|CD8	PPIA	BSG	0.022	17	B Cells	CD8	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.028	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.06	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.005	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.852	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.119	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.023	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.184	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.183	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.019	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.01	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.029	16	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM837.RHNC.533_reg001
