source	target	count
B Cells	Best4+ Enterocytes	1
B Cells	CD4	1
B Cells	CD8	18
B Cells	Crypt Fibroblasts 1 WNT2B+	18
B Cells	Crypt Fibroblasts 2	6
B Cells	Crypt Fibroblasts 3 RSPO3+	9
B Cells	CyclingTA 1	4
B Cells	D Cells	9
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	17
B Cells	Endothelial-Venules	16
B Cells	Enterochromaffin	9
B Cells	Enterocytes	12
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	2
B Cells	EnteroendocrineUn 1	1
B Cells	Epithelial	7
B Cells	Glia	3
B Cells	Goblet	7
B Cells	I Cells	7
B Cells	ICC	4
B Cells	Immature Enterocytes	13
B Cells	Immature Goblet	9
B Cells	K Cells	5
B Cells	Lymphatic Endothelial Cells	6
B Cells	Mo Cells	10
B Cells	Mono_Macrophages	21
B Cells	Myofibroblasts/SM 1	13
B Cells	Myofibroblasts/SM 2	1
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	10
B Cells	Neurons	4
B Cells	Plasma	4
B Cells	S Cells	3
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	2
B Cells	TA1	11
B Cells	TA2	18
B Cells	Villus Fibroblasts WNT5B+	10
Best4+ Enterocytes	B Cells	7
Best4+ Enterocytes	CD4	4
Best4+ Enterocytes	CD8	20
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	20
Best4+ Enterocytes	Crypt Fibroblasts 2	6
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	13
Best4+ Enterocytes	CyclingTA 1	9
Best4+ Enterocytes	D Cells	12
Best4+ Enterocytes	DC	2
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	20
Best4+ Enterocytes	Endothelial-Venules	18
Best4+ Enterocytes	Enterochromaffin	7
Best4+ Enterocytes	Enterocytes	14
Best4+ Enterocytes	Enteroendocrine	4
Best4+ Enterocytes	EnteroendocrineUn	2
Best4+ Enterocytes	EnteroendocrineUn 1	2
Best4+ Enterocytes	Epithelial	6
Best4+ Enterocytes	Glia	5
Best4+ Enterocytes	Goblet	10
Best4+ Enterocytes	I Cells	12
Best4+ Enterocytes	ICC	6
Best4+ Enterocytes	Immature Enterocytes	19
Best4+ Enterocytes	Immature Goblet	12
Best4+ Enterocytes	K Cells	6
Best4+ Enterocytes	Lymphatic Endothelial Cells	10
Best4+ Enterocytes	Mo Cells	14
Best4+ Enterocytes	Mono_Macrophages	23
Best4+ Enterocytes	Myofibroblasts/SM 1	13
Best4+ Enterocytes	Myofibroblasts/SM 2	2
Best4+ Enterocytes	Myofibroblasts/SM 3	2
