column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.389	1	B Cells	Best4+ Enterocytes	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD4	APLP2	PIGR	0.404	1	B Cells	CD4	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.091	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	APP	CD74	0.022	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	APP	SORL1	0.017	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	APP	TNFRSF21	0.027	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	APLP2	PIGR	1.721	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	APOA1	ABCA1	0.417	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	CCL25	ACKR4	0.01	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	CCL25	CCR9	0.065	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	LGALS3	MERTK	0.022	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	GAS6	MERTK	0.022	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	TAC3	TACR1	0.01	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.25	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	CD160	TNFRSF14	0.25	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	WNT2B	FRZB	0.254	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	WNT2B	SFRP2	0.247	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	ALCAM	CD6	0.033	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	CD99	PILRA	0.01	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|CD8	PPIA	BSG	0.253	18	B Cells	CD8	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.063	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.007	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.106	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.017	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.012	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	1.701	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.546	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.118	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.118	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.112	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN3	PVR	0.239	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.01	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD160	TNFRSF14	0.242	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.239	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.04	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD99	PILRA	0.01	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.279	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.319	18	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 2	NECTIN2	NECTIN3	0.017	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 2	APP	CD74	0.174	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.676	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 2	GAS6	TYRO3	0.064	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 2	TAX1BP3	ADGRB2	0.296	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 2	CD160	TNFRSF14	0.246	6	B Cells	Crypt Fibroblasts 2	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.049	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APP	PLXNA4	0.033	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PLXNA4	0.262	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.41	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.443	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	LGALS3	MERTK	0.033	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	GAS6	MERTK	0.033	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTH1	SCARA5	0.083	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	FTL	SCARA5	0.527	9	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM842.LQDP.877_reg001
B Cells|CyclingTA 1	NECTIN2	NECTIN3	0.012	4	B Cells	CyclingTA 1	small_intestine	HBM842.LQDP.877_reg001
B Cells|CyclingTA 1	APP	CD74	0.012	4	B Cells	CyclingTA 1	small_intestine	HBM842.LQDP.877_reg001
B Cells|CyclingTA 1	APP	SORL1	0.029	4	B Cells	CyclingTA 1	small_intestine	HBM842.LQDP.877_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.496	4	B Cells	CyclingTA 1	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.202	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	APP	CD74	0.309	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	APP	SORL1	0.071	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	APLP2	PIGR	2.503	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	LGALS3	MERTK	0.024	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	GAS6	MERTK	0.024	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	CD160	TNFRSF14	0.369	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	CD99	PILRA	0.08	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|D Cells	PPIA	BSG	0.253	9	B Cells	D Cells	small_intestine	HBM842.LQDP.877_reg001
B Cells|DC	APP	CD74	0.512	3	B Cells	DC	small_intestine	HBM842.LQDP.877_reg001
B Cells|DC	APLP2	PIGR	1.241	3	B Cells	DC	small_intestine	HBM842.LQDP.877_reg001
B Cells|DC	CD160	TNFRSF14	0.488	3	B Cells	DC	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	NECTIN3	0.074	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	CD74	0.194	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	SORL1	0.096	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	TNFRSF21	0.014	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	APLP2	PIGR	0.907	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	APOA1	ABCA1	0.42	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	CCL25	ACKR4	0.066	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	LGALS3	MERTK	0.026	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	GAS6	MERTK	0.026	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	GAS6	TYRO3	0.013	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
B Cells|Endothelial-CD36+ Microvascular	TAC3	TACR1	0.01	17	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM842.LQDP.877_reg001
