source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	Crypt Fibroblasts 1 WNT2B+	1
Adipocytes	D Cells	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	Immature Goblet	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
B Cells	Best4+ Enterocytes	1
B Cells	CD8	19
B Cells	Crypt Fibroblasts 1 WNT2B+	17
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	7
B Cells	CyclingTA 1	3
B Cells	D Cells	8
B Cells	Endothelial-CD36+ Microvascular	20
B Cells	Endothelial-Venules	13
B Cells	Enterochromaffin	13
B Cells	Enterocytes	11
B Cells	Enteroendocrine	3
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	5
B Cells	Epithelial	4
B Cells	Glia	2
B Cells	Goblet	6
B Cells	I Cells	15
B Cells	ICC	2
B Cells	Immature Enterocytes	16
B Cells	Immature Goblet	6
B Cells	K Cells	9
B Cells	Lymphatic Endothelial Cells	4
B Cells	Mast	4
B Cells	Mo Cells	13
B Cells	Mono_Macrophages	17
B Cells	Myofibroblasts/SM 1	11
B Cells	Myofibroblasts/SM 2	8
B Cells	Myofibroblasts/SM 3	4
B Cells	Myofibroblasts/SM DES High	8
B Cells	NEUROG3high	2
B Cells	NK	1
B Cells	Neurons	7
B Cells	Pericytes	8
B Cells	Plasma	5
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	3
B Cells	TA1	8
B Cells	TA2	10
B Cells	Villus Fibroblasts WNT5B+	14
Best4+ Enterocytes	B Cells	5
Best4+ Enterocytes	CD8	19
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	20
Best4+ Enterocytes	Crypt Fibroblasts 2	4
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	11
Best4+ Enterocytes	CyclingTA 1	3
Best4+ Enterocytes	D Cells	7
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	18
Best4+ Enterocytes	Endothelial-Venules	14
Best4+ Enterocytes	Enterochromaffin	14
Best4+ Enterocytes	Enterocytes	12
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	4
Best4+ Enterocytes	EnteroendocrineUn 1	9
Best4+ Enterocytes	Epithelial	5
Best4+ Enterocytes	Glia	7
Best4+ Enterocytes	Goblet	5
Best4+ Enterocytes	I Cells	15
Best4+ Enterocytes	ICC	6
Best4+ Enterocytes	Immature Enterocytes	13
Best4+ Enterocytes	Immature Goblet	7
Best4+ Enterocytes	K Cells	10
Best4+ Enterocytes	Lymphatic Endothelial Cells	8
Best4+ Enterocytes	Mast	2
Best4+ Enterocytes	Mo Cells	15
Best4+ Enterocytes	Mono_Macrophages	17
Best4+ Enterocytes	Myofibroblasts/SM 1	13
Best4+ Enterocytes	Myofibroblasts/SM 2	10
Best4+ Enterocytes	Myofibroblasts/SM 3	9
Best4+ Enterocytes	Myofibroblasts/SM DES High	5
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	9
Best4+ Enterocytes	Pericytes	10
Best4+ Enterocytes	Plasma	5
Best4+ Enterocytes	S Cells	5
Best4+ Enterocytes	Secretory Specialized MUC6+	3
Best4+ Enterocytes	Stem	1
Best4+ Enterocytes	TA1	10
Best4+ Enterocytes	TA2	10
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	15
CD4	Best4+ Enterocytes	1
CD4	CD8	2
CD4	Crypt Fibroblasts 1 WNT2B+	1
CD4	Crypt Fibroblasts 3 RSPO3+	1
CD4	Endothelial-CD36+ Microvascular	1
CD4	Endothelial-Venules	1
CD4	Enterochromaffin	1
CD4	Enterocytes	1
CD4	Enteroendocrine	1
CD4	EnteroendocrineUn	2
CD4	EnteroendocrineUn 1	2
CD4	Glia	2
CD4	I Cells	3
CD4	ICC	2
CD4	Immature Enterocytes	2
CD4	Immature Goblet	1
CD4	K Cells	1
CD4	Lymphatic Endothelial Cells	2
CD4	Mo Cells	2
CD4	Mono_Macrophages	2
CD4	Myofibroblasts/SM 1	2
CD4	Myofibroblasts/SM 2	1
CD4	Myofibroblasts/SM 3	2
CD4	Myofibroblasts/SM DES High	1
CD4	NEUROG3high	1
CD4	Neurons	3
CD4	Pericytes	1
CD4	Plasma	1
CD4	S Cells	1
CD4	TA1	1
CD4	TA2	3
CD4	Villus Fibroblasts WNT5B+	2
CD8	B Cells	15
CD8	Best4+ Enterocytes	7
CD8	Crypt Fibroblasts 1 WNT2B+	67
CD8	Crypt Fibroblasts 2	13
CD8	Crypt Fibroblasts 3 RSPO3+	19
CD8	CyclingTA 1	7
CD8	D Cells	20
CD8	Endothelial-CD36+ Microvascular	67
CD8	Endothelial-Venules	41
CD8	Enterochromaffin	37
CD8	Enterocytes	29
CD8	Enteroendocrine	11
CD8	EnteroendocrineUn	10
CD8	EnteroendocrineUn 1	27
CD8	Epithelial	9
CD8	Glia	7
CD8	Goblet	14
CD8	I Cells	49
CD8	ICC	21
CD8	Immature Enterocytes	41
CD8	Immature Goblet	13
CD8	K Cells	22
CD8	Lymphatic Endothelial Cells	18
CD8	Mast	5
CD8	Mo Cells	39
CD8	Mono_Macrophages	56
CD8	Myofibroblasts/SM 1	45
CD8	Myofibroblasts/SM 2	31
CD8	Myofibroblasts/SM 3	23
CD8	Myofibroblasts/SM DES High	25
CD8	NEUROG3high	3
CD8	NK	1
CD8	Neurons	24
CD8	Pericytes	23
CD8	Plasma	17
CD8	S Cells	14
CD8	Secretory Specialized MUC6+	7
CD8	Stem	6
CD8	TA1	23
CD8	TA2	27
CD8	Villus Fibroblasts WNT5B+	42
Crypt Fibroblasts 1 WNT2B+	B Cells	25
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	11
Crypt Fibroblasts 1 WNT2B+	CD8	84
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	22
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	40
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	15
Crypt Fibroblasts 1 WNT2B+	D Cells	25
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	104
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	65
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	69
Crypt Fibroblasts 1 WNT2B+	Enterocytes	52
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	22
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	22
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	50
Crypt Fibroblasts 1 WNT2B+	Epithelial	22
Crypt Fibroblasts 1 WNT2B+	Glia	22
Crypt Fibroblasts 1 WNT2B+	Goblet	23
Crypt Fibroblasts 1 WNT2B+	I Cells	82
Crypt Fibroblasts 1 WNT2B+	ICC	33
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	65
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	21
Crypt Fibroblasts 1 WNT2B+	K Cells	33
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	26
Crypt Fibroblasts 1 WNT2B+	Mast	12
Crypt Fibroblasts 1 WNT2B+	Mo Cells	62
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	92
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	76
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	47
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	43
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	37
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	9
Crypt Fibroblasts 1 WNT2B+	NK	2
Crypt Fibroblasts 1 WNT2B+	Neurons	48
Crypt Fibroblasts 1 WNT2B+	Pericytes	48
Crypt Fibroblasts 1 WNT2B+	Plasma	36
Crypt Fibroblasts 1 WNT2B+	S Cells	29
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	9
Crypt Fibroblasts 1 WNT2B+	Stem	5
Crypt Fibroblasts 1 WNT2B+	TA1	34
Crypt Fibroblasts 1 WNT2B+	TA2	45
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	66
Crypt Fibroblasts 2	B Cells	6
Crypt Fibroblasts 2	Best4+ Enterocytes	4
Crypt Fibroblasts 2	CD8	23
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	26
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	13
Crypt Fibroblasts 2	CyclingTA 1	5
Crypt Fibroblasts 2	D Cells	7
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	34
Crypt Fibroblasts 2	Endothelial-Venules	22
Crypt Fibroblasts 2	Enterochromaffin	19
Crypt Fibroblasts 2	Enterocytes	15
Crypt Fibroblasts 2	Enteroendocrine	6
Crypt Fibroblasts 2	EnteroendocrineUn	5
Crypt Fibroblasts 2	EnteroendocrineUn 1	13
Crypt Fibroblasts 2	Epithelial	8
Crypt Fibroblasts 2	Glia	7
Crypt Fibroblasts 2	Goblet	6
Crypt Fibroblasts 2	I Cells	19
Crypt Fibroblasts 2	ICC	7
Crypt Fibroblasts 2	Immature Enterocytes	19
Crypt Fibroblasts 2	Immature Goblet	7
Crypt Fibroblasts 2	K Cells	9
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	9
Crypt Fibroblasts 2	Mast	4
Crypt Fibroblasts 2	Mo Cells	20
Crypt Fibroblasts 2	Mono_Macrophages	24
Crypt Fibroblasts 2	Myofibroblasts/SM 1	20
Crypt Fibroblasts 2	Myofibroblasts/SM 2	13
Crypt Fibroblasts 2	Myofibroblasts/SM 3	15
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	11
Crypt Fibroblasts 2	NEUROG3high	4
Crypt Fibroblasts 2	NK	1
Crypt Fibroblasts 2	Neurons	14
Crypt Fibroblasts 2	Pericytes	17
Crypt Fibroblasts 2	Plasma	7
Crypt Fibroblasts 2	S Cells	8
Crypt Fibroblasts 2	Secretory Specialized MUC6+	2
Crypt Fibroblasts 2	Stem	3
Crypt Fibroblasts 2	TA1	11
Crypt Fibroblasts 2	TA2	13
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	21
Crypt Fibroblasts 3 RSPO3+	B Cells	9
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	4
Crypt Fibroblasts 3 RSPO3+	CD8	28
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	43
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	13
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	7
Crypt Fibroblasts 3 RSPO3+	D Cells	8
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	45
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	32
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	23
Crypt Fibroblasts 3 RSPO3+	Enterocytes	18
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	10
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn	11
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	18
Crypt Fibroblasts 3 RSPO3+	Epithelial	10
Crypt Fibroblasts 3 RSPO3+	Glia	6
Crypt Fibroblasts 3 RSPO3+	Goblet	9
Crypt Fibroblasts 3 RSPO3+	I Cells	34
Crypt Fibroblasts 3 RSPO3+	ICC	17
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	30
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	12
Crypt Fibroblasts 3 RSPO3+	K Cells	18
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	12
Crypt Fibroblasts 3 RSPO3+	Mast	5
Crypt Fibroblasts 3 RSPO3+	Mo Cells	25
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	35
