column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.026	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.025	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.476	1	Adipocytes	D Cells	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.024	1	Adipocytes	Enterocytes	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.036	1	Adipocytes	Enteroendocrine	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.079	1	Adipocytes	I Cells	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.024	1	Adipocytes	Immature Goblet	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.099	1	Adipocytes	K Cells	small_intestine	HBM926.SHNZ.594_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.054	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.029	1	B Cells	Best4+ Enterocytes	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.113	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	APP	CD74	0.008	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	APP	SORL1	0.026	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	APP	TNFRSF21	0.03	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	APLP2	PIGR	0.883	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	APOA1	ABCA1	0.151	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	LRPAP1	SORT1	0.03	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	CCL25	ACKR4	0.005	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	CCL25	CCR9	0.128	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	LGALS3	MERTK	0.063	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	GAS6	MERTK	0.062	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	CD55	ADGRE5	0.129	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	SST	SSTR1	0.003	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	TAC3	TACR1	0.005	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.014	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	WNT2B	FRZB	0.003	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	WNT2B	SFRP2	0.009	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	ALCAM	CD6	0.033	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|CD8	PPIA	BSG	0.027	19	B Cells	CD8	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.05	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.01	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.038	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.009	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.391	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.155	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.014	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.009	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.09	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.089	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.031	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD55	ADGRE5	0.022	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.007	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.009	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.01	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM926.SHNZ.594_reg001
