source	target	count
B Cells	Best4+ Enterocytes	2
B Cells	CD4	2
B Cells	CD8	18
B Cells	Crypt Fibroblasts 1 WNT2B+	18
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	7
B Cells	CyclingTA 1	5
B Cells	D Cells	12
B Cells	Endothelial-CD36+ Microvascular	16
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	13
B Cells	Enterocytes	10
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	2
B Cells	Epithelial	6
B Cells	Glia	1
B Cells	Goblet	5
B Cells	I Cells	15
B Cells	ICC	1
B Cells	Immature Enterocytes	17
B Cells	Immature Goblet	9
B Cells	Mo Cells	15
B Cells	Mono_Macrophages	17
B Cells	Myofibroblasts/SM 1	10
B Cells	Myofibroblasts/SM 2	8
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	10
B Cells	NEUROG3high	2
B Cells	NK	1
B Cells	Neurons	5
B Cells	Pericytes	3
B Cells	Plasma	5
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	5
B Cells	Stem	2
B Cells	TA1	9
B Cells	TA2	12
B Cells	Villus Fibroblasts WNT5B+	14
Best4+ Enterocytes	B Cells	5
Best4+ Enterocytes	CD4	2
Best4+ Enterocytes	CD8	19
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	20
Best4+ Enterocytes	Crypt Fibroblasts 2	2
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	8
Best4+ Enterocytes	CyclingTA 1	7
Best4+ Enterocytes	D Cells	9
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	14
Best4+ Enterocytes	Endothelial-Venules	17
Best4+ Enterocytes	Enterochromaffin	14
Best4+ Enterocytes	Enterocytes	12
Best4+ Enterocytes	Enteroendocrine	3
Best4+ Enterocytes	EnteroendocrineUn	3
Best4+ Enterocytes	EnteroendocrineUn 1	4
Best4+ Enterocytes	Epithelial	7
Best4+ Enterocytes	Glia	5
Best4+ Enterocytes	Goblet	6
Best4+ Enterocytes	I Cells	10
Best4+ Enterocytes	ICC	1
Best4+ Enterocytes	Immature Enterocytes	16
Best4+ Enterocytes	Immature Goblet	12
Best4+ Enterocytes	Mo Cells	14
Best4+ Enterocytes	Mono_Macrophages	18
Best4+ Enterocytes	Myofibroblasts/SM 1	9
Best4+ Enterocytes	Myofibroblasts/SM 2	7
Best4+ Enterocytes	Myofibroblasts/SM 3	3
Best4+ Enterocytes	Myofibroblasts/SM DES High	6
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	5
Best4+ Enterocytes	Pericytes	3
Best4+ Enterocytes	Plasma	4
Best4+ Enterocytes	S Cells	5
Best4+ Enterocytes	Secretory Specialized MUC6+	4
Best4+ Enterocytes	Stem	3
Best4+ Enterocytes	TA1	8
Best4+ Enterocytes	TA2	9
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	16
CD4	Crypt Fibroblasts 1 WNT2B+	1
CD4	D Cells	1
CD4	Enterocytes	1
CD4	Enteroendocrine	1
CD4	I Cells	1
CD4	Immature Goblet	1
CD4	Mo Cells	1
CD8	B Cells	17
CD8	Best4+ Enterocytes	8
CD8	CD4	3
CD8	Crypt Fibroblasts 1 WNT2B+	77
CD8	Crypt Fibroblasts 2	3
CD8	Crypt Fibroblasts 3 RSPO3+	20
CD8	CyclingTA 1	14
CD8	D Cells	44
CD8	Endothelial-CD36+ Microvascular	67
CD8	Endothelial-Venules	55
CD8	Enterochromaffin	45
CD8	Enterocytes	31
CD8	Enteroendocrine	14
CD8	EnteroendocrineUn	11
CD8	EnteroendocrineUn 1	14
CD8	Epithelial	16
CD8	Glia	8
CD8	Goblet	14
CD8	I Cells	49
CD8	ICC	2
CD8	Immature Enterocytes	51
CD8	Immature Goblet	25
CD8	Mo Cells	57
CD8	Mono_Macrophages	71
CD8	Myofibroblasts/SM 1	44
CD8	Myofibroblasts/SM 2	28
CD8	Myofibroblasts/SM 3	14
CD8	Myofibroblasts/SM DES High	33
CD8	NEUROG3high	8
CD8	NK	1
CD8	Neurons	19
CD8	Pericytes	11
CD8	Plasma	23
CD8	S Cells	11
CD8	Secretory Specialized MUC6+	4
CD8	Stem	8
CD8	TA1	26
CD8	TA2	27
CD8	Villus Fibroblasts WNT5B+	48
Crypt Fibroblasts 1 WNT2B+	B Cells	26
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	13
Crypt Fibroblasts 1 WNT2B+	CD4	3
Crypt Fibroblasts 1 WNT2B+	CD8	100
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	8
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	43
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	28
Crypt Fibroblasts 1 WNT2B+	D Cells	71
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	106
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	86
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	80
Crypt Fibroblasts 1 WNT2B+	Enterocytes	55
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	24
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	23
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	31
Crypt Fibroblasts 1 WNT2B+	Epithelial	39
Crypt Fibroblasts 1 WNT2B+	Glia	27
Crypt Fibroblasts 1 WNT2B+	Goblet	31
Crypt Fibroblasts 1 WNT2B+	I Cells	89
Crypt Fibroblasts 1 WNT2B+	ICC	3
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	86
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	45
Crypt Fibroblasts 1 WNT2B+	Mo Cells	94
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	129
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	78
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	45
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	27
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	49
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	16
Crypt Fibroblasts 1 WNT2B+	NK	1
Crypt Fibroblasts 1 WNT2B+	Neurons	47
Crypt Fibroblasts 1 WNT2B+	Pericytes	26
Crypt Fibroblasts 1 WNT2B+	Plasma	39
Crypt Fibroblasts 1 WNT2B+	S Cells	31
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	9
