source	target	count
B Cells	Best4+ Enterocytes	5
B Cells	CD4	1
B Cells	CD8	20
B Cells	Crypt Fibroblasts 1 WNT2B+	17
B Cells	Crypt Fibroblasts 2	3
B Cells	Crypt Fibroblasts 3 RSPO3+	7
B Cells	CyclingTA 1	4
B Cells	D Cells	12
B Cells	DC	4
B Cells	Endothelial-CD36+ Microvascular	20
B Cells	Endothelial-Venules	17
B Cells	Enterochromaffin	15
B Cells	Enterocytes	10
B Cells	Enteroendocrine	4
B Cells	EnteroendocrineUn	5
B Cells	EnteroendocrineUn 1	7
B Cells	Epithelial	7
B Cells	Glia	2
B Cells	Goblet	5
B Cells	I Cells	15
B Cells	ICC	1
B Cells	Immature Enterocytes	15
B Cells	Immature Goblet	9
B Cells	K Cells	3
B Cells	Lymphatic Endothelial Cells	3
B Cells	Mo Cells	14
B Cells	Mono_Macrophages	23
B Cells	Myofibroblasts/SM 1	12
B Cells	Myofibroblasts/SM 3	3
B Cells	Myofibroblasts/SM DES High	8
B Cells	NEUROG3high	3
B Cells	NK	1
B Cells	Neurons	6
B Cells	Pericytes	10
B Cells	Plasma	7
B Cells	S Cells	5
B Cells	Secretory Specialized MUC6+	1
B Cells	Stem	5
B Cells	TA1	13
B Cells	TA2	18
B Cells	Villus Fibroblasts WNT5B+	14
Best4+ Enterocytes	B Cells	8
Best4+ Enterocytes	CD4	5
Best4+ Enterocytes	CD8	31
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	32
Best4+ Enterocytes	Crypt Fibroblasts 2	7
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	15
Best4+ Enterocytes	CyclingTA 1	8
Best4+ Enterocytes	D Cells	18
Best4+ Enterocytes	DC	5
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	29
Best4+ Enterocytes	Endothelial-Venules	26
Best4+ Enterocytes	Enterochromaffin	25
Best4+ Enterocytes	Enterocytes	15
Best4+ Enterocytes	Enteroendocrine	6
Best4+ Enterocytes	EnteroendocrineUn	8
Best4+ Enterocytes	EnteroendocrineUn 1	11
Best4+ Enterocytes	Epithelial	6
Best4+ Enterocytes	Glia	5
Best4+ Enterocytes	Goblet	9
Best4+ Enterocytes	I Cells	21
Best4+ Enterocytes	ICC	1
Best4+ Enterocytes	Immature Enterocytes	19
Best4+ Enterocytes	Immature Goblet	18
Best4+ Enterocytes	K Cells	4
Best4+ Enterocytes	Lymphatic Endothelial Cells	7
Best4+ Enterocytes	Mo Cells	24
Best4+ Enterocytes	Mono_Macrophages	32
Best4+ Enterocytes	Myofibroblasts/SM 1	20
Best4+ Enterocytes	Myofibroblasts/SM 2	1
Best4+ Enterocytes	Myofibroblasts/SM 3	6
Best4+ Enterocytes	Myofibroblasts/SM DES High	9
Best4+ Enterocytes	NEUROG3high	4
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	9
Best4+ Enterocytes	Pericytes	12
Best4+ Enterocytes	Plasma	13
Best4+ Enterocytes	S Cells	9
Best4+ Enterocytes	Secretory Specialized MUC6+	2
Best4+ Enterocytes	Stem	14
Best4+ Enterocytes	TA1	17
Best4+ Enterocytes	TA2	22
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	21
CD4	B Cells	3
CD4	Best4+ Enterocytes	5
CD4	CD8	13
CD4	Crypt Fibroblasts 1 WNT2B+	11
CD4	Crypt Fibroblasts 2	2
CD4	Crypt Fibroblasts 3 RSPO3+	4
CD4	CyclingTA 1	2
CD4	D Cells	5
CD4	DC	3
CD4	Endothelial-CD36+ Microvascular	9
CD4	Endothelial-Venules	5
CD4	Enterochromaffin	6
CD4	Enterocytes	7
CD4	Enteroendocrine	3
CD4	EnteroendocrineUn	1
CD4	EnteroendocrineUn 1	7
CD4	Epithelial	3
CD4	Goblet	1
CD4	I Cells	7
CD4	Immature Enterocytes	9
CD4	Immature Goblet	5
CD4	K Cells	2
CD4	Lymphatic Endothelial Cells	4
CD4	Mo Cells	7
CD4	Mono_Macrophages	10
CD4	Myofibroblasts/SM 1	6
CD4	Myofibroblasts/SM DES High	7
CD4	Pericytes	2
CD4	Plasma	3
CD4	S Cells	1
CD4	Secretory Specialized MUC6+	1
CD4	TA1	8
CD4	TA2	5
CD4	Villus Fibroblasts WNT5B+	6
CD8	B Cells	22
CD8	Best4+ Enterocytes	29
CD8	CD4	9
CD8	Crypt Fibroblasts 1 WNT2B+	87
CD8	Crypt Fibroblasts 2	18
CD8	Crypt Fibroblasts 3 RSPO3+	27
CD8	CyclingTA 1	17
CD8	D Cells	47
CD8	DC	20
