column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	NECTIN2	NECTIN3	0.017	5	B Cells	Best4+ Enterocytes	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.141	5	B Cells	Best4+ Enterocytes	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Best4+ Enterocytes	LGALS3	MERTK	0.062	5	B Cells	Best4+ Enterocytes	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Best4+ Enterocytes	GAS6	MERTK	0.054	5	B Cells	Best4+ Enterocytes	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Best4+ Enterocytes	PPIA	BSG	0.048	5	B Cells	Best4+ Enterocytes	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD4	APLP2	PIGR	0.188	1	B Cells	CD4	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	CDH1	KLRG1	0.02	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.058	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APP	CD74	0.087	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APP	PLXNA4	0.044	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APLP2	PLXNA4	0.044	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APP	SORL1	0.082	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APP	TNFRSF21	0.061	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APLP2	PIGR	1.415	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	APOA1	ABCA1	0.399	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	LRPAP1	SORT1	0.041	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	CCL25	ACKR4	0.011	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	CCL25	CCR9	0.075	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	LGALS3	MERTK	0.08	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	GAS6	MERTK	0.072	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.019	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	CD160	TNFRSF14	0.007	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	WNT2B	FRZB	0.005	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	ALCAM	CD6	0.067	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	CD99	PILRA	0.005	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CD8	PPIA	BSG	0.062	20	B Cells	CD8	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.078	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ENTPD1	ADORA1	0.036	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.069	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.106	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.953	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.482	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.039	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.02	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.162	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.154	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.078	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.014	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.002	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.022	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CD99	PILRA	0.005	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.006	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.111	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.199	3	B Cells	Crypt Fibroblasts 2	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 2	CD160	TNFRSF14	0.004	3	B Cells	Crypt Fibroblasts 2	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 2	PPIA	BSG	0.071	3	B Cells	Crypt Fibroblasts 2	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.092	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APP	PLXNA4	0.05	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PLXNA4	0.05	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.305	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.411	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	LGALS3	MERTK	0.067	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	GAS6	MERTK	0.059	7	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CyclingTA 1	APP	CD74	0.049	4	B Cells	CyclingTA 1	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CyclingTA 1	APP	SORL1	0.047	4	B Cells	CyclingTA 1	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.065	4	B Cells	CyclingTA 1	small_intestine	HBM953.NPDJ.575_reg001
B Cells|CyclingTA 1	CD160	TNFRSF14	0.007	4	B Cells	CyclingTA 1	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	CDH1	KLRG1	0.261	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.055	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	APP	CD74	0.165	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	APP	SORL1	0.057	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	APLP2	PIGR	1.071	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	LRPAP1	SORT1	0.252	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	CCL25	ACKR4	0.05	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	LGALS3	MERTK	0.304	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	GAS6	MERTK	0.295	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	SST	SSTR2	0.049	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	CD160	TNFRSF14	0.015	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|D Cells	PPIA	BSG	0.287	12	B Cells	D Cells	small_intestine	HBM953.NPDJ.575_reg001
B Cells|DC	APP	CD74	0.377	4	B Cells	DC	small_intestine	HBM953.NPDJ.575_reg001
B Cells|DC	APLP2	PIGR	0.599	4	B Cells	DC	small_intestine	HBM953.NPDJ.575_reg001
B Cells|DC	CD160	TNFRSF14	0.168	4	B Cells	DC	small_intestine	HBM953.NPDJ.575_reg001
