source	target	count
Adipocytes	Best4+ Enterocytes	1
Adipocytes	Crypt Fibroblasts 1 WNT2B+	1
Adipocytes	D Cells	1
Adipocytes	Enterocytes	1
Adipocytes	Enteroendocrine	1
Adipocytes	I Cells	1
Adipocytes	K Cells	1
Adipocytes	Lymphatic Endothelial Cells	1
Adipocytes	Mo Cells	1
B Cells	CD4	1
B Cells	CD8	7
B Cells	Crypt Fibroblasts 1 WNT2B+	7
B Cells	Crypt Fibroblasts 2	1
B Cells	Crypt Fibroblasts 3 RSPO3+	1
B Cells	CyclingTA 1	1
B Cells	D Cells	1
B Cells	Endothelial-CD36+ Microvascular	6
B Cells	Endothelial-Venules	3
B Cells	Enterochromaffin	5
B Cells	Enterocytes	3
B Cells	EnteroendocrineUn	2
B Cells	EnteroendocrineUn 1	3
B Cells	Glia	1
B Cells	Goblet	1
B Cells	I Cells	3
B Cells	ICC	1
B Cells	Immature Enterocytes	6
B Cells	Immature Goblet	3
B Cells	K Cells	1
B Cells	Lymphatic Endothelial Cells	1
B Cells	Mo Cells	4
B Cells	Mono_Macrophages	5
B Cells	Myofibroblasts/SM 1	4
B Cells	Myofibroblasts/SM 2	3
B Cells	Myofibroblasts/SM 3	1
B Cells	Myofibroblasts/SM DES High	2
B Cells	Neurons	2
B Cells	Pericytes	5
B Cells	Plasma	3
B Cells	TA1	4
B Cells	TA2	3
B Cells	Villus Fibroblasts WNT5B+	6
Best4+ Enterocytes	B Cells	2
Best4+ Enterocytes	CD4	1
Best4+ Enterocytes	CD8	18
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	22
Best4+ Enterocytes	Crypt Fibroblasts 2	6
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	5
Best4+ Enterocytes	CyclingTA 1	6
Best4+ Enterocytes	D Cells	10
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	20
Best4+ Enterocytes	Endothelial-Venules	10
Best4+ Enterocytes	Enterochromaffin	14
Best4+ Enterocytes	Enterocytes	17
Best4+ Enterocytes	Enteroendocrine	5
Best4+ Enterocytes	EnteroendocrineUn	12
Best4+ Enterocytes	EnteroendocrineUn 1	5
Best4+ Enterocytes	Epithelial	4
Best4+ Enterocytes	Glia	3
Best4+ Enterocytes	Goblet	6
Best4+ Enterocytes	I Cells	14
Best4+ Enterocytes	ICC	4
Best4+ Enterocytes	Immature Enterocytes	18
Best4+ Enterocytes	Immature Goblet	10
Best4+ Enterocytes	K Cells	13
Best4+ Enterocytes	Lymphatic Endothelial Cells	6
Best4+ Enterocytes	Mo Cells	16
Best4+ Enterocytes	Mono_Macrophages	19
Best4+ Enterocytes	Myofibroblasts/SM 1	17
Best4+ Enterocytes	Myofibroblasts/SM 2	14
Best4+ Enterocytes	Myofibroblasts/SM 3	9
Best4+ Enterocytes	Myofibroblasts/SM DES High	6
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	NK	1
Best4+ Enterocytes	Neurons	8
Best4+ Enterocytes	Pericytes	11
Best4+ Enterocytes	Plasma	8
Best4+ Enterocytes	S Cells	5
Best4+ Enterocytes	Secretory Specialized MUC6+	3
Best4+ Enterocytes	Stem	8
Best4+ Enterocytes	TA1	10
Best4+ Enterocytes	TA2	10
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	15
CD4	CD8	1
CD4	Crypt Fibroblasts 1 WNT2B+	1
CD4	Crypt Fibroblasts 2	1
CD4	D Cells	1
CD4	Endothelial-CD36+ Microvascular	1
CD4	Endothelial-Venules	1
CD4	Enterochromaffin	1
CD4	Enterocytes	1
CD4	Epithelial	1
CD4	I Cells	1
CD4	Immature Enterocytes	1
CD4	K Cells	1
CD4	Lymphatic Endothelial Cells	1
CD4	Mono_Macrophages	1
CD4	Myofibroblasts/SM 1	1
CD4	Myofibroblasts/SM 2	1
CD4	Myofibroblasts/SM DES High	1
CD4	NEUROG3high	1
CD4	Plasma	1
CD4	TA1	1
CD4	TA2	1
CD4	Villus Fibroblasts WNT5B+	1
CD8	B Cells	7
CD8	Best4+ Enterocytes	6
CD8	CD4	1
CD8	Crypt Fibroblasts 1 WNT2B+	67
CD8	Crypt Fibroblasts 2	16
CD8	Crypt Fibroblasts 3 RSPO3+	10
CD8	CyclingTA 1	13
CD8	D Cells	25
CD8	Endothelial-CD36+ Microvascular	63
CD8	Endothelial-Venules	27
CD8	Enterochromaffin	46
CD8	Enterocytes	38
CD8	Enteroendocrine	14
CD8	EnteroendocrineUn	24
CD8	EnteroendocrineUn 1	18
CD8	Epithelial	10
CD8	Glia	10
CD8	Goblet	16
CD8	I Cells	46
CD8	ICC	24
CD8	Immature Enterocytes	42
CD8	Immature Goblet	20
CD8	K Cells	30
CD8	Lymphatic Endothelial Cells	17
CD8	Mo Cells	45
CD8	Mono_Macrophages	62
CD8	Myofibroblasts/SM 1	51
CD8	Myofibroblasts/SM 2	35
CD8	Myofibroblasts/SM 3	23
CD8	Myofibroblasts/SM DES High	25
CD8	NEUROG3high	9
CD8	NK	1
CD8	Neurons	28
CD8	Pericytes	35
CD8	Plasma	29
CD8	S Cells	14
CD8	Secretory Specialized MUC6+	4
CD8	Stem	19
CD8	TA1	33
CD8	TA2	32
CD8	Villus Fibroblasts WNT5B+	45
Crypt Fibroblasts 1 WNT2B+	B Cells	5
Crypt Fibroblasts 1 WNT2B+	Best4+ Enterocytes	9
Crypt Fibroblasts 1 WNT2B+	CD4	1
Crypt Fibroblasts 1 WNT2B+	CD8	77
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 2	15
Crypt Fibroblasts 1 WNT2B+	Crypt Fibroblasts 3 RSPO3+	25
Crypt Fibroblasts 1 WNT2B+	CyclingTA 1	18
Crypt Fibroblasts 1 WNT2B+	D Cells	28
Crypt Fibroblasts 1 WNT2B+	Endothelial-CD36+ Microvascular	78
Crypt Fibroblasts 1 WNT2B+	Endothelial-Venules	39
Crypt Fibroblasts 1 WNT2B+	Enterochromaffin	62
Crypt Fibroblasts 1 WNT2B+	Enterocytes	51
Crypt Fibroblasts 1 WNT2B+	Enteroendocrine	21
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn	38
Crypt Fibroblasts 1 WNT2B+	EnteroendocrineUn 1	27
Crypt Fibroblasts 1 WNT2B+	Epithelial	12
Crypt Fibroblasts 1 WNT2B+	Glia	20
Crypt Fibroblasts 1 WNT2B+	Goblet	24
Crypt Fibroblasts 1 WNT2B+	I Cells	64
Crypt Fibroblasts 1 WNT2B+	ICC	30
Crypt Fibroblasts 1 WNT2B+	Immature Enterocytes	66
Crypt Fibroblasts 1 WNT2B+	Immature Goblet	27
Crypt Fibroblasts 1 WNT2B+	K Cells	39
Crypt Fibroblasts 1 WNT2B+	Lymphatic Endothelial Cells	24
Crypt Fibroblasts 1 WNT2B+	Mo Cells	57
Crypt Fibroblasts 1 WNT2B+	Mono_Macrophages	80
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 1	69
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 2	44
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM 3	34
Crypt Fibroblasts 1 WNT2B+	Myofibroblasts/SM DES High	31
Crypt Fibroblasts 1 WNT2B+	NEUROG3high	11
Crypt Fibroblasts 1 WNT2B+	NK	1
Crypt Fibroblasts 1 WNT2B+	Neurons	44
Crypt Fibroblasts 1 WNT2B+	Pericytes	56
Crypt Fibroblasts 1 WNT2B+	Plasma	46
Crypt Fibroblasts 1 WNT2B+	S Cells	21
Crypt Fibroblasts 1 WNT2B+	Secretory Specialized MUC6+	5
Crypt Fibroblasts 1 WNT2B+	Stem	24
Crypt Fibroblasts 1 WNT2B+	TA1	41
Crypt Fibroblasts 1 WNT2B+	TA2	49
Crypt Fibroblasts 1 WNT2B+	Villus Fibroblasts WNT5B+	55
Crypt Fibroblasts 2	B Cells	2
Crypt Fibroblasts 2	Best4+ Enterocytes	4
Crypt Fibroblasts 2	CD4	1
Crypt Fibroblasts 2	CD8	10
Crypt Fibroblasts 2	Crypt Fibroblasts 1 WNT2B+	16
Crypt Fibroblasts 2	Crypt Fibroblasts 3 RSPO3+	5
Crypt Fibroblasts 2	CyclingTA 1	4
Crypt Fibroblasts 2	D Cells	5
Crypt Fibroblasts 2	Endothelial-CD36+ Microvascular	12
Crypt Fibroblasts 2	Endothelial-Venules	8
Crypt Fibroblasts 2	Enterochromaffin	14
Crypt Fibroblasts 2	Enterocytes	10
Crypt Fibroblasts 2	Enteroendocrine	6
Crypt Fibroblasts 2	EnteroendocrineUn	7
Crypt Fibroblasts 2	EnteroendocrineUn 1	6
Crypt Fibroblasts 2	Epithelial	5
Crypt Fibroblasts 2	Glia	3
Crypt Fibroblasts 2	Goblet	6
Crypt Fibroblasts 2	I Cells	8
Crypt Fibroblasts 2	ICC	5
Crypt Fibroblasts 2	Immature Enterocytes	11
Crypt Fibroblasts 2	Immature Goblet	6
Crypt Fibroblasts 2	K Cells	6
Crypt Fibroblasts 2	Lymphatic Endothelial Cells	6
Crypt Fibroblasts 2	Mo Cells	11
Crypt Fibroblasts 2	Mono_Macrophages	17
Crypt Fibroblasts 2	Myofibroblasts/SM 1	11
Crypt Fibroblasts 2	Myofibroblasts/SM 2	7
Crypt Fibroblasts 2	Myofibroblasts/SM 3	7
Crypt Fibroblasts 2	Myofibroblasts/SM DES High	5
Crypt Fibroblasts 2	NEUROG3high	2
Crypt Fibroblasts 2	NK	1
Crypt Fibroblasts 2	Neurons	7
Crypt Fibroblasts 2	Pericytes	8
Crypt Fibroblasts 2	Plasma	10
Crypt Fibroblasts 2	S Cells	4
Crypt Fibroblasts 2	Secretory Specialized MUC6+	1
Crypt Fibroblasts 2	Stem	4
Crypt Fibroblasts 2	TA1	9
Crypt Fibroblasts 2	TA2	6
Crypt Fibroblasts 2	Villus Fibroblasts WNT5B+	10
Crypt Fibroblasts 3 RSPO3+	B Cells	2
Crypt Fibroblasts 3 RSPO3+	Best4+ Enterocytes	5
Crypt Fibroblasts 3 RSPO3+	CD8	20
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 1 WNT2B+	28
Crypt Fibroblasts 3 RSPO3+	Crypt Fibroblasts 2	6
Crypt Fibroblasts 3 RSPO3+	CyclingTA 1	6
Crypt Fibroblasts 3 RSPO3+	D Cells	6
Crypt Fibroblasts 3 RSPO3+	Endothelial-CD36+ Microvascular	22
Crypt Fibroblasts 3 RSPO3+	Endothelial-Venules	10
Crypt Fibroblasts 3 RSPO3+	Enterochromaffin	18
Crypt Fibroblasts 3 RSPO3+	Enterocytes	17
Crypt Fibroblasts 3 RSPO3+	Enteroendocrine	7
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn	15
Crypt Fibroblasts 3 RSPO3+	EnteroendocrineUn 1	8
Crypt Fibroblasts 3 RSPO3+	Epithelial	7
Crypt Fibroblasts 3 RSPO3+	Glia	5
Crypt Fibroblasts 3 RSPO3+	Goblet	11
Crypt Fibroblasts 3 RSPO3+	I Cells	18
Crypt Fibroblasts 3 RSPO3+	ICC	11
Crypt Fibroblasts 3 RSPO3+	Immature Enterocytes	22
Crypt Fibroblasts 3 RSPO3+	Immature Goblet	10
Crypt Fibroblasts 3 RSPO3+	K Cells	15
Crypt Fibroblasts 3 RSPO3+	Lymphatic Endothelial Cells	7
Crypt Fibroblasts 3 RSPO3+	Mo Cells	17
Crypt Fibroblasts 3 RSPO3+	Mono_Macrophages	29
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 1	22
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 2	11
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM 3	11
Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	9
Crypt Fibroblasts 3 RSPO3+	NEUROG3high	3
Crypt Fibroblasts 3 RSPO3+	NK	1
Crypt Fibroblasts 3 RSPO3+	Neurons	18
Crypt Fibroblasts 3 RSPO3+	Pericytes	14
Crypt Fibroblasts 3 RSPO3+	Plasma	14
Crypt Fibroblasts 3 RSPO3+	S Cells	8
