column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.221	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|Crypt Fibroblasts 1 WNT2B+	CD96	NECTIN1	0.209	1	Adipocytes	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.653	1	Adipocytes	D Cells	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.209	1	Adipocytes	Enterocytes	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.234	1	Adipocytes	Enteroendocrine	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.276	1	Adipocytes	I Cells	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|K Cells	CD96	NECTIN1	0.306	1	Adipocytes	K Cells	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.335	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM959.BVWN.344_reg001
Adipocytes|Mo Cells	CD96	NECTIN1	0.269	1	Adipocytes	Mo Cells	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD4	ALCAM	CD6	0.006	1	B Cells	CD4	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.04	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	APOA1	ABCA1	0.14	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	CCL25	CCR9	0.046	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	LGALS3	MERTK	0.012	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	GAS6	MERTK	0.012	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	TAC3	TACR1	0.002	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|CD8	ALCAM	CD6	0.068	7	B Cells	CD8	small_intestine	HBM959.BVWN.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.02	7	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM959.BVWN.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.173	7	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM959.BVWN.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.082	7	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM959.BVWN.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.053	7	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM959.BVWN.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.053	7	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM959.BVWN.344_reg001
