source	target	count
B Cells	Best4+ Enterocytes	1
B Cells	CD8	16
B Cells	Crypt Fibroblasts 1 WNT2B+	17
B Cells	Crypt Fibroblasts 2	2
B Cells	Crypt Fibroblasts 3 RSPO3+	3
B Cells	CyclingTA 1	2
B Cells	D Cells	9
B Cells	DC	3
B Cells	Endothelial-CD36+ Microvascular	20
B Cells	Endothelial-Venules	12
B Cells	Enterochromaffin	16
B Cells	Enterocytes	13
B Cells	Enteroendocrine	3
B Cells	EnteroendocrineUn	7
B Cells	EnteroendocrineUn 1	5
B Cells	Epithelial	7
B Cells	Glia	1
B Cells	Goblet	5
B Cells	I Cells	10
B Cells	ICC	1
B Cells	Immature Enterocytes	19
B Cells	Immature Goblet	7
B Cells	K Cells	4
B Cells	Lymphatic Endothelial Cells	8
B Cells	Mast	4
B Cells	Mo Cells	14
B Cells	Mono_Macrophages	20
B Cells	Myofibroblasts/SM 1	8
B Cells	Myofibroblasts/SM 2	8
B Cells	Myofibroblasts/SM 3	3
B Cells	Myofibroblasts/SM DES High	7
B Cells	NEUROG3high	3
B Cells	Neurons	4
B Cells	Pericytes	4
B Cells	Plasma	7
B Cells	S Cells	6
B Cells	Secretory Specialized MUC6+	2
B Cells	Stem	4
B Cells	TA1	10
B Cells	TA2	10
B Cells	Villus Fibroblasts WNT5B+	12
Best4+ Enterocytes	B Cells	8
Best4+ Enterocytes	CD8	23
Best4+ Enterocytes	Crypt Fibroblasts 1 WNT2B+	28
Best4+ Enterocytes	Crypt Fibroblasts 2	4
Best4+ Enterocytes	Crypt Fibroblasts 3 RSPO3+	8
Best4+ Enterocytes	CyclingTA 1	7
Best4+ Enterocytes	D Cells	9
Best4+ Enterocytes	DC	4
Best4+ Enterocytes	Endothelial-CD36+ Microvascular	26
Best4+ Enterocytes	Endothelial-Venules	19
Best4+ Enterocytes	Enterochromaffin	19
Best4+ Enterocytes	Enterocytes	20
Best4+ Enterocytes	Enteroendocrine	7
Best4+ Enterocytes	EnteroendocrineUn	14
Best4+ Enterocytes	EnteroendocrineUn 1	10
Best4+ Enterocytes	Epithelial	9
Best4+ Enterocytes	Glia	6
Best4+ Enterocytes	Goblet	7
Best4+ Enterocytes	I Cells	17
Best4+ Enterocytes	ICC	1
Best4+ Enterocytes	Immature Enterocytes	27
Best4+ Enterocytes	Immature Goblet	12
Best4+ Enterocytes	K Cells	8
Best4+ Enterocytes	Lymphatic Endothelial Cells	13
Best4+ Enterocytes	Mast	3
Best4+ Enterocytes	Mo Cells	25
Best4+ Enterocytes	Mono_Macrophages	30
Best4+ Enterocytes	Myofibroblasts/SM 1	17
Best4+ Enterocytes	Myofibroblasts/SM 2	14
Best4+ Enterocytes	Myofibroblasts/SM 3	8
Best4+ Enterocytes	Myofibroblasts/SM DES High	8
Best4+ Enterocytes	NEUROG3high	3
Best4+ Enterocytes	Neurons	10
Best4+ Enterocytes	Pericytes	9
Best4+ Enterocytes	Plasma	11
Best4+ Enterocytes	S Cells	10
Best4+ Enterocytes	Secretory Specialized MUC6+	4
Best4+ Enterocytes	Stem	12
Best4+ Enterocytes	TA1	14
Best4+ Enterocytes	TA2	16
Best4+ Enterocytes	Villus Fibroblasts WNT5B+	18
CD4	Best4+ Enterocytes	1
CD4	CD8	3
CD4	Crypt Fibroblasts 1 WNT2B+	2
CD4	Crypt Fibroblasts 3 RSPO3+	1
CD4	CyclingTA 1	1
CD4	D Cells	1
CD4	Endothelial-CD36+ Microvascular	2
CD4	Endothelial-Venules	2
CD4	Enterochromaffin	2
CD4	Enterocytes	2
CD4	Enteroendocrine	1
CD4	EnteroendocrineUn	2
CD4	EnteroendocrineUn 1	1
CD4	Epithelial	2
CD4	Glia	2
CD4	I Cells	4
CD4	Immature Enterocytes	4
CD4	Immature Goblet	1
CD4	Lymphatic Endothelial Cells	3
CD4	Mast	1
CD4	Mo Cells	4
CD4	Mono_Macrophages	4
CD4	Myofibroblasts/SM 1	3
CD4	Myofibroblasts/SM 2	2
CD4	Myofibroblasts/SM 3	2
CD4	Myofibroblasts/SM DES High	2
CD4	Neurons	3
CD4	Pericytes	1
CD4	Plasma	3
CD4	S Cells	1
CD4	Stem	1
CD4	TA1	2
CD4	TA2	4
CD4	Villus Fibroblasts WNT5B+	3
CD8	B Cells	12
CD8	Best4+ Enterocytes	7
CD8	Crypt Fibroblasts 1 WNT2B+	64
CD8	Crypt Fibroblasts 2	13
CD8	Crypt Fibroblasts 3 RSPO3+	13
CD8	CyclingTA 1	11
CD8	D Cells	19
CD8	DC	15
CD8	Endothelial-CD36+ Microvascular	63
CD8	Endothelial-Venules	35
CD8	Enterochromaffin	38
CD8	Enterocytes	32
CD8	Enteroendocrine	11
CD8	EnteroendocrineUn	15
CD8	EnteroendocrineUn 1	20
CD8	Epithelial	10
CD8	Glia	6
CD8	Goblet	11
CD8	I Cells	37
CD8	ICC	3
CD8	Immature Enterocytes	50
CD8	Immature Goblet	16
CD8	K Cells	11
CD8	Lymphatic Endothelial Cells	23
CD8	Mast	6
CD8	Mo Cells	46
CD8	Mono_Macrophages	63
CD8	Myofibroblasts/SM 1	32
CD8	Myofibroblasts/SM 2	32
CD8	Myofibroblasts/SM 3	17
CD8	Myofibroblasts/SM DES High	27
CD8	NEUROG3high	3
CD8	Neurons	15
