column	ligand	receptor	value	count	source	target	tissue	region
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.093	1	B Cells	Best4+ Enterocytes	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.1	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	APP	CD74	0.027	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	APP	SORL1	0.017	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	APP	TNFRSF21	0.018	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	APLP2	PIGR	0.537	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	APOA1	ABCA1	0.235	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	LRPAP1	SORT1	0.005	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	CCL25	ACKR4	0.035	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	CCL25	CCR9	0.12	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	LGALS3	MERTK	0.103	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	GAS6	MERTK	0.102	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	SST	SSTR1	0.013	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	TAX1BP3	ADGRB2	0.011	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	WNT2B	FRZB	0.003	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	ALCAM	CD6	0.07	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|CD8	PPIA	BSG	0.019	16	B Cells	CD8	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.067	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.029	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.076	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.015	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.749	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.302	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOB	APOBR	0.229	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LRPAP1	SORT1	0.023	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.214	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.213	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.078	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN3	PVR	0.002	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	TAC3	TACR2	0.034	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	WNT2B	SFRP5	0.015	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.063	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	MST1	MST1R	0.008	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.081	17	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.179	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 2	PPIA	BSG	0.053	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.026	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.166	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM962.BFPH.344_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APOA1	ABCA1	0.259	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM962.BFPH.344_reg001
B Cells|CyclingTA 1	APP	CD74	0.021	2	B Cells	CyclingTA 1	small_intestine	HBM962.BFPH.344_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.061	2	B Cells	CyclingTA 1	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	CDH1	KLRG1	0.037	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.327	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	APP	CD74	0.336	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	APLP2	PIGR	2.301	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	LRPAP1	SORT1	0.037	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	LGALS3	MERTK	0.083	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	GAS6	MERTK	0.082	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	SST	SSTR2	0.322	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|D Cells	PPIA	BSG	0.051	9	B Cells	D Cells	small_intestine	HBM962.BFPH.344_reg001
B Cells|DC	APP	CD74	0.272	3	B Cells	DC	small_intestine	HBM962.BFPH.344_reg001
