column	ligand	receptor	value	count	source	target	tissue	region
Adipocytes|Best4+ Enterocytes	CD96	NECTIN1	0.046	1	Adipocytes	Best4+ Enterocytes	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|D Cells	CD96	NECTIN1	0.345	1	Adipocytes	D Cells	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|Enterocytes	CD96	NECTIN1	0.046	1	Adipocytes	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|Enteroendocrine	CD96	NECTIN1	0.074	1	Adipocytes	Enteroendocrine	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|I Cells	CD96	NECTIN1	0.077	1	Adipocytes	I Cells	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|Immature Goblet	CD96	NECTIN1	0.047	1	Adipocytes	Immature Goblet	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|Lymphatic Endothelial Cells	CD96	NECTIN1	0.083	1	Adipocytes	Lymphatic Endothelial Cells	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|Mono_Macrophages	CD96	NECTIN1	0.047	1	Adipocytes	Mono_Macrophages	small_intestine	HBM995.WMDN.689_reg001
Adipocytes|TA1	CD96	NECTIN1	0.046	1	Adipocytes	TA1	small_intestine	HBM995.WMDN.689_reg001
B Cells|Best4+ Enterocytes	APLP2	PIGR	0.066	1	B Cells	Best4+ Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD4	ALCAM	CD6	0.012	1	B Cells	CD4	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	NECTIN2	NECTIN3	0.004	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	APP	TNFRSF21	0.003	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	APLP2	PIGR	0.278	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	APOA1	ABCA1	0.119	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	CCL25	CCR9	0.055	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	LGALS3	MERTK	0.008	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	GAS6	MERTK	0.008	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	SEMA4D	PLXNB2	0.009	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	SEMA4D	PTPRC	0.207	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	ALCAM	CD6	0.028	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|CD8	PPIA	BSG	0.005	11	B Cells	CD8	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	NECTIN2	NECTIN3	0.009	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	CD74	0.009	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	SORL1	0.008	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APP	TNFRSF21	0.018	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APLP2	PIGR	0.575	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	APOA1	ABCA1	0.222	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	CCL25	ACKR4	0.032	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	LGALS3	MERTK	0.019	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	MERTK	0.019	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	GAS6	AXL	0.053	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PLXNB2	0.009	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	SEMA4D	PTPRC	0.021	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	ALCAM	CD6	0.002	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 1 WNT2B+	PPIA	BSG	0.017	14	B Cells	Crypt Fibroblasts 1 WNT2B+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 2	APLP2	PIGR	0.102	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 2	PPIA	BSG	0.004	2	B Cells	Crypt Fibroblasts 2	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	NECTIN2	NECTIN3	0.004	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	APLP2	PIGR	0.008	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM995.WMDN.689_reg001
B Cells|Crypt Fibroblasts 3 RSPO3+	SEMA4D	PLXNB1	0.009	3	B Cells	Crypt Fibroblasts 3 RSPO3+	small_intestine	HBM995.WMDN.689_reg001
B Cells|CyclingTA 1	APP	CD74	0.003	2	B Cells	CyclingTA 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|CyclingTA 1	APLP2	PIGR	0.007	2	B Cells	CyclingTA 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|D Cells	NECTIN2	NECTIN3	0.302	3	B Cells	D Cells	small_intestine	HBM995.WMDN.689_reg001
B Cells|D Cells	APP	CD74	0.302	3	B Cells	D Cells	small_intestine	HBM995.WMDN.689_reg001
B Cells|D Cells	APLP2	PIGR	2.102	3	B Cells	D Cells	small_intestine	HBM995.WMDN.689_reg001
B Cells|Endothelial-CD36+ Microvascular	NECTIN2	NECTIN3	0.005	5	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM995.WMDN.689_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	CD74	0.012	5	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM995.WMDN.689_reg001
B Cells|Endothelial-CD36+ Microvascular	APP	SORL1	0.009	5	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM995.WMDN.689_reg001
B Cells|Endothelial-CD36+ Microvascular	APLP2	PIGR	0.033	5	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM995.WMDN.689_reg001
B Cells|Endothelial-CD36+ Microvascular	SEMA4D	PTPRC	0.009	5	B Cells	Endothelial-CD36+ Microvascular	small_intestine	HBM995.WMDN.689_reg001
B Cells|Endothelial-Venules	APLP2	PIGR	0.011	1	B Cells	Endothelial-Venules	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	NECTIN2	NECTIN3	0.495	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	APP	CD74	0.03	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	APP	SORL1	0.058	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	APLP2	PIGR	0.967	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	APOA1	ABCA1	0.139	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	GAS6	TYRO3	0.01	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterochromaffin	SEMA4D	PLXNB2	0.014	7	B Cells	Enterochromaffin	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	APP	CD74	0.003	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	APP	PLXNA4	0.002	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	APLP2	PLXNA4	0.002	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	APP	SORL1	0.006	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	APLP2	PIGR	0.043	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	LGALS3	MERTK	0.003	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	GAS6	MERTK	0.003	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enterocytes	SEMA4D	PLXNB2	0.007	8	B Cells	Enterocytes	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enteroendocrine	APLP2	PIGR	0.086	3	B Cells	Enteroendocrine	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enteroendocrine	SEMA4D	PLXNB2	0.035	3	B Cells	Enteroendocrine	small_intestine	HBM995.WMDN.689_reg001
B Cells|Enteroendocrine	PPIA	BSG	0.03	3	B Cells	Enteroendocrine	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	NECTIN2	NECTIN3	0.073	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	APLP2	PIGR	0.859	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	LGALS3	MERTK	0.074	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	GAS6	MERTK	0.074	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	SEMA4D	PLXNB2	0.078	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	SEMA4D	PTPRC	0.078	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|EnteroendocrineUn 1	PPIA	BSG	0.073	7	B Cells	EnteroendocrineUn 1	small_intestine	HBM995.WMDN.689_reg001
B Cells|Epithelial	APP	CD74	0.003	3	B Cells	Epithelial	small_intestine	HBM995.WMDN.689_reg001
B Cells|Epithelial	APP	SORL1	0.003	3	B Cells	Epithelial	small_intestine	HBM995.WMDN.689_reg001
B Cells|Epithelial	APLP2	PIGR	0.01	3	B Cells	Epithelial	small_intestine	HBM995.WMDN.689_reg001
B Cells|Glia	APLP2	PIGR	0.71	3	B Cells	Glia	small_intestine	HBM995.WMDN.689_reg001
