source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	121
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	147
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	95
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	91
CD1c-positive myeloid dendritic cell	platelet	37
CD1c-positive myeloid dendritic cell	regulatory T cell	97
CD1c-positive myeloid dendritic cell	type I NK T cell	122
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	119
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	208
CD4-positive, alpha-beta memory T cell	classical monocyte	226
CD4-positive, alpha-beta memory T cell	endothelial cell	221
CD4-positive, alpha-beta memory T cell	erythrocyte	65
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	80
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	93
CD4-positive, alpha-beta memory T cell	intermediate monocyte	60
CD4-positive, alpha-beta memory T cell	macrophage	204
CD4-positive, alpha-beta memory T cell	mature NK T cell	188
CD4-positive, alpha-beta memory T cell	memory B cell	218
CD4-positive, alpha-beta memory T cell	naive B cell	77
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	151
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	104
CD4-positive, alpha-beta memory T cell	neutrophil	153
CD4-positive, alpha-beta memory T cell	plasma cell	237
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	121
CD4-positive, alpha-beta memory T cell	platelet	60
CD4-positive, alpha-beta memory T cell	regulatory T cell	136
CD4-positive, alpha-beta memory T cell	type I NK T cell	161
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	134
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	207
CD8-positive, alpha-beta memory T cell	classical monocyte	271
CD8-positive, alpha-beta memory T cell	endothelial cell	268
CD8-positive, alpha-beta memory T cell	erythrocyte	78
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	96
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	105
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	239
CD8-positive, alpha-beta memory T cell	mature NK T cell	215
CD8-positive, alpha-beta memory T cell	memory B cell	265
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	179
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	179
CD8-positive, alpha-beta memory T cell	plasma cell	287
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	140
CD8-positive, alpha-beta memory T cell	platelet	72
CD8-positive, alpha-beta memory T cell	regulatory T cell	163
CD8-positive, alpha-beta memory T cell	type I NK T cell	190
classical monocyte	CD1c-positive myeloid dendritic cell	145
classical monocyte	CD4-positive, alpha-beta memory T cell	225
classical monocyte	CD8-positive, alpha-beta memory T cell	267
classical monocyte	endothelial cell	295
classical monocyte	erythrocyte	81
classical monocyte	hematopoietic stem cell	105
classical monocyte	innate lymphoid cell	105
classical monocyte	intermediate monocyte	68
classical monocyte	macrophage	263
classical monocyte	mature NK T cell	230
classical monocyte	memory B cell	292
classical monocyte	naive B cell	90
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	198
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	126
classical monocyte	neutrophil	197
classical monocyte	plasma cell	316
classical monocyte	plasmacytoid dendritic cell	151
classical monocyte	platelet	69
classical monocyte	regulatory T cell	177
classical monocyte	type I NK T cell	201
endothelial cell	CD1c-positive myeloid dendritic cell	134
endothelial cell	CD4-positive, alpha-beta memory T cell	203
endothelial cell	CD8-positive, alpha-beta memory T cell	250
endothelial cell	classical monocyte	281
endothelial cell	erythrocyte	81
endothelial cell	hematopoietic stem cell	95
endothelial cell	innate lymphoid cell	94
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	249
endothelial cell	mature NK T cell	222
endothelial cell	memory B cell	272
endothelial cell	naive B cell	86
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	183
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
endothelial cell	neutrophil	186
endothelial cell	plasma cell	289
endothelial cell	plasmacytoid dendritic cell	141
endothelial cell	platelet	63
endothelial cell	regulatory T cell	159
endothelial cell	type I NK T cell	185
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	56
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	77
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	79
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
erythrocyte	neutrophil	49
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	17
erythrocyte	regulatory T cell	43
erythrocyte	type I NK T cell	63
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	67
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	96
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	120
hematopoietic stem cell	classical monocyte	125
hematopoietic stem cell	endothelial cell	121
hematopoietic stem cell	erythrocyte	26
hematopoietic stem cell	innate lymphoid cell	42
hematopoietic stem cell	intermediate monocyte	30
hematopoietic stem cell	macrophage	113
hematopoietic stem cell	mature NK T cell	103
hematopoietic stem cell	memory B cell	123
hematopoietic stem cell	naive B cell	42
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	92
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	48
hematopoietic stem cell	neutrophil	79
hematopoietic stem cell	plasma cell	129
hematopoietic stem cell	plasmacytoid dendritic cell	64
hematopoietic stem cell	platelet	26
hematopoietic stem cell	regulatory T cell	80
hematopoietic stem cell	type I NK T cell	100
innate lymphoid cell	CD1c-positive myeloid dendritic cell	74
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	112
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	141
