source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	122
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	142
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	125
CD1c-positive myeloid dendritic cell	memory B cell	147
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	64
CD1c-positive myeloid dendritic cell	neutrophil	95
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	90
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	97
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	121
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	217
CD4-positive, alpha-beta memory T cell	classical monocyte	233
CD4-positive, alpha-beta memory T cell	endothelial cell	226
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	97
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	210
CD4-positive, alpha-beta memory T cell	mature NK T cell	193
CD4-positive, alpha-beta memory T cell	memory B cell	223
CD4-positive, alpha-beta memory T cell	naive B cell	79
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	155
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	103
CD4-positive, alpha-beta memory T cell	neutrophil	165
CD4-positive, alpha-beta memory T cell	plasma cell	245
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	123
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	142
CD4-positive, alpha-beta memory T cell	type I NK T cell	170
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	136
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	210
CD8-positive, alpha-beta memory T cell	classical monocyte	273
CD8-positive, alpha-beta memory T cell	endothelial cell	266
CD8-positive, alpha-beta memory T cell	erythrocyte	77
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	96
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	105
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	240
CD8-positive, alpha-beta memory T cell	mature NK T cell	216
CD8-positive, alpha-beta memory T cell	memory B cell	263
CD8-positive, alpha-beta memory T cell	naive B cell	87
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	180
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	115
CD8-positive, alpha-beta memory T cell	neutrophil	191
CD8-positive, alpha-beta memory T cell	plasma cell	287
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	140
CD8-positive, alpha-beta memory T cell	platelet	98
CD8-positive, alpha-beta memory T cell	regulatory T cell	167
CD8-positive, alpha-beta memory T cell	type I NK T cell	195
classical monocyte	CD1c-positive myeloid dendritic cell	141
classical monocyte	CD4-positive, alpha-beta memory T cell	222
classical monocyte	CD8-positive, alpha-beta memory T cell	272
classical monocyte	endothelial cell	290
classical monocyte	erythrocyte	80
classical monocyte	hematopoietic stem cell	106
classical monocyte	innate lymphoid cell	103
classical monocyte	intermediate monocyte	67
classical monocyte	macrophage	257
classical monocyte	mature NK T cell	229
classical monocyte	memory B cell	284
classical monocyte	naive B cell	87
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	194
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	118
classical monocyte	neutrophil	201
classical monocyte	plasma cell	309
classical monocyte	plasmacytoid dendritic cell	145
classical monocyte	platelet	97
classical monocyte	regulatory T cell	174
classical monocyte	type I NK T cell	203
endothelial cell	CD1c-positive myeloid dendritic cell	134
endothelial cell	CD4-positive, alpha-beta memory T cell	205
endothelial cell	CD8-positive, alpha-beta memory T cell	257
endothelial cell	classical monocyte	280
endothelial cell	erythrocyte	82
endothelial cell	hematopoietic stem cell	97
endothelial cell	innate lymphoid cell	95
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	250
endothelial cell	mature NK T cell	220
endothelial cell	memory B cell	271
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	185
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	114
endothelial cell	neutrophil	197
endothelial cell	plasma cell	290
endothelial cell	plasmacytoid dendritic cell	140
endothelial cell	platelet	92
endothelial cell	regulatory T cell	164
endothelial cell	type I NK T cell	190
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	56
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	76
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	29
