source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	123
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	53
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	135
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	148
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	91
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	91
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	101
CD1c-positive myeloid dendritic cell	type I NK T cell	122
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	121
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	215
CD4-positive, alpha-beta memory T cell	classical monocyte	231
CD4-positive, alpha-beta memory T cell	endothelial cell	228
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	97
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	205
CD4-positive, alpha-beta memory T cell	mature NK T cell	192
CD4-positive, alpha-beta memory T cell	memory B cell	225
CD4-positive, alpha-beta memory T cell	naive B cell	79
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	154
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	108
CD4-positive, alpha-beta memory T cell	neutrophil	153
CD4-positive, alpha-beta memory T cell	plasma cell	245
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	124
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	145
CD4-positive, alpha-beta memory T cell	type I NK T cell	169
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	135
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	212
CD8-positive, alpha-beta memory T cell	classical monocyte	277
CD8-positive, alpha-beta memory T cell	endothelial cell	274
CD8-positive, alpha-beta memory T cell	erythrocyte	78
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	105
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	105
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	235
CD8-positive, alpha-beta memory T cell	mature NK T cell	215
CD8-positive, alpha-beta memory T cell	memory B cell	271
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	180
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	121
CD8-positive, alpha-beta memory T cell	neutrophil	175
CD8-positive, alpha-beta memory T cell	plasma cell	293
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	140
CD8-positive, alpha-beta memory T cell	platelet	98
CD8-positive, alpha-beta memory T cell	regulatory T cell	171
CD8-positive, alpha-beta memory T cell	type I NK T cell	194
classical monocyte	CD1c-positive myeloid dendritic cell	142
classical monocyte	CD4-positive, alpha-beta memory T cell	227
