source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	118
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	140
CD1c-positive myeloid dendritic cell	classical monocyte	137
CD1c-positive myeloid dendritic cell	endothelial cell	133
CD1c-positive myeloid dendritic cell	erythrocyte	35
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	49
CD1c-positive myeloid dendritic cell	innate lymphoid cell	49
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	125
CD1c-positive myeloid dendritic cell	mature NK T cell	119
CD1c-positive myeloid dendritic cell	memory B cell	141
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	101
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	65
CD1c-positive myeloid dendritic cell	neutrophil	89
CD1c-positive myeloid dendritic cell	plasma cell	145
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	88
CD1c-positive myeloid dendritic cell	platelet	53
CD1c-positive myeloid dendritic cell	regulatory T cell	92
CD1c-positive myeloid dendritic cell	type I NK T cell	119
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	119
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	212
CD4-positive, alpha-beta memory T cell	classical monocyte	222
CD4-positive, alpha-beta memory T cell	endothelial cell	218
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	94
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	195
CD4-positive, alpha-beta memory T cell	mature NK T cell	190
CD4-positive, alpha-beta memory T cell	memory B cell	222
CD4-positive, alpha-beta memory T cell	naive B cell	79
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	154
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	108
CD4-positive, alpha-beta memory T cell	neutrophil	154
CD4-positive, alpha-beta memory T cell	plasma cell	243
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	123
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	136
CD4-positive, alpha-beta memory T cell	type I NK T cell	170
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	133
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	209
CD8-positive, alpha-beta memory T cell	classical monocyte	260
CD8-positive, alpha-beta memory T cell	endothelial cell	253
CD8-positive, alpha-beta memory T cell	erythrocyte	77
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	95
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	100
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	222
CD8-positive, alpha-beta memory T cell	mature NK T cell	213
CD8-positive, alpha-beta memory T cell	memory B cell	262
CD8-positive, alpha-beta memory T cell	naive B cell	87
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	178
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	175
CD8-positive, alpha-beta memory T cell	plasma cell	286
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	139
CD8-positive, alpha-beta memory T cell	platelet	96
CD8-positive, alpha-beta memory T cell	regulatory T cell	161
CD8-positive, alpha-beta memory T cell	type I NK T cell	194
classical monocyte	CD1c-positive myeloid dendritic cell	135
classical monocyte	CD4-positive, alpha-beta memory T cell	217
classical monocyte	CD8-positive, alpha-beta memory T cell	256
classical monocyte	endothelial cell	264
classical monocyte	erythrocyte	74
classical monocyte	hematopoietic stem cell	96
classical monocyte	innate lymphoid cell	96
classical monocyte	intermediate monocyte	62
classical monocyte	macrophage	231
classical monocyte	mature NK T cell	220
classical monocyte	memory B cell	271
classical monocyte	naive B cell	85
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	187
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	119
classical monocyte	neutrophil	182
classical monocyte	plasma cell	298
classical monocyte	plasmacytoid dendritic cell	139
classical monocyte	platelet	93
classical monocyte	regulatory T cell	166
classical monocyte	type I NK T cell	194
endothelial cell	CD1c-positive myeloid dendritic cell	129
endothelial cell	CD4-positive, alpha-beta memory T cell	202
endothelial cell	CD8-positive, alpha-beta memory T cell	249
endothelial cell	classical monocyte	264
endothelial cell	erythrocyte	78
endothelial cell	hematopoietic stem cell	96
endothelial cell	innate lymphoid cell	92
endothelial cell	intermediate monocyte	61
endothelial cell	macrophage	232
endothelial cell	mature NK T cell	217
endothelial cell	memory B cell	264
endothelial cell	naive B cell	86
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	181
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	118
endothelial cell	neutrophil	177
endothelial cell	plasma cell	283
endothelial cell	plasmacytoid dendritic cell	138
endothelial cell	platelet	90
endothelial cell	regulatory T cell	154
endothelial cell	type I NK T cell	187
erythrocyte	CD1c-positive myeloid dendritic cell	39
erythrocyte	CD4-positive, alpha-beta memory T cell	57
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	75
erythrocyte	endothelial cell	70
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	67
erythrocyte	mature NK T cell	59
erythrocyte	memory B cell	78
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
