source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	122
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	53
CD1c-positive myeloid dendritic cell	innate lymphoid cell	52
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	134
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	147
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	64
CD1c-positive myeloid dendritic cell	neutrophil	97
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	91
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	99
CD1c-positive myeloid dendritic cell	type I NK T cell	122
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	123
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	215
CD4-positive, alpha-beta memory T cell	classical monocyte	236
CD4-positive, alpha-beta memory T cell	endothelial cell	226
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	93
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	204
CD4-positive, alpha-beta memory T cell	mature NK T cell	192
CD4-positive, alpha-beta memory T cell	memory B cell	223
CD4-positive, alpha-beta memory T cell	naive B cell	81
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	154
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	103
CD4-positive, alpha-beta memory T cell	neutrophil	165
CD4-positive, alpha-beta memory T cell	plasma cell	245
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	126
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	144
CD4-positive, alpha-beta memory T cell	type I NK T cell	168
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	135
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	212
CD8-positive, alpha-beta memory T cell	classical monocyte	275
CD8-positive, alpha-beta memory T cell	endothelial cell	267
CD8-positive, alpha-beta memory T cell	erythrocyte	77
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	104
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	100
CD8-positive, alpha-beta memory T cell	intermediate monocyte	67
CD8-positive, alpha-beta memory T cell	macrophage	231
CD8-positive, alpha-beta memory T cell	mature NK T cell	214
CD8-positive, alpha-beta memory T cell	memory B cell	263
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	179
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	113
CD8-positive, alpha-beta memory T cell	neutrophil	190
CD8-positive, alpha-beta memory T cell	plasma cell	289
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	140
CD8-positive, alpha-beta memory T cell	platelet	97
CD8-positive, alpha-beta memory T cell	regulatory T cell	169
CD8-positive, alpha-beta memory T cell	type I NK T cell	191
classical monocyte	CD1c-positive myeloid dendritic cell	142
classical monocyte	CD4-positive, alpha-beta memory T cell	224
classical monocyte	CD8-positive, alpha-beta memory T cell	264
classical monocyte	endothelial cell	287
classical monocyte	erythrocyte	81
classical monocyte	hematopoietic stem cell	112
classical monocyte	innate lymphoid cell	100
classical monocyte	intermediate monocyte	66
classical monocyte	macrophage	251
classical monocyte	mature NK T cell	227
classical monocyte	memory B cell	284
classical monocyte	naive B cell	89
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	193
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	117
classical monocyte	neutrophil	203
classical monocyte	plasma cell	311
classical monocyte	plasmacytoid dendritic cell	148
classical monocyte	platelet	96
classical monocyte	regulatory T cell	181
classical monocyte	type I NK T cell	198
endothelial cell	CD1c-positive myeloid dendritic cell	133
endothelial cell	CD4-positive, alpha-beta memory T cell	207
endothelial cell	CD8-positive, alpha-beta memory T cell	251
endothelial cell	classical monocyte	281
endothelial cell	erythrocyte	81
endothelial cell	hematopoietic stem cell	105
endothelial cell	innate lymphoid cell	94
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	244
endothelial cell	mature NK T cell	221
endothelial cell	memory B cell	270
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	183
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	114
endothelial cell	neutrophil	195
endothelial cell	plasma cell	288
endothelial cell	plasmacytoid dendritic cell	141
endothelial cell	platelet	92
endothelial cell	regulatory T cell	165
endothelial cell	type I NK T cell	185
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	58
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	77
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	69
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	29
