source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	121
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	142
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	53
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	136
CD1c-positive myeloid dendritic cell	mature NK T cell	125
CD1c-positive myeloid dendritic cell	memory B cell	146
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	103
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	67
CD1c-positive myeloid dendritic cell	neutrophil	91
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	91
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	99
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	121
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	214
CD4-positive, alpha-beta memory T cell	classical monocyte	229
CD4-positive, alpha-beta memory T cell	endothelial cell	221
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	93
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	204
CD4-positive, alpha-beta memory T cell	mature NK T cell	188
CD4-positive, alpha-beta memory T cell	memory B cell	220
CD4-positive, alpha-beta memory T cell	naive B cell	80
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	151
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	105
CD4-positive, alpha-beta memory T cell	neutrophil	146
CD4-positive, alpha-beta memory T cell	plasma cell	242
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	123
CD4-positive, alpha-beta memory T cell	platelet	81
CD4-positive, alpha-beta memory T cell	regulatory T cell	137
CD4-positive, alpha-beta memory T cell	type I NK T cell	167
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	134
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	206
CD8-positive, alpha-beta memory T cell	classical monocyte	264
CD8-positive, alpha-beta memory T cell	endothelial cell	256
CD8-positive, alpha-beta memory T cell	erythrocyte	75
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	103
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	101
CD8-positive, alpha-beta memory T cell	intermediate monocyte	67
CD8-positive, alpha-beta memory T cell	macrophage	229
CD8-positive, alpha-beta memory T cell	mature NK T cell	214
CD8-positive, alpha-beta memory T cell	memory B cell	260
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	177
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	165
CD8-positive, alpha-beta memory T cell	plasma cell	285
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	140
CD8-positive, alpha-beta memory T cell	platelet	96
CD8-positive, alpha-beta memory T cell	regulatory T cell	163
CD8-positive, alpha-beta memory T cell	type I NK T cell	194
classical monocyte	CD1c-positive myeloid dendritic cell	144
classical monocyte	CD4-positive, alpha-beta memory T cell	228
classical monocyte	CD8-positive, alpha-beta memory T cell	276
classical monocyte	endothelial cell	290
classical monocyte	erythrocyte	81
classical monocyte	hematopoietic stem cell	115
classical monocyte	innate lymphoid cell	104
classical monocyte	intermediate monocyte	67
classical monocyte	macrophage	254
classical monocyte	mature NK T cell	229
classical monocyte	memory B cell	287
classical monocyte	naive B cell	90
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	191
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	126
classical monocyte	neutrophil	185
classical monocyte	plasma cell	317
classical monocyte	plasmacytoid dendritic cell	150
classical monocyte	platelet	97
classical monocyte	regulatory T cell	179
classical monocyte	type I NK T cell	204
endothelial cell	CD1c-positive myeloid dendritic cell	134
endothelial cell	CD4-positive, alpha-beta memory T cell	209
endothelial cell	CD8-positive, alpha-beta memory T cell	258
endothelial cell	classical monocyte	276
endothelial cell	erythrocyte	82
endothelial cell	hematopoietic stem cell	107
endothelial cell	innate lymphoid cell	95
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	245
endothelial cell	mature NK T cell	220
endothelial cell	memory B cell	269
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	180
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
endothelial cell	neutrophil	174
endothelial cell	plasma cell	293
endothelial cell	plasmacytoid dendritic cell	141
endothelial cell	platelet	92
endothelial cell	regulatory T cell	161
endothelial cell	type I NK T cell	190
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	58
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	77
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	51
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
erythrocyte	neutrophil	48
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	26
erythrocyte	regulatory T cell	44
erythrocyte	type I NK T cell	63
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	71
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	103
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	125
hematopoietic stem cell	classical monocyte	129
hematopoietic stem cell	endothelial cell	124
hematopoietic stem cell	erythrocyte	28
hematopoietic stem cell	innate lymphoid cell	42
hematopoietic stem cell	intermediate monocyte	33
hematopoietic stem cell	macrophage	116
hematopoietic stem cell	mature NK T cell	107
hematopoietic stem cell	memory B cell	125
hematopoietic stem cell	naive B cell	44
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	94
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	49
hematopoietic stem cell	neutrophil	79
hematopoietic stem cell	plasma cell	134
hematopoietic stem cell	plasmacytoid dendritic cell	68
hematopoietic stem cell	platelet	49
hematopoietic stem cell	regulatory T cell	82
hematopoietic stem cell	type I NK T cell	106
innate lymphoid cell	CD1c-positive myeloid dendritic cell	73
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	111
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	138
