source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	116
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	140
CD1c-positive myeloid dendritic cell	classical monocyte	137
CD1c-positive myeloid dendritic cell	endothelial cell	128
CD1c-positive myeloid dendritic cell	erythrocyte	35
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	52
CD1c-positive myeloid dendritic cell	innate lymphoid cell	50
CD1c-positive myeloid dendritic cell	intermediate monocyte	41
CD1c-positive myeloid dendritic cell	macrophage	129
CD1c-positive myeloid dendritic cell	mature NK T cell	119
CD1c-positive myeloid dendritic cell	memory B cell	141
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	99
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	66
CD1c-positive myeloid dendritic cell	neutrophil	89
CD1c-positive myeloid dendritic cell	plasma cell	145
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	90
CD1c-positive myeloid dendritic cell	platelet	53
CD1c-positive myeloid dendritic cell	regulatory T cell	92
CD1c-positive myeloid dendritic cell	type I NK T cell	119
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	119
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	213
CD4-positive, alpha-beta memory T cell	classical monocyte	223
CD4-positive, alpha-beta memory T cell	endothelial cell	204
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	93
CD4-positive, alpha-beta memory T cell	intermediate monocyte	53
CD4-positive, alpha-beta memory T cell	macrophage	203
CD4-positive, alpha-beta memory T cell	mature NK T cell	184
CD4-positive, alpha-beta memory T cell	memory B cell	221
CD4-positive, alpha-beta memory T cell	naive B cell	80
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	151
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	105
CD4-positive, alpha-beta memory T cell	neutrophil	154
CD4-positive, alpha-beta memory T cell	plasma cell	241
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	124
CD4-positive, alpha-beta memory T cell	platelet	81
CD4-positive, alpha-beta memory T cell	regulatory T cell	133
CD4-positive, alpha-beta memory T cell	type I NK T cell	167
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	132
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	203
CD8-positive, alpha-beta memory T cell	classical monocyte	258
CD8-positive, alpha-beta memory T cell	endothelial cell	236
CD8-positive, alpha-beta memory T cell	erythrocyte	75
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	102
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	100
CD8-positive, alpha-beta memory T cell	intermediate monocyte	58
CD8-positive, alpha-beta memory T cell	macrophage	230
CD8-positive, alpha-beta memory T cell	mature NK T cell	208
CD8-positive, alpha-beta memory T cell	memory B cell	263
CD8-positive, alpha-beta memory T cell	naive B cell	85
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	175
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	119
CD8-positive, alpha-beta memory T cell	neutrophil	174
CD8-positive, alpha-beta memory T cell	plasma cell	285
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	141
CD8-positive, alpha-beta memory T cell	platelet	94
CD8-positive, alpha-beta memory T cell	regulatory T cell	158
CD8-positive, alpha-beta memory T cell	type I NK T cell	193
classical monocyte	CD1c-positive myeloid dendritic cell	136
classical monocyte	CD4-positive, alpha-beta memory T cell	216
classical monocyte	CD8-positive, alpha-beta memory T cell	259
classical monocyte	endothelial cell	256
classical monocyte	erythrocyte	75
classical monocyte	hematopoietic stem cell	110
classical monocyte	innate lymphoid cell	101
classical monocyte	intermediate monocyte	60
classical monocyte	macrophage	247
classical monocyte	mature NK T cell	219
classical monocyte	memory B cell	276
classical monocyte	naive B cell	88
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	184
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	123
classical monocyte	neutrophil	186
classical monocyte	plasma cell	303
classical monocyte	plasmacytoid dendritic cell	144
classical monocyte	platelet	96
classical monocyte	regulatory T cell	164
classical monocyte	type I NK T cell	201
endothelial cell	CD1c-positive myeloid dendritic cell	127
endothelial cell	CD4-positive, alpha-beta memory T cell	199
endothelial cell	CD8-positive, alpha-beta memory T cell	246
endothelial cell	classical monocyte	264
endothelial cell	erythrocyte	78
endothelial cell	hematopoietic stem cell	105
endothelial cell	innate lymphoid cell	94
endothelial cell	intermediate monocyte	53
endothelial cell	macrophage	241
endothelial cell	mature NK T cell	214
endothelial cell	memory B cell	265
endothelial cell	naive B cell	85
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	175
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	119
endothelial cell	neutrophil	175
endothelial cell	plasma cell	283
endothelial cell	plasmacytoid dendritic cell	139
endothelial cell	platelet	88
endothelial cell	regulatory T cell	153
endothelial cell	type I NK T cell	186
erythrocyte	CD1c-positive myeloid dendritic cell	39
erythrocyte	CD4-positive, alpha-beta memory T cell	56
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	76
erythrocyte	endothelial cell	68
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	68
erythrocyte	mature NK T cell	59
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	51
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
erythrocyte	neutrophil	50
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	26
erythrocyte	regulatory T cell	43
erythrocyte	type I NK T cell	63
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	69
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	99
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	122
hematopoietic stem cell	classical monocyte	125
hematopoietic stem cell	endothelial cell	117
hematopoietic stem cell	erythrocyte	27
hematopoietic stem cell	innate lymphoid cell	42
hematopoietic stem cell	intermediate monocyte	29
hematopoietic stem cell	macrophage	110
hematopoietic stem cell	mature NK T cell	104
hematopoietic stem cell	memory B cell	124
hematopoietic stem cell	naive B cell	43
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	93
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	49
hematopoietic stem cell	neutrophil	80
hematopoietic stem cell	plasma cell	132
hematopoietic stem cell	plasmacytoid dendritic cell	67
hematopoietic stem cell	platelet	47
hematopoietic stem cell	regulatory T cell	81
hematopoietic stem cell	type I NK T cell	104
innate lymphoid cell	CD1c-positive myeloid dendritic cell	70
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	108
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	136
innate lymphoid cell	classical monocyte	139
innate lymphoid cell	endothelial cell	121
innate lymphoid cell	erythrocyte	34
innate lymphoid cell	hematopoietic stem cell	58
innate lymphoid cell	intermediate monocyte	39
innate lymphoid cell	macrophage	128
innate lymphoid cell	mature NK T cell	115
innate lymphoid cell	memory B cell	145
innate lymphoid cell	naive B cell	56
innate lymphoid cell	naive thymus-derived CD4-positive, alpha-beta T cell	96
innate lymphoid cell	naive thymus-derived CD8-positive, alpha-beta T cell	66
innate lymphoid cell	neutrophil	93
innate lymphoid cell	plasma cell	149
innate lymphoid cell	plasmacytoid dendritic cell	86
innate lymphoid cell	platelet	45
