source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	120
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	138
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	148
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	95
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	92
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	97
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	119
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	211
CD4-positive, alpha-beta memory T cell	classical monocyte	232
CD4-positive, alpha-beta memory T cell	endothelial cell	218
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	95
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	207
CD4-positive, alpha-beta memory T cell	mature NK T cell	186
CD4-positive, alpha-beta memory T cell	memory B cell	219
CD4-positive, alpha-beta memory T cell	naive B cell	78
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	151
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	104
CD4-positive, alpha-beta memory T cell	neutrophil	161
CD4-positive, alpha-beta memory T cell	plasma cell	238
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	122
CD4-positive, alpha-beta memory T cell	platelet	82
CD4-positive, alpha-beta memory T cell	regulatory T cell	137
CD4-positive, alpha-beta memory T cell	type I NK T cell	166
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	134
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	205
CD8-positive, alpha-beta memory T cell	classical monocyte	275
CD8-positive, alpha-beta memory T cell	endothelial cell	256
CD8-positive, alpha-beta memory T cell	erythrocyte	79
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	96
