source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	122
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	142
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	129
CD1c-positive myeloid dendritic cell	mature NK T cell	125
CD1c-positive myeloid dendritic cell	memory B cell	148
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	64
CD1c-positive myeloid dendritic cell	neutrophil	92
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	90
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	92
CD1c-positive myeloid dendritic cell	type I NK T cell	121
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	123
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	216
CD4-positive, alpha-beta memory T cell	classical monocyte	232
CD4-positive, alpha-beta memory T cell	endothelial cell	227
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	94
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	200
CD4-positive, alpha-beta memory T cell	mature NK T cell	191
CD4-positive, alpha-beta memory T cell	memory B cell	224
CD4-positive, alpha-beta memory T cell	naive B cell	81
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	155
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	103
CD4-positive, alpha-beta memory T cell	neutrophil	157
CD4-positive, alpha-beta memory T cell	plasma cell	246
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	125
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	136
CD4-positive, alpha-beta memory T cell	type I NK T cell	165
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	133
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	204
CD8-positive, alpha-beta memory T cell	classical monocyte	264
CD8-positive, alpha-beta memory T cell	endothelial cell	263
CD8-positive, alpha-beta memory T cell	erythrocyte	76
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	93
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	101
CD8-positive, alpha-beta memory T cell	intermediate monocyte	67
CD8-positive, alpha-beta memory T cell	macrophage	222
CD8-positive, alpha-beta memory T cell	mature NK T cell	211
CD8-positive, alpha-beta memory T cell	memory B cell	258
CD8-positive, alpha-beta memory T cell	naive B cell	85
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	176
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	113
CD8-positive, alpha-beta memory T cell	neutrophil	180
CD8-positive, alpha-beta memory T cell	plasma cell	282
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	138
CD8-positive, alpha-beta memory T cell	platelet	96
CD8-positive, alpha-beta memory T cell	regulatory T cell	157
CD8-positive, alpha-beta memory T cell	type I NK T cell	184
classical monocyte	CD1c-positive myeloid dendritic cell	139
classical monocyte	CD4-positive, alpha-beta memory T cell	219
classical monocyte	CD8-positive, alpha-beta memory T cell	259
classical monocyte	endothelial cell	281
classical monocyte	erythrocyte	75
classical monocyte	hematopoietic stem cell	102
classical monocyte	innate lymphoid cell	102
classical monocyte	intermediate monocyte	67
classical monocyte	macrophage	243
classical monocyte	mature NK T cell	221
classical monocyte	memory B cell	278
classical monocyte	naive B cell	87
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	189
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	117
classical monocyte	neutrophil	185
classical monocyte	plasma cell	302
classical monocyte	plasmacytoid dendritic cell	144
classical monocyte	platelet	95
classical monocyte	regulatory T cell	165
classical monocyte	type I NK T cell	190
endothelial cell	CD1c-positive myeloid dendritic cell	133
endothelial cell	CD4-positive, alpha-beta memory T cell	206
endothelial cell	CD8-positive, alpha-beta memory T cell	252
endothelial cell	classical monocyte	279
endothelial cell	erythrocyte	81
endothelial cell	hematopoietic stem cell	96
endothelial cell	innate lymphoid cell	95
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	239
endothelial cell	mature NK T cell	220
endothelial cell	memory B cell	271
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	183
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	114
endothelial cell	neutrophil	184
endothelial cell	plasma cell	289
endothelial cell	plasmacytoid dendritic cell	140
endothelial cell	platelet	92
endothelial cell	regulatory T cell	154
endothelial cell	type I NK T cell	180
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	58
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	76
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	68
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	29
