source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	122
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	138
CD1c-positive myeloid dendritic cell	erythrocyte	35
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	53
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	42
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	147
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	103
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	90
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	92
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	98
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	123
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	215
CD4-positive, alpha-beta memory T cell	classical monocyte	229
CD4-positive, alpha-beta memory T cell	endothelial cell	218
CD4-positive, alpha-beta memory T cell	erythrocyte	66
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	96
CD4-positive, alpha-beta memory T cell	intermediate monocyte	59
CD4-positive, alpha-beta memory T cell	macrophage	208
CD4-positive, alpha-beta memory T cell	mature NK T cell	193
CD4-positive, alpha-beta memory T cell	memory B cell	223
CD4-positive, alpha-beta memory T cell	naive B cell	81
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	154
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	109
CD4-positive, alpha-beta memory T cell	neutrophil	145
CD4-positive, alpha-beta memory T cell	plasma cell	245
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	127
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	140
CD4-positive, alpha-beta memory T cell	type I NK T cell	171
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	134
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	205
CD8-positive, alpha-beta memory T cell	classical monocyte	265
CD8-positive, alpha-beta memory T cell	endothelial cell	252
CD8-positive, alpha-beta memory T cell	erythrocyte	76
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	106
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	105
CD8-positive, alpha-beta memory T cell	intermediate monocyte	65
CD8-positive, alpha-beta memory T cell	macrophage	238
CD8-positive, alpha-beta memory T cell	mature NK T cell	216
CD8-positive, alpha-beta memory T cell	memory B cell	265
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	176
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	163
CD8-positive, alpha-beta memory T cell	plasma cell	284
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	141
CD8-positive, alpha-beta memory T cell	platelet	97
CD8-positive, alpha-beta memory T cell	regulatory T cell	163
CD8-positive, alpha-beta memory T cell	type I NK T cell	193
classical monocyte	CD1c-positive myeloid dendritic cell	144
classical monocyte	CD4-positive, alpha-beta memory T cell	225
classical monocyte	CD8-positive, alpha-beta memory T cell	269
classical monocyte	endothelial cell	283
classical monocyte	erythrocyte	79
classical monocyte	hematopoietic stem cell	114
classical monocyte	innate lymphoid cell	105
classical monocyte	intermediate monocyte	64
classical monocyte	macrophage	261
classical monocyte	mature NK T cell	231
classical monocyte	memory B cell	289
classical monocyte	naive B cell	90
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	190
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	126
classical monocyte	neutrophil	179
classical monocyte	plasma cell	314
classical monocyte	plasmacytoid dendritic cell	152
classical monocyte	platelet	98
classical monocyte	regulatory T cell	177
classical monocyte	type I NK T cell	204
endothelial cell	CD1c-positive myeloid dendritic cell	132
endothelial cell	CD4-positive, alpha-beta memory T cell	201
endothelial cell	CD8-positive, alpha-beta memory T cell	249
endothelial cell	classical monocyte	268
endothelial cell	erythrocyte	76
endothelial cell	hematopoietic stem cell	102
endothelial cell	innate lymphoid cell	93
endothelial cell	intermediate monocyte	57
endothelial cell	macrophage	247
endothelial cell	mature NK T cell	221
endothelial cell	memory B cell	265
endothelial cell	naive B cell	85
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	175
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	119
endothelial cell	neutrophil	167
endothelial cell	plasma cell	283
endothelial cell	plasmacytoid dendritic cell	141
endothelial cell	platelet	89
endothelial cell	regulatory T cell	158
endothelial cell	type I NK T cell	188
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	57
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	77
erythrocyte	endothelial cell	71
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	79
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	51
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
