source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	121
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	142
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	53
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	148
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	93
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	92
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	96
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	120
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	213
CD4-positive, alpha-beta memory T cell	classical monocyte	232
CD4-positive, alpha-beta memory T cell	endothelial cell	225
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	96
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	208
CD4-positive, alpha-beta memory T cell	mature NK T cell	189
CD4-positive, alpha-beta memory T cell	memory B cell	222
CD4-positive, alpha-beta memory T cell	naive B cell	79
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	152
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	107
CD4-positive, alpha-beta memory T cell	neutrophil	153
CD4-positive, alpha-beta memory T cell	plasma cell	242
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	124
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	134
CD4-positive, alpha-beta memory T cell	type I NK T cell	168
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	134
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	207
CD8-positive, alpha-beta memory T cell	classical monocyte	275
CD8-positive, alpha-beta memory T cell	endothelial cell	267
CD8-positive, alpha-beta memory T cell	erythrocyte	78
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	104
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	105
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	237
CD8-positive, alpha-beta memory T cell	mature NK T cell	213
CD8-positive, alpha-beta memory T cell	memory B cell	269
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	179
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	176
CD8-positive, alpha-beta memory T cell	plasma cell	289
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	141
CD8-positive, alpha-beta memory T cell	platelet	98
CD8-positive, alpha-beta memory T cell	regulatory T cell	159
CD8-positive, alpha-beta memory T cell	type I NK T cell	194
classical monocyte	CD1c-positive myeloid dendritic cell	144
classical monocyte	CD4-positive, alpha-beta memory T cell	226
classical monocyte	CD8-positive, alpha-beta memory T cell	270
classical monocyte	endothelial cell	298
classical monocyte	erythrocyte	82
classical monocyte	hematopoietic stem cell	117
classical monocyte	innate lymphoid cell	106
classical monocyte	intermediate monocyte	68
classical monocyte	macrophage	261
classical monocyte	mature NK T cell	231
classical monocyte	memory B cell	292
classical monocyte	naive B cell	90
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	197
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	126
classical monocyte	neutrophil	195
classical monocyte	plasma cell	317
classical monocyte	plasmacytoid dendritic cell	151
classical monocyte	platelet	99
classical monocyte	regulatory T cell	172
classical monocyte	type I NK T cell	205
endothelial cell	CD1c-positive myeloid dendritic cell	134
endothelial cell	CD4-positive, alpha-beta memory T cell	206
endothelial cell	CD8-positive, alpha-beta memory T cell	254
endothelial cell	classical monocyte	284
endothelial cell	erythrocyte	82
endothelial cell	hematopoietic stem cell	107
endothelial cell	innate lymphoid cell	95
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	251
endothelial cell	mature NK T cell	222
endothelial cell	memory B cell	276
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	185
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
endothelial cell	neutrophil	183
endothelial cell	plasma cell	293
endothelial cell	plasmacytoid dendritic cell	142
endothelial cell	platelet	92
endothelial cell	regulatory T cell	156
endothelial cell	type I NK T cell	190
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	57
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	77
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
erythrocyte	neutrophil	47
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	26
erythrocyte	regulatory T cell	43
erythrocyte	type I NK T cell	63
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	71
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	102
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	124
hematopoietic stem cell	classical monocyte	130
hematopoietic stem cell	endothelial cell	124
hematopoietic stem cell	erythrocyte	28
hematopoietic stem cell	innate lymphoid cell	43
hematopoietic stem cell	intermediate monocyte	33
hematopoietic stem cell	macrophage	117
hematopoietic stem cell	mature NK T cell	107
hematopoietic stem cell	memory B cell	127
hematopoietic stem cell	naive B cell	44
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	95
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	49
hematopoietic stem cell	neutrophil	81
hematopoietic stem cell	plasma cell	134
hematopoietic stem cell	plasmacytoid dendritic cell	68
hematopoietic stem cell	platelet	49
hematopoietic stem cell	regulatory T cell	82
hematopoietic stem cell	type I NK T cell	106
innate lymphoid cell	CD1c-positive myeloid dendritic cell	74
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	112
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	142
