source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	121
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	148
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	103
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	63
CD1c-positive myeloid dendritic cell	neutrophil	95
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	92
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	100
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	121
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	213
CD4-positive, alpha-beta memory T cell	classical monocyte	231
CD4-positive, alpha-beta memory T cell	endothelial cell	223
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	92
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	206
CD4-positive, alpha-beta memory T cell	mature NK T cell	189
CD4-positive, alpha-beta memory T cell	memory B cell	221
CD4-positive, alpha-beta memory T cell	naive B cell	79
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	151
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	102
CD4-positive, alpha-beta memory T cell	neutrophil	162
CD4-positive, alpha-beta memory T cell	plasma cell	240
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	124
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	144
CD4-positive, alpha-beta memory T cell	type I NK T cell	169
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	134
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	206
CD8-positive, alpha-beta memory T cell	classical monocyte	272
CD8-positive, alpha-beta memory T cell	endothelial cell	261
CD8-positive, alpha-beta memory T cell	erythrocyte	77
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	96
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	101
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	236
CD8-positive, alpha-beta memory T cell	mature NK T cell	214
CD8-positive, alpha-beta memory T cell	memory B cell	261
CD8-positive, alpha-beta memory T cell	naive B cell	86
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	176
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	114
CD8-positive, alpha-beta memory T cell	neutrophil	185
CD8-positive, alpha-beta memory T cell	plasma cell	284
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	141
CD8-positive, alpha-beta memory T cell	platelet	97
CD8-positive, alpha-beta memory T cell	regulatory T cell	168
CD8-positive, alpha-beta memory T cell	type I NK T cell	193
classical monocyte	CD1c-positive myeloid dendritic cell	147
classical monocyte	CD4-positive, alpha-beta memory T cell	230
classical monocyte	CD8-positive, alpha-beta memory T cell	278
classical monocyte	endothelial cell	297
classical monocyte	erythrocyte	82
classical monocyte	hematopoietic stem cell	107
classical monocyte	innate lymphoid cell	104
classical monocyte	intermediate monocyte	69
classical monocyte	macrophage	266
classical monocyte	mature NK T cell	235
classical monocyte	memory B cell	295
classical monocyte	naive B cell	93
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	196
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	121
classical monocyte	neutrophil	208
classical monocyte	plasma cell	322
classical monocyte	plasmacytoid dendritic cell	153
classical monocyte	platelet	100
classical monocyte	regulatory T cell	187
classical monocyte	type I NK T cell	208
endothelial cell	CD1c-positive myeloid dendritic cell	134
endothelial cell	CD4-positive, alpha-beta memory T cell	204
endothelial cell	CD8-positive, alpha-beta memory T cell	255
endothelial cell	classical monocyte	284
endothelial cell	erythrocyte	82
endothelial cell	hematopoietic stem cell	97
endothelial cell	innate lymphoid cell	94
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	251
endothelial cell	mature NK T cell	222
endothelial cell	memory B cell	274
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	180
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	114
endothelial cell	neutrophil	195
endothelial cell	plasma cell	291
endothelial cell	plasmacytoid dendritic cell	142
endothelial cell	platelet	92
endothelial cell	regulatory T cell	166
endothelial cell	type I NK T cell	190
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	56
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	77
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	51
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	29
erythrocyte	neutrophil	49
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	26
erythrocyte	regulatory T cell	44
erythrocyte	type I NK T cell	63
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	67
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	97
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	120
hematopoietic stem cell	classical monocyte	127
hematopoietic stem cell	endothelial cell	120
hematopoietic stem cell	erythrocyte	26
hematopoietic stem cell	innate lymphoid cell	41
hematopoietic stem cell	intermediate monocyte	30
hematopoietic stem cell	macrophage	113
hematopoietic stem cell	mature NK T cell	103
hematopoietic stem cell	memory B cell	123
hematopoietic stem cell	naive B cell	42
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	91
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	45
hematopoietic stem cell	neutrophil	81
hematopoietic stem cell	plasma cell	130
hematopoietic stem cell	plasmacytoid dendritic cell	64
hematopoietic stem cell	platelet	45
hematopoietic stem cell	regulatory T cell	82
hematopoietic stem cell	type I NK T cell	102
innate lymphoid cell	CD1c-positive myeloid dendritic cell	72
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	106
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	136
