source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	122
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	142
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	53
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	148
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	93
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	92
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	100
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	123
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	216
CD4-positive, alpha-beta memory T cell	classical monocyte	236
CD4-positive, alpha-beta memory T cell	endothelial cell	229
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	92
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	95
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	209
CD4-positive, alpha-beta memory T cell	mature NK T cell	191
CD4-positive, alpha-beta memory T cell	memory B cell	226
CD4-positive, alpha-beta memory T cell	naive B cell	81
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	155
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	109
CD4-positive, alpha-beta memory T cell	neutrophil	155
CD4-positive, alpha-beta memory T cell	plasma cell	247
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	127
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	140
CD4-positive, alpha-beta memory T cell	type I NK T cell	171
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	133
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	207
CD8-positive, alpha-beta memory T cell	classical monocyte	275
CD8-positive, alpha-beta memory T cell	endothelial cell	267
CD8-positive, alpha-beta memory T cell	erythrocyte	76
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	102
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	103
CD8-positive, alpha-beta memory T cell	intermediate monocyte	67
CD8-positive, alpha-beta memory T cell	macrophage	236
CD8-positive, alpha-beta memory T cell	mature NK T cell	213
CD8-positive, alpha-beta memory T cell	memory B cell	266
CD8-positive, alpha-beta memory T cell	naive B cell	85
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	177
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	119
CD8-positive, alpha-beta memory T cell	neutrophil	174
CD8-positive, alpha-beta memory T cell	plasma cell	287
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	140
CD8-positive, alpha-beta memory T cell	platelet	95
CD8-positive, alpha-beta memory T cell	regulatory T cell	165
CD8-positive, alpha-beta memory T cell	type I NK T cell	193
classical monocyte	CD1c-positive myeloid dendritic cell	146
classical monocyte	CD4-positive, alpha-beta memory T cell	231
classical monocyte	CD8-positive, alpha-beta memory T cell	272
classical monocyte	endothelial cell	299
classical monocyte	erythrocyte	81
classical monocyte	hematopoietic stem cell	115
classical monocyte	innate lymphoid cell	105
classical monocyte	intermediate monocyte	69
classical monocyte	macrophage	264
classical monocyte	mature NK T cell	232
classical monocyte	memory B cell	295
classical monocyte	naive B cell	93
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	199
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	127
classical monocyte	neutrophil	197
classical monocyte	plasma cell	319
classical monocyte	plasmacytoid dendritic cell	153
classical monocyte	platelet	101
classical monocyte	regulatory T cell	182
classical monocyte	type I NK T cell	206
endothelial cell	CD1c-positive myeloid dendritic cell	133
endothelial cell	CD4-positive, alpha-beta memory T cell	208
endothelial cell	CD8-positive, alpha-beta memory T cell	252
endothelial cell	classical monocyte	283
endothelial cell	erythrocyte	81
endothelial cell	hematopoietic stem cell	105
endothelial cell	innate lymphoid cell	94
endothelial cell	intermediate monocyte	62
endothelial cell	macrophage	250
endothelial cell	mature NK T cell	221
endothelial cell	memory B cell	274
endothelial cell	naive B cell	87
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	183
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
endothelial cell	neutrophil	182
endothelial cell	plasma cell	290
endothelial cell	plasmacytoid dendritic cell	142
endothelial cell	platelet	92
endothelial cell	regulatory T cell	160
endothelial cell	type I NK T cell	189
erythrocyte	CD1c-positive myeloid dendritic cell	40
erythrocyte	CD4-positive, alpha-beta memory T cell	59
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	76
erythrocyte	endothelial cell	72
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
