source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	123
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	142
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	52
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	145
CD1c-positive myeloid dendritic cell	naive B cell	48
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	103
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	91
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	90
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	96
CD1c-positive myeloid dendritic cell	type I NK T cell	123
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	121
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	216
CD4-positive, alpha-beta memory T cell	classical monocyte	230
CD4-positive, alpha-beta memory T cell	endothelial cell	220
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	96
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	210
CD4-positive, alpha-beta memory T cell	mature NK T cell	193
CD4-positive, alpha-beta memory T cell	memory B cell	220
CD4-positive, alpha-beta memory T cell	naive B cell	70
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	154
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	109
CD4-positive, alpha-beta memory T cell	neutrophil	152
CD4-positive, alpha-beta memory T cell	plasma cell	246
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	123
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	137
CD4-positive, alpha-beta memory T cell	type I NK T cell	170
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	135
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	208
CD8-positive, alpha-beta memory T cell	classical monocyte	269
CD8-positive, alpha-beta memory T cell	endothelial cell	259
CD8-positive, alpha-beta memory T cell	erythrocyte	78
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	96
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	103
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	238
CD8-positive, alpha-beta memory T cell	mature NK T cell	214
CD8-positive, alpha-beta memory T cell	memory B cell	262
CD8-positive, alpha-beta memory T cell	naive B cell	76
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	177
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	176
CD8-positive, alpha-beta memory T cell	plasma cell	289
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	139
CD8-positive, alpha-beta memory T cell	platelet	98
CD8-positive, alpha-beta memory T cell	regulatory T cell	162
CD8-positive, alpha-beta memory T cell	type I NK T cell	194
classical monocyte	CD1c-positive myeloid dendritic cell	145
classical monocyte	CD4-positive, alpha-beta memory T cell	229
