source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	118
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	140
CD1c-positive myeloid dendritic cell	classical monocyte	136
CD1c-positive myeloid dendritic cell	endothelial cell	133
CD1c-positive myeloid dendritic cell	erythrocyte	35
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	48
CD1c-positive myeloid dendritic cell	innate lymphoid cell	50
CD1c-positive myeloid dendritic cell	intermediate monocyte	19
CD1c-positive myeloid dendritic cell	macrophage	128
CD1c-positive myeloid dendritic cell	mature NK T cell	120
CD1c-positive myeloid dendritic cell	memory B cell	141
CD1c-positive myeloid dendritic cell	naive B cell	50
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	99
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	66
CD1c-positive myeloid dendritic cell	neutrophil	90
CD1c-positive myeloid dendritic cell	plasma cell	144
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	88
CD1c-positive myeloid dendritic cell	platelet	52
CD1c-positive myeloid dendritic cell	regulatory T cell	93
CD1c-positive myeloid dendritic cell	type I NK T cell	118
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	116
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	214
CD4-positive, alpha-beta memory T cell	classical monocyte	225
CD4-positive, alpha-beta memory T cell	endothelial cell	218
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	82
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	95
CD4-positive, alpha-beta memory T cell	intermediate monocyte	27
CD4-positive, alpha-beta memory T cell	macrophage	198
CD4-positive, alpha-beta memory T cell	mature NK T cell	190
CD4-positive, alpha-beta memory T cell	memory B cell	217
CD4-positive, alpha-beta memory T cell	naive B cell	76
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	154
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	108
CD4-positive, alpha-beta memory T cell	neutrophil	160
CD4-positive, alpha-beta memory T cell	plasma cell	243
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	123
CD4-positive, alpha-beta memory T cell	platelet	80
CD4-positive, alpha-beta memory T cell	regulatory T cell	141
CD4-positive, alpha-beta memory T cell	type I NK T cell	170
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	129
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	208
CD8-positive, alpha-beta memory T cell	classical monocyte	262
CD8-positive, alpha-beta memory T cell	endothelial cell	253
CD8-positive, alpha-beta memory T cell	erythrocyte	77
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	94
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	101
CD8-positive, alpha-beta memory T cell	intermediate monocyte	29
CD8-positive, alpha-beta memory T cell	macrophage	223
CD8-positive, alpha-beta memory T cell	mature NK T cell	210
CD8-positive, alpha-beta memory T cell	memory B cell	255
CD8-positive, alpha-beta memory T cell	naive B cell	81
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	176
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	182
CD8-positive, alpha-beta memory T cell	plasma cell	285
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	139
CD8-positive, alpha-beta memory T cell	platelet	94
CD8-positive, alpha-beta memory T cell	regulatory T cell	163
CD8-positive, alpha-beta memory T cell	type I NK T cell	194
classical monocyte	CD1c-positive myeloid dendritic cell	128
classical monocyte	CD4-positive, alpha-beta memory T cell	210
classical monocyte	CD8-positive, alpha-beta memory T cell	251
classical monocyte	endothelial cell	267
classical monocyte	erythrocyte	71
classical monocyte	hematopoietic stem cell	95
classical monocyte	innate lymphoid cell	98
classical monocyte	intermediate monocyte	30
classical monocyte	macrophage	228
classical monocyte	mature NK T cell	213
classical monocyte	memory B cell	259
classical monocyte	naive B cell	80
classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	177
classical monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	117
classical monocyte	neutrophil	184
classical monocyte	plasma cell	290
classical monocyte	plasmacytoid dendritic cell	134
classical monocyte	platelet	89
classical monocyte	regulatory T cell	161
classical monocyte	type I NK T cell	194
endothelial cell	CD1c-positive myeloid dendritic cell	127
endothelial cell	CD4-positive, alpha-beta memory T cell	204
endothelial cell	CD8-positive, alpha-beta memory T cell	250
endothelial cell	classical monocyte	269
endothelial cell	erythrocyte	78
endothelial cell	hematopoietic stem cell	95
endothelial cell	innate lymphoid cell	94
endothelial cell	intermediate monocyte	26
endothelial cell	macrophage	238
endothelial cell	mature NK T cell	218
endothelial cell	memory B cell	265
endothelial cell	naive B cell	81
endothelial cell	naive thymus-derived CD4-positive, alpha-beta T cell	177
endothelial cell	naive thymus-derived CD8-positive, alpha-beta T cell	119
endothelial cell	neutrophil	183
endothelial cell	plasma cell	284
endothelial cell	plasmacytoid dendritic cell	139
endothelial cell	platelet	87
endothelial cell	regulatory T cell	160
endothelial cell	type I NK T cell	189
erythrocyte	CD1c-positive myeloid dendritic cell	36
erythrocyte	CD4-positive, alpha-beta memory T cell	57
erythrocyte	CD8-positive, alpha-beta memory T cell	77
erythrocyte	classical monocyte	75
erythrocyte	endothelial cell	71
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	10
erythrocyte	macrophage	68
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	27
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	51
