source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	123
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	139
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	52
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	147
CD1c-positive myeloid dendritic cell	naive B cell	50
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	105
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	93
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	92
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	94
CD1c-positive myeloid dendritic cell	type I NK T cell	122
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	123
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	216
CD4-positive, alpha-beta memory T cell	classical monocyte	235
CD4-positive, alpha-beta memory T cell	endothelial cell	230
CD4-positive, alpha-beta memory T cell	erythrocyte	67
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	83
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	96
CD4-positive, alpha-beta memory T cell	intermediate monocyte	62
CD4-positive, alpha-beta memory T cell	macrophage	211
CD4-positive, alpha-beta memory T cell	mature NK T cell	193
CD4-positive, alpha-beta memory T cell	memory B cell	222
CD4-positive, alpha-beta memory T cell	naive B cell	80
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	155
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	109
CD4-positive, alpha-beta memory T cell	neutrophil	155
CD4-positive, alpha-beta memory T cell	plasma cell	245
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	127
CD4-positive, alpha-beta memory T cell	platelet	83
CD4-positive, alpha-beta memory T cell	regulatory T cell	136
CD4-positive, alpha-beta memory T cell	type I NK T cell	171
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	135
CD8-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	208
CD8-positive, alpha-beta memory T cell	classical monocyte	275
CD8-positive, alpha-beta memory T cell	endothelial cell	270
CD8-positive, alpha-beta memory T cell	erythrocyte	78
CD8-positive, alpha-beta memory T cell	hematopoietic stem cell	95
CD8-positive, alpha-beta memory T cell	innate lymphoid cell	103
CD8-positive, alpha-beta memory T cell	intermediate monocyte	68
CD8-positive, alpha-beta memory T cell	macrophage	237
CD8-positive, alpha-beta memory T cell	mature NK T cell	214
CD8-positive, alpha-beta memory T cell	memory B cell	257
CD8-positive, alpha-beta memory T cell	naive B cell	85
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	179
CD8-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	120
CD8-positive, alpha-beta memory T cell	neutrophil	177
CD8-positive, alpha-beta memory T cell	plasma cell	288
CD8-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	143
CD8-positive, alpha-beta memory T cell	platelet	97
CD8-positive, alpha-beta memory T cell	regulatory T cell	158
CD8-positive, alpha-beta memory T cell	type I NK T cell	192
classical monocyte	CD1c-positive myeloid dendritic cell	145
classical monocyte	CD4-positive, alpha-beta memory T cell	228
