source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	120
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	143
CD1c-positive myeloid dendritic cell	classical monocyte	138
CD1c-positive myeloid dendritic cell	endothelial cell	134
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	41
CD1c-positive myeloid dendritic cell	macrophage	134
CD1c-positive myeloid dendritic cell	mature NK T cell	125
CD1c-positive myeloid dendritic cell	memory B cell	143
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	103
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	91
CD1c-positive myeloid dendritic cell	plasma cell	150
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	88
CD1c-positive myeloid dendritic cell	platelet	53
CD1c-positive myeloid dendritic cell	regulatory T cell	96
CD1c-positive myeloid dendritic cell	type I NK T cell	120
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	115
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	203
CD4-positive, alpha-beta memory T cell	classical monocyte	216
CD4-positive, alpha-beta memory T cell	endothelial cell	210
CD4-positive, alpha-beta memory T cell	erythrocyte	64
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	82
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	94
CD4-positive, alpha-beta memory T cell	intermediate monocyte	52
CD4-positive, alpha-beta memory T cell	macrophage	199
CD4-positive, alpha-beta memory T cell	mature NK T cell	181
CD4-positive, alpha-beta memory T cell	memory B cell	208
CD4-positive, alpha-beta memory T cell	naive B cell	77
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	147
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	104
CD4-positive, alpha-beta memory T cell	neutrophil	142
CD4-positive, alpha-beta memory T cell	plasma cell	237
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	117
CD4-positive, alpha-beta memory T cell	platelet	80
CD4-positive, alpha-beta memory T cell	regulatory T cell	131
