source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	117
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	136
CD1c-positive myeloid dendritic cell	classical monocyte	131
CD1c-positive myeloid dendritic cell	endothelial cell	124
CD1c-positive myeloid dendritic cell	erythrocyte	35
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	46
CD1c-positive myeloid dendritic cell	innate lymphoid cell	48
CD1c-positive myeloid dendritic cell	intermediate monocyte	41
CD1c-positive myeloid dendritic cell	macrophage	119
CD1c-positive myeloid dendritic cell	mature NK T cell	118
CD1c-positive myeloid dendritic cell	memory B cell	134
CD1c-positive myeloid dendritic cell	naive B cell	48
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	98
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	64
CD1c-positive myeloid dendritic cell	neutrophil	88
CD1c-positive myeloid dendritic cell	plasma cell	142
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	88
CD1c-positive myeloid dendritic cell	platelet	40
CD1c-positive myeloid dendritic cell	regulatory T cell	92
CD1c-positive myeloid dendritic cell	type I NK T cell	116
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	114
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	213
CD4-positive, alpha-beta memory T cell	classical monocyte	222
CD4-positive, alpha-beta memory T cell	endothelial cell	203
CD4-positive, alpha-beta memory T cell	erythrocyte	66
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	79
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	89
CD4-positive, alpha-beta memory T cell	intermediate monocyte	52
CD4-positive, alpha-beta memory T cell	macrophage	186
CD4-positive, alpha-beta memory T cell	mature NK T cell	187
CD4-positive, alpha-beta memory T cell	memory B cell	211
CD4-positive, alpha-beta memory T cell	naive B cell	71
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	152
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	107
CD4-positive, alpha-beta memory T cell	neutrophil	156
CD4-positive, alpha-beta memory T cell	plasma cell	239
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	123
CD4-positive, alpha-beta memory T cell	platelet	61
CD4-positive, alpha-beta memory T cell	regulatory T cell	141
CD4-positive, alpha-beta memory T cell	type I NK T cell	170
