source	target	count
CD1c-positive myeloid dendritic cell	CD4-positive, alpha-beta memory T cell	119
CD1c-positive myeloid dendritic cell	CD8-positive, alpha-beta memory T cell	145
CD1c-positive myeloid dendritic cell	classical monocyte	143
CD1c-positive myeloid dendritic cell	endothelial cell	138
CD1c-positive myeloid dendritic cell	erythrocyte	36
CD1c-positive myeloid dendritic cell	hematopoietic stem cell	50
CD1c-positive myeloid dendritic cell	innate lymphoid cell	53
CD1c-positive myeloid dendritic cell	intermediate monocyte	45
CD1c-positive myeloid dendritic cell	macrophage	137
CD1c-positive myeloid dendritic cell	mature NK T cell	126
CD1c-positive myeloid dendritic cell	memory B cell	147
CD1c-positive myeloid dendritic cell	naive B cell	51
CD1c-positive myeloid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	103
CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	68
CD1c-positive myeloid dendritic cell	neutrophil	96
CD1c-positive myeloid dendritic cell	plasma cell	151
CD1c-positive myeloid dendritic cell	plasmacytoid dendritic cell	91
CD1c-positive myeloid dendritic cell	platelet	54
CD1c-positive myeloid dendritic cell	regulatory T cell	96
CD1c-positive myeloid dendritic cell	type I NK T cell	122
CD4-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	118
CD4-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	207
CD4-positive, alpha-beta memory T cell	classical monocyte	228
CD4-positive, alpha-beta memory T cell	endothelial cell	213
CD4-positive, alpha-beta memory T cell	erythrocyte	66
CD4-positive, alpha-beta memory T cell	hematopoietic stem cell	82
CD4-positive, alpha-beta memory T cell	innate lymphoid cell	91
CD4-positive, alpha-beta memory T cell	intermediate monocyte	61
CD4-positive, alpha-beta memory T cell	macrophage	204
CD4-positive, alpha-beta memory T cell	mature NK T cell	183
CD4-positive, alpha-beta memory T cell	memory B cell	214
CD4-positive, alpha-beta memory T cell	naive B cell	77
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	146
CD4-positive, alpha-beta memory T cell	naive thymus-derived CD8-positive, alpha-beta T cell	103
CD4-positive, alpha-beta memory T cell	neutrophil	161
CD4-positive, alpha-beta memory T cell	plasma cell	235
CD4-positive, alpha-beta memory T cell	plasmacytoid dendritic cell	119
CD4-positive, alpha-beta memory T cell	platelet	82
CD4-positive, alpha-beta memory T cell	regulatory T cell	135
CD4-positive, alpha-beta memory T cell	type I NK T cell	164
CD8-positive, alpha-beta memory T cell	CD1c-positive myeloid dendritic cell	133
