source	target	count
B cell	CD4-positive helper T cell	204
B cell	CD8-positive, alpha-beta cytotoxic T cell	168
B cell	DN1 thymic pro-T cell	147
B cell	DN3 thymocyte	152
B cell	DN4 thymocyte	114
B cell	T follicular helper cell	145
B cell	capillary endothelial cell	179
B cell	endothelial cell of artery	219
B cell	endothelial cell of lymphatic vessel	206
B cell	erythrocyte	47
B cell	fibroblast	306
B cell	innate lymphoid cell	139
B cell	macrophage	227
B cell	mature NK T cell	109
B cell	medullary thymic epithelial cell	230
B cell	monocyte	126
B cell	naive regulatory T cell	155
B cell	plasma cell	178
B cell	vascular associated smooth muscle cell	299
B cell	vein endothelial cell	270
CD4-positive helper T cell	B cell	223
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	169
CD4-positive helper T cell	DN1 thymic pro-T cell	154
CD4-positive helper T cell	DN3 thymocyte	163
CD4-positive helper T cell	DN4 thymocyte	119
CD4-positive helper T cell	T follicular helper cell	150
CD4-positive helper T cell	capillary endothelial cell	165
CD4-positive helper T cell	endothelial cell of artery	211
CD4-positive helper T cell	endothelial cell of lymphatic vessel	200
CD4-positive helper T cell	erythrocyte	49
CD4-positive helper T cell	fibroblast	293
CD4-positive helper T cell	innate lymphoid cell	148
CD4-positive helper T cell	macrophage	216
CD4-positive helper T cell	mature NK T cell	105
CD4-positive helper T cell	medullary thymic epithelial cell	221
CD4-positive helper T cell	monocyte	130
CD4-positive helper T cell	naive regulatory T cell	158
CD4-positive helper T cell	plasma cell	175
CD4-positive helper T cell	vascular associated smooth muscle cell	287
CD4-positive helper T cell	vein endothelial cell	252
CD8-positive, alpha-beta cytotoxic T cell	B cell	187
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	168
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	131
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	133
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	97
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	126
