source	target	count
B cell	CD4-positive helper T cell	171
B cell	CD8-positive, alpha-beta cytotoxic T cell	146
B cell	DN1 thymic pro-T cell	126
B cell	DN3 thymocyte	122
B cell	DN4 thymocyte	105
B cell	T follicular helper cell	112
B cell	capillary endothelial cell	150
B cell	endothelial cell of artery	192
B cell	endothelial cell of lymphatic vessel	182
B cell	erythrocyte	37
B cell	fibroblast	291
B cell	innate lymphoid cell	125
B cell	macrophage	201
B cell	mature NK T cell	88
B cell	medullary thymic epithelial cell	217
B cell	monocyte	120
B cell	myeloid dendritic cell	36
B cell	naive regulatory T cell	135
B cell	plasma cell	159
B cell	vascular associated smooth muscle cell	272
B cell	vein endothelial cell	236
CD4-positive helper T cell	B cell	186
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	141
CD4-positive helper T cell	DN1 thymic pro-T cell	133
CD4-positive helper T cell	DN3 thymocyte	130
CD4-positive helper T cell	DN4 thymocyte	110
CD4-positive helper T cell	T follicular helper cell	123
CD4-positive helper T cell	capillary endothelial cell	141
CD4-positive helper T cell	endothelial cell of artery	178
CD4-positive helper T cell	endothelial cell of lymphatic vessel	169
CD4-positive helper T cell	erythrocyte	28
CD4-positive helper T cell	fibroblast	260
CD4-positive helper T cell	innate lymphoid cell	129
CD4-positive helper T cell	macrophage	186
CD4-positive helper T cell	mature NK T cell	86
CD4-positive helper T cell	medullary thymic epithelial cell	202
CD4-positive helper T cell	monocyte	120
CD4-positive helper T cell	myeloid dendritic cell	41
CD4-positive helper T cell	naive regulatory T cell	136
CD4-positive helper T cell	plasma cell	148
CD4-positive helper T cell	vascular associated smooth muscle cell	247
CD4-positive helper T cell	vein endothelial cell	212
CD8-positive, alpha-beta cytotoxic T cell	B cell	160
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	142
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	119
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	115
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	100
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	107
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	119
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	154
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	142
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	29
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	222
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	114
CD8-positive, alpha-beta cytotoxic T cell	macrophage	165
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	75
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	178
CD8-positive, alpha-beta cytotoxic T cell	monocyte	110
CD8-positive, alpha-beta cytotoxic T cell	myeloid dendritic cell	39
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	123
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	125
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	209
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	182
DN1 thymic pro-T cell	B cell	142
DN1 thymic pro-T cell	CD4-positive helper T cell	118
DN1 thymic pro-T cell	CD8-positive, alpha-beta cytotoxic T cell	103
DN1 thymic pro-T cell	DN3 thymocyte	93
DN1 thymic pro-T cell	DN4 thymocyte	83
DN1 thymic pro-T cell	T follicular helper cell	89
DN1 thymic pro-T cell	capillary endothelial cell	99
DN1 thymic pro-T cell	endothelial cell of artery	128
DN1 thymic pro-T cell	endothelial cell of lymphatic vessel	124
DN1 thymic pro-T cell	erythrocyte	21
DN1 thymic pro-T cell	fibroblast	184
DN1 thymic pro-T cell	innate lymphoid cell	96
DN1 thymic pro-T cell	macrophage	139
DN1 thymic pro-T cell	mature NK T cell	66
DN1 thymic pro-T cell	medullary thymic epithelial cell	141
DN1 thymic pro-T cell	monocyte	94
DN1 thymic pro-T cell	myeloid dendritic cell	31
DN1 thymic pro-T cell	naive regulatory T cell	99
DN1 thymic pro-T cell	plasma cell	114
DN1 thymic pro-T cell	vascular associated smooth muscle cell	174
DN1 thymic pro-T cell	vein endothelial cell	152
DN3 thymocyte	B cell	138
DN3 thymocyte	CD4-positive helper T cell	113
DN3 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	102
DN3 thymocyte	DN1 thymic pro-T cell	93
DN3 thymocyte	DN4 thymocyte	79
DN3 thymocyte	T follicular helper cell	87
DN3 thymocyte	capillary endothelial cell	96
DN3 thymocyte	endothelial cell of artery	124
DN3 thymocyte	endothelial cell of lymphatic vessel	115
DN3 thymocyte	erythrocyte	22
DN3 thymocyte	fibroblast	177
DN3 thymocyte	innate lymphoid cell	90
DN3 thymocyte	macrophage	143
DN3 thymocyte	mature NK T cell	66
DN3 thymocyte	medullary thymic epithelial cell	141
