source	target	count
B cell	CD4-positive helper T cell	204
B cell	CD8-positive, alpha-beta cytotoxic T cell	164
B cell	DN1 thymic pro-T cell	142
B cell	DN3 thymocyte	151
B cell	DN4 thymocyte	106
B cell	T follicular helper cell	142
B cell	capillary endothelial cell	176
B cell	endothelial cell of artery	197
B cell	endothelial cell of lymphatic vessel	209
B cell	erythrocyte	47
B cell	fibroblast	283
B cell	innate lymphoid cell	150
B cell	macrophage	182
B cell	mature NK T cell	103
B cell	medullary thymic epithelial cell	208
B cell	monocyte	121
B cell	myeloid dendritic cell	37
B cell	naive regulatory T cell	155
B cell	plasma cell	163
B cell	vascular associated smooth muscle cell	274
B cell	vein endothelial cell	247
CD4-positive helper T cell	B cell	211
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	181
CD4-positive helper T cell	DN1 thymic pro-T cell	162
CD4-positive helper T cell	DN3 thymocyte	172
CD4-positive helper T cell	DN4 thymocyte	125
CD4-positive helper T cell	T follicular helper cell	152
CD4-positive helper T cell	capillary endothelial cell	205
CD4-positive helper T cell	endothelial cell of artery	232
CD4-positive helper T cell	endothelial cell of lymphatic vessel	233
CD4-positive helper T cell	erythrocyte	56
CD4-positive helper T cell	fibroblast	323
CD4-positive helper T cell	innate lymphoid cell	176
CD4-positive helper T cell	macrophage	191
CD4-positive helper T cell	mature NK T cell	110
CD4-positive helper T cell	medullary thymic epithelial cell	236
CD4-positive helper T cell	monocyte	131
CD4-positive helper T cell	myeloid dendritic cell	41
CD4-positive helper T cell	naive regulatory T cell	172
CD4-positive helper T cell	plasma cell	177
CD4-positive helper T cell	vascular associated smooth muscle cell	314
CD4-positive helper T cell	vein endothelial cell	282
CD8-positive, alpha-beta cytotoxic T cell	B cell	184
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	188
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	150
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	150
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	111
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	136
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	166
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	190
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	188
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	48
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	263
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	159
CD8-positive, alpha-beta cytotoxic T cell	macrophage	170
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	101
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	200
CD8-positive, alpha-beta cytotoxic T cell	monocyte	120
CD8-positive, alpha-beta cytotoxic T cell	myeloid dendritic cell	40
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	151
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	145
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	252
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	229
DN1 thymic pro-T cell	B cell	153
DN1 thymic pro-T cell	CD4-positive helper T cell	151
DN1 thymic pro-T cell	CD8-positive, alpha-beta cytotoxic T cell	131
DN1 thymic pro-T cell	DN3 thymocyte	122
DN1 thymic pro-T cell	DN4 thymocyte	90
DN1 thymic pro-T cell	T follicular helper cell	109
DN1 thymic pro-T cell	capillary endothelial cell	130
DN1 thymic pro-T cell	endothelial cell of artery	154
DN1 thymic pro-T cell	endothelial cell of lymphatic vessel	163
DN1 thymic pro-T cell	erythrocyte	42
DN1 thymic pro-T cell	fibroblast	218
DN1 thymic pro-T cell	innate lymphoid cell	123
DN1 thymic pro-T cell	macrophage	135
DN1 thymic pro-T cell	mature NK T cell	89
DN1 thymic pro-T cell	medullary thymic epithelial cell	156
DN1 thymic pro-T cell	monocyte	97
DN1 thymic pro-T cell	myeloid dendritic cell	34
DN1 thymic pro-T cell	naive regulatory T cell	123
DN1 thymic pro-T cell	plasma cell	132
DN1 thymic pro-T cell	vascular associated smooth muscle cell	209
DN1 thymic pro-T cell	vein endothelial cell	193
DN3 thymocyte	B cell	178
DN3 thymocyte	CD4-positive helper T cell	183
DN3 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	156
DN3 thymocyte	DN1 thymic pro-T cell	140
DN3 thymocyte	DN4 thymocyte	107
DN3 thymocyte	T follicular helper cell	129
DN3 thymocyte	capillary endothelial cell	155
DN3 thymocyte	endothelial cell of artery	177
DN3 thymocyte	endothelial cell of lymphatic vessel	179
DN3 thymocyte	erythrocyte	46
DN3 thymocyte	fibroblast	231
DN3 thymocyte	innate lymphoid cell	147
DN3 thymocyte	macrophage	163
DN3 thymocyte	mature NK T cell	103
DN3 thymocyte	medullary thymic epithelial cell	182
DN3 thymocyte	monocyte	114
DN3 thymocyte	myeloid dendritic cell	38
DN3 thymocyte	naive regulatory T cell	148
DN3 thymocyte	plasma cell	156
DN3 thymocyte	vascular associated smooth muscle cell	228
DN3 thymocyte	vein endothelial cell	213
DN4 thymocyte	B cell	126
DN4 thymocyte	CD4-positive helper T cell	129
DN4 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	111
DN4 thymocyte	DN1 thymic pro-T cell	105
DN4 thymocyte	DN3 thymocyte	101
DN4 thymocyte	T follicular helper cell	92
DN4 thymocyte	capillary endothelial cell	103
DN4 thymocyte	endothelial cell of artery	113
DN4 thymocyte	endothelial cell of lymphatic vessel	114
DN4 thymocyte	erythrocyte	32
DN4 thymocyte	fibroblast	151
DN4 thymocyte	innate lymphoid cell	108
DN4 thymocyte	macrophage	124
DN4 thymocyte	mature NK T cell	80
DN4 thymocyte	medullary thymic epithelial cell	118
DN4 thymocyte	monocyte	91
DN4 thymocyte	myeloid dendritic cell	33
DN4 thymocyte	naive regulatory T cell	103
DN4 thymocyte	plasma cell	107
DN4 thymocyte	vascular associated smooth muscle cell	144
DN4 thymocyte	vein endothelial cell	136
T follicular helper cell	B cell	158
T follicular helper cell	CD4-positive helper T cell	160
T follicular helper cell	CD8-positive, alpha-beta cytotoxic T cell	135
T follicular helper cell	DN1 thymic pro-T cell	130
T follicular helper cell	DN3 thymocyte	130
T follicular helper cell	DN4 thymocyte	92
T follicular helper cell	capillary endothelial cell	143
T follicular helper cell	endothelial cell of artery	163
T follicular helper cell	endothelial cell of lymphatic vessel	165
T follicular helper cell	erythrocyte	39
T follicular helper cell	fibroblast	224
T follicular helper cell	innate lymphoid cell	134
T follicular helper cell	macrophage	145
T follicular helper cell	mature NK T cell	92
T follicular helper cell	medullary thymic epithelial cell	169
T follicular helper cell	monocyte	105
T follicular helper cell	myeloid dendritic cell	35
T follicular helper cell	naive regulatory T cell	128
T follicular helper cell	plasma cell	128
T follicular helper cell	vascular associated smooth muscle cell	212
T follicular helper cell	vein endothelial cell	195
capillary endothelial cell	B cell	204
capillary endothelial cell	CD4-positive helper T cell	198
capillary endothelial cell	CD8-positive, alpha-beta cytotoxic T cell	170
capillary endothelial cell	DN1 thymic pro-T cell	149
capillary endothelial cell	DN3 thymocyte	160
capillary endothelial cell	DN4 thymocyte	112
capillary endothelial cell	T follicular helper cell	143
capillary endothelial cell	endothelial cell of artery	203
capillary endothelial cell	endothelial cell of lymphatic vessel	207
capillary endothelial cell	erythrocyte	55
capillary endothelial cell	fibroblast	286
capillary endothelial cell	innate lymphoid cell	155
capillary endothelial cell	macrophage	179
capillary endothelial cell	mature NK T cell	109
capillary endothelial cell	medullary thymic epithelial cell	212
capillary endothelial cell	monocyte	124
capillary endothelial cell	myeloid dendritic cell	28
capillary endothelial cell	naive regulatory T cell	155
capillary endothelial cell	plasma cell	154
capillary endothelial cell	vascular associated smooth muscle cell	282
capillary endothelial cell	vein endothelial cell	244
endothelial cell of artery	B cell	233
endothelial cell of artery	CD4-positive helper T cell	227
endothelial cell of artery	CD8-positive, alpha-beta cytotoxic T cell	194
endothelial cell of artery	DN1 thymic pro-T cell	172
endothelial cell of artery	DN3 thymocyte	182
endothelial cell of artery	DN4 thymocyte	128
endothelial cell of artery	T follicular helper cell	166
endothelial cell of artery	capillary endothelial cell	209
