source	target	count
B cell	CD4-positive helper T cell	220
B cell	CD8-positive, alpha-beta cytotoxic T cell	183
B cell	DN1 thymic pro-T cell	156
B cell	DN3 thymocyte	174
B cell	DN4 thymocyte	113
B cell	T follicular helper cell	152
B cell	capillary endothelial cell	212
B cell	endothelial cell of artery	265
B cell	endothelial cell of lymphatic vessel	244
B cell	erythrocyte	54
B cell	fibroblast	339
B cell	innate lymphoid cell	178
B cell	macrophage	230
B cell	mature NK T cell	117
B cell	medullary thymic epithelial cell	247
B cell	monocyte	136
B cell	naive regulatory T cell	171
B cell	plasma cell	187
B cell	vascular associated smooth muscle cell	309
B cell	vein endothelial cell	302
CD4-positive helper T cell	B cell	229
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	184
CD4-positive helper T cell	DN1 thymic pro-T cell	165
CD4-positive helper T cell	DN3 thymocyte	186
CD4-positive helper T cell	DN4 thymocyte	126
CD4-positive helper T cell	T follicular helper cell	159
CD4-positive helper T cell	capillary endothelial cell	211
CD4-positive helper T cell	endothelial cell of artery	274
CD4-positive helper T cell	endothelial cell of lymphatic vessel	239
CD4-positive helper T cell	erythrocyte	58
CD4-positive helper T cell	fibroblast	353
CD4-positive helper T cell	innate lymphoid cell	192
CD4-positive helper T cell	macrophage	222
CD4-positive helper T cell	mature NK T cell	118
CD4-positive helper T cell	medullary thymic epithelial cell	251
CD4-positive helper T cell	monocyte	141
CD4-positive helper T cell	naive regulatory T cell	175
CD4-positive helper T cell	plasma cell	186
CD4-positive helper T cell	vascular associated smooth muscle cell	319
CD4-positive helper T cell	vein endothelial cell	301
CD8-positive, alpha-beta cytotoxic T cell	B cell	199
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	191
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	150
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	167
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	113
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	142
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	172
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	218
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	191
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	47
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	278
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	171
CD8-positive, alpha-beta cytotoxic T cell	macrophage	196
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	109
