source	target	count
B cell	CD4-positive helper T cell	235
B cell	CD8-positive, alpha-beta cytotoxic T cell	191
B cell	DN1 thymic pro-T cell	163
B cell	DN3 thymocyte	178
B cell	DN4 thymocyte	123
B cell	T follicular helper cell	171
B cell	capillary endothelial cell	191
B cell	endothelial cell of artery	256
B cell	endothelial cell of lymphatic vessel	231
B cell	erythrocyte	51
B cell	fibroblast	341
B cell	innate lymphoid cell	187
B cell	macrophage	231
B cell	mature NK T cell	119
B cell	medullary thymic epithelial cell	249
B cell	monocyte	140
B cell	myeloid dendritic cell	37
B cell	naive regulatory T cell	180
B cell	plasma cell	183
B cell	vascular associated smooth muscle cell	309
B cell	vein endothelial cell	299
CD4-positive helper T cell	B cell	240
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	195
CD4-positive helper T cell	DN1 thymic pro-T cell	180
CD4-positive helper T cell	DN3 thymocyte	196
CD4-positive helper T cell	DN4 thymocyte	137
CD4-positive helper T cell	T follicular helper cell	177
CD4-positive helper T cell	capillary endothelial cell	191
CD4-positive helper T cell	endothelial cell of artery	275
CD4-positive helper T cell	endothelial cell of lymphatic vessel	241
CD4-positive helper T cell	erythrocyte	55
CD4-positive helper T cell	fibroblast	363
CD4-positive helper T cell	innate lymphoid cell	210
CD4-positive helper T cell	macrophage	231
CD4-positive helper T cell	mature NK T cell	122
CD4-positive helper T cell	medullary thymic epithelial cell	260
CD4-positive helper T cell	monocyte	151
CD4-positive helper T cell	myeloid dendritic cell	41
CD4-positive helper T cell	naive regulatory T cell	184
CD4-positive helper T cell	plasma cell	193
CD4-positive helper T cell	vascular associated smooth muscle cell	327
CD4-positive helper T cell	vein endothelial cell	308
CD8-positive, alpha-beta cytotoxic T cell	B cell	199
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	199
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	154
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	162
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	117
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	149
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	147
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	207
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	180
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	43
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	270
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	178
CD8-positive, alpha-beta cytotoxic T cell	macrophage	194
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	110
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	204
CD8-positive, alpha-beta cytotoxic T cell	monocyte	130
CD8-positive, alpha-beta cytotoxic T cell	myeloid dendritic cell	39
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	156
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	150
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	241
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	232
DN1 thymic pro-T cell	B cell	176
DN1 thymic pro-T cell	CD4-positive helper T cell	175
DN1 thymic pro-T cell	CD8-positive, alpha-beta cytotoxic T cell	141
DN1 thymic pro-T cell	DN3 thymocyte	142
DN1 thymic pro-T cell	DN4 thymocyte	99
DN1 thymic pro-T cell	T follicular helper cell	126
DN1 thymic pro-T cell	capillary endothelial cell	127
DN1 thymic pro-T cell	endothelial cell of artery	188
DN1 thymic pro-T cell	endothelial cell of lymphatic vessel	170
DN1 thymic pro-T cell	erythrocyte	41
DN1 thymic pro-T cell	fibroblast	245
