source	target	count
B cell	CD4-positive helper T cell	199
B cell	CD8-positive, alpha-beta cytotoxic T cell	160
B cell	DN1 thymic pro-T cell	135
B cell	DN3 thymocyte	148
B cell	DN4 thymocyte	99
B cell	T follicular helper cell	140
B cell	capillary endothelial cell	137
B cell	endothelial cell of artery	198
B cell	endothelial cell of lymphatic vessel	197
B cell	erythrocyte	44
B cell	fibroblast	283
B cell	innate lymphoid cell	143
B cell	macrophage	179
B cell	mature NK T cell	102
B cell	medullary thymic epithelial cell	218
B cell	monocyte	95
B cell	naive regulatory T cell	150
B cell	plasma cell	154
B cell	vascular associated smooth muscle cell	268
B cell	vein endothelial cell	234
CD4-positive helper T cell	B cell	218
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	177
CD4-positive helper T cell	DN1 thymic pro-T cell	155
CD4-positive helper T cell	DN3 thymocyte	174
CD4-positive helper T cell	DN4 thymocyte	117
CD4-positive helper T cell	T follicular helper cell	159
CD4-positive helper T cell	capillary endothelial cell	162
CD4-positive helper T cell	endothelial cell of artery	222
CD4-positive helper T cell	endothelial cell of lymphatic vessel	214
CD4-positive helper T cell	erythrocyte	53
CD4-positive helper T cell	fibroblast	312
CD4-positive helper T cell	innate lymphoid cell	167
CD4-positive helper T cell	macrophage	190
CD4-positive helper T cell	mature NK T cell	112
CD4-positive helper T cell	medullary thymic epithelial cell	245
CD4-positive helper T cell	monocyte	112
CD4-positive helper T cell	naive regulatory T cell	168
CD4-positive helper T cell	plasma cell	162
CD4-positive helper T cell	vascular associated smooth muscle cell	304
CD4-positive helper T cell	vein endothelial cell	262
CD8-positive, alpha-beta cytotoxic T cell	B cell	186
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	186
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	138
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	152
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	101
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	137
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	131
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	177
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	167
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	43
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	248
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	149
CD8-positive, alpha-beta cytotoxic T cell	macrophage	168
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	100
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	198
CD8-positive, alpha-beta cytotoxic T cell	monocyte	102
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	147
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	134
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	239
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	207
DN1 thymic pro-T cell	B cell	163
DN1 thymic pro-T cell	CD4-positive helper T cell	160
DN1 thymic pro-T cell	CD8-positive, alpha-beta cytotoxic T cell	131
DN1 thymic pro-T cell	DN3 thymocyte	130
DN1 thymic pro-T cell	DN4 thymocyte	86
DN1 thymic pro-T cell	T follicular helper cell	117
DN1 thymic pro-T cell	capillary endothelial cell	109
DN1 thymic pro-T cell	endothelial cell of artery	157
DN1 thymic pro-T cell	endothelial cell of lymphatic vessel	150
DN1 thymic pro-T cell	erythrocyte	39
DN1 thymic pro-T cell	fibroblast	218
DN1 thymic pro-T cell	innate lymphoid cell	126
DN1 thymic pro-T cell	macrophage	141
DN1 thymic pro-T cell	mature NK T cell	89
DN1 thymic pro-T cell	medullary thymic epithelial cell	164
DN1 thymic pro-T cell	monocyte	89
DN1 thymic pro-T cell	naive regulatory T cell	123
DN1 thymic pro-T cell	plasma cell	126
DN1 thymic pro-T cell	vascular associated smooth muscle cell	211
DN1 thymic pro-T cell	vein endothelial cell	184
DN3 thymocyte	B cell	178
DN3 thymocyte	CD4-positive helper T cell	175
DN3 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	145
DN3 thymocyte	DN1 thymic pro-T cell	126
DN3 thymocyte	DN4 thymocyte	98
DN3 thymocyte	T follicular helper cell	128
DN3 thymocyte	capillary endothelial cell	122
DN3 thymocyte	endothelial cell of artery	164
DN3 thymocyte	endothelial cell of lymphatic vessel	159
DN3 thymocyte	erythrocyte	41
DN3 thymocyte	fibroblast	221
DN3 thymocyte	innate lymphoid cell	139
DN3 thymocyte	macrophage	162
DN3 thymocyte	mature NK T cell	97
DN3 thymocyte	medullary thymic epithelial cell	178
DN3 thymocyte	monocyte	95
DN3 thymocyte	naive regulatory T cell	141
DN3 thymocyte	plasma cell	138
DN3 thymocyte	vascular associated smooth muscle cell	216
DN3 thymocyte	vein endothelial cell	196
DN4 thymocyte	B cell	120
DN4 thymocyte	CD4-positive helper T cell	122
DN4 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	100
DN4 thymocyte	DN1 thymic pro-T cell	93
DN4 thymocyte	DN3 thymocyte	98
DN4 thymocyte	T follicular helper cell	88
DN4 thymocyte	capillary endothelial cell	78
DN4 thymocyte	endothelial cell of artery	101
DN4 thymocyte	endothelial cell of lymphatic vessel	99
DN4 thymocyte	erythrocyte	23
DN4 thymocyte	fibroblast	141
DN4 thymocyte	innate lymphoid cell	98
DN4 thymocyte	macrophage	118
DN4 thymocyte	mature NK T cell	73
DN4 thymocyte	medullary thymic epithelial cell	114
DN4 thymocyte	monocyte	72
DN4 thymocyte	naive regulatory T cell	93
DN4 thymocyte	plasma cell	94
DN4 thymocyte	vascular associated smooth muscle cell	134
DN4 thymocyte	vein endothelial cell	121
T follicular helper cell	B cell	161
T follicular helper cell	CD4-positive helper T cell	160
T follicular helper cell	CD8-positive, alpha-beta cytotoxic T cell	133
T follicular helper cell	DN1 thymic pro-T cell	118
T follicular helper cell	DN3 thymocyte	135
T follicular helper cell	DN4 thymocyte	88
T follicular helper cell	capillary endothelial cell	112
T follicular helper cell	endothelial cell of artery	153
T follicular helper cell	endothelial cell of lymphatic vessel	151
T follicular helper cell	erythrocyte	36
T follicular helper cell	fibroblast	218
T follicular helper cell	innate lymphoid cell	129
T follicular helper cell	macrophage	145
T follicular helper cell	mature NK T cell	92
T follicular helper cell	medullary thymic epithelial cell	171
T follicular helper cell	monocyte	86
T follicular helper cell	naive regulatory T cell	126
T follicular helper cell	plasma cell	118
T follicular helper cell	vascular associated smooth muscle cell	212
T follicular helper cell	vein endothelial cell	189
capillary endothelial cell	B cell	169
capillary endothelial cell	CD4-positive helper T cell	161
capillary endothelial cell	CD8-positive, alpha-beta cytotoxic T cell	135
capillary endothelial cell	DN1 thymic pro-T cell	115
capillary endothelial cell	DN3 thymocyte	134
capillary endothelial cell	DN4 thymocyte	81
capillary endothelial cell	T follicular helper cell	115
capillary endothelial cell	endothelial cell of artery	170
capillary endothelial cell	endothelial cell of lymphatic vessel	164
capillary endothelial cell	erythrocyte	46
capillary endothelial cell	fibroblast	246
capillary endothelial cell	innate lymphoid cell	121
capillary endothelial cell	macrophage	155
capillary endothelial cell	mature NK T cell	91
capillary endothelial cell	medullary thymic epithelial cell	188
capillary endothelial cell	monocyte	87
capillary endothelial cell	naive regulatory T cell	127
capillary endothelial cell	plasma cell	120
capillary endothelial cell	vascular associated smooth muscle cell	238
capillary endothelial cell	vein endothelial cell	208
endothelial cell of artery	B cell	226
endothelial cell of artery	CD4-positive helper T cell	215
endothelial cell of artery	CD8-positive, alpha-beta cytotoxic T cell	180
endothelial cell of artery	DN1 thymic pro-T cell	153
endothelial cell of artery	DN3 thymocyte	176
endothelial cell of artery	DN4 thymocyte	112
endothelial cell of artery	T follicular helper cell	156
endothelial cell of artery	capillary endothelial cell	151
endothelial cell of artery	endothelial cell of lymphatic vessel	212
endothelial cell of artery	erythrocyte	55
endothelial cell of artery	fibroblast	309
endothelial cell of artery	innate lymphoid cell	156
endothelial cell of artery	macrophage	194
endothelial cell of artery	mature NK T cell	114
endothelial cell of artery	medullary thymic epithelial cell	238
endothelial cell of artery	monocyte	109
endothelial cell of artery	naive regulatory T cell	167
endothelial cell of artery	plasma cell	157
endothelial cell of artery	vascular associated smooth muscle cell	302
endothelial cell of artery	vein endothelial cell	257
endothelial cell of lymphatic vessel	B cell	212
endothelial cell of lymphatic vessel	CD4-positive helper T cell	200
endothelial cell of lymphatic vessel	CD8-positive, alpha-beta cytotoxic T cell	168
endothelial cell of lymphatic vessel	DN1 thymic pro-T cell	139
endothelial cell of lymphatic vessel	DN3 thymocyte	162
endothelial cell of lymphatic vessel	DN4 thymocyte	106
endothelial cell of lymphatic vessel	T follicular helper cell	140
endothelial cell of lymphatic vessel	capillary endothelial cell	149
endothelial cell of lymphatic vessel	endothelial cell of artery	208
endothelial cell of lymphatic vessel	erythrocyte	53
endothelial cell of lymphatic vessel	fibroblast	309
endothelial cell of lymphatic vessel	innate lymphoid cell	142
endothelial cell of lymphatic vessel	macrophage	192
endothelial cell of lymphatic vessel	mature NK T cell	107
endothelial cell of lymphatic vessel	medullary thymic epithelial cell	231
endothelial cell of lymphatic vessel	monocyte	108
endothelial cell of lymphatic vessel	naive regulatory T cell	157
endothelial cell of lymphatic vessel	plasma cell	142
endothelial cell of lymphatic vessel	vascular associated smooth muscle cell	302
endothelial cell of lymphatic vessel	vein endothelial cell	260
erythrocyte	B cell	40
erythrocyte	CD4-positive helper T cell	34
erythrocyte	CD8-positive, alpha-beta cytotoxic T cell	30
erythrocyte	DN1 thymic pro-T cell	28
erythrocyte	DN3 thymocyte	25
erythrocyte	DN4 thymocyte	19
erythrocyte	T follicular helper cell	24
erythrocyte	capillary endothelial cell	26
erythrocyte	endothelial cell of artery	29
erythrocyte	endothelial cell of lymphatic vessel	39
erythrocyte	fibroblast	41
erythrocyte	innate lymphoid cell	24
erythrocyte	macrophage	40
