source	target	count
B cell	CD4-positive helper T cell	228
B cell	CD8-positive, alpha-beta cytotoxic T cell	177
B cell	DN1 thymic pro-T cell	161
B cell	DN3 thymocyte	155
B cell	DN4 thymocyte	111
B cell	T follicular helper cell	160
B cell	capillary endothelial cell	186
B cell	endothelial cell of artery	208
B cell	endothelial cell of lymphatic vessel	210
B cell	erythrocyte	56
B cell	fibroblast	318
B cell	innate lymphoid cell	165
B cell	macrophage	226
B cell	mature NK T cell	108
B cell	medullary thymic epithelial cell	237
B cell	monocyte	126
B cell	myeloid dendritic cell	37
B cell	naive regulatory T cell	171
B cell	plasma cell	187
B cell	vascular associated smooth muscle cell	308
B cell	vein endothelial cell	259
CD4-positive helper T cell	B cell	235
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	177
CD4-positive helper T cell	DN1 thymic pro-T cell	168
CD4-positive helper T cell	DN3 thymocyte	168
CD4-positive helper T cell	DN4 thymocyte	117
CD4-positive helper T cell	T follicular helper cell	156
CD4-positive helper T cell	capillary endothelial cell	174
CD4-positive helper T cell	endothelial cell of artery	200
CD4-positive helper T cell	endothelial cell of lymphatic vessel	197
CD4-positive helper T cell	erythrocyte	55
CD4-positive helper T cell	fibroblast	298
CD4-positive helper T cell	innate lymphoid cell	177
CD4-positive helper T cell	macrophage	213
CD4-positive helper T cell	mature NK T cell	107
CD4-positive helper T cell	medullary thymic epithelial cell	225
CD4-positive helper T cell	monocyte	131
CD4-positive helper T cell	myeloid dendritic cell	41
CD4-positive helper T cell	naive regulatory T cell	166
CD4-positive helper T cell	plasma cell	183
CD4-positive helper T cell	vascular associated smooth muscle cell	293
CD4-positive helper T cell	vein endothelial cell	238
CD8-positive, alpha-beta cytotoxic T cell	B cell	195
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	181
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	148
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	143
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	102
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	135
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	140
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	162
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	158
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	46
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	236
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	155
CD8-positive, alpha-beta cytotoxic T cell	macrophage	179
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	98
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	187
CD8-positive, alpha-beta cytotoxic T cell	monocyte	114
CD8-positive, alpha-beta cytotoxic T cell	myeloid dendritic cell	38
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	146
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	145
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	229
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	191
DN1 thymic pro-T cell	B cell	178
DN1 thymic pro-T cell	CD4-positive helper T cell	161
DN1 thymic pro-T cell	CD8-positive, alpha-beta cytotoxic T cell	138
DN1 thymic pro-T cell	DN3 thymocyte	129
DN1 thymic pro-T cell	DN4 thymocyte	91
DN1 thymic pro-T cell	T follicular helper cell	117
DN1 thymic pro-T cell	capillary endothelial cell	126
DN1 thymic pro-T cell	endothelial cell of artery	150
DN1 thymic pro-T cell	endothelial cell of lymphatic vessel	153
DN1 thymic pro-T cell	erythrocyte	45
DN1 thymic pro-T cell	fibroblast	227
DN1 thymic pro-T cell	innate lymphoid cell	135
DN1 thymic pro-T cell	macrophage	160
DN1 thymic pro-T cell	mature NK T cell	91
DN1 thymic pro-T cell	medullary thymic epithelial cell	167
DN1 thymic pro-T cell	monocyte	106
DN1 thymic pro-T cell	myeloid dendritic cell	36
DN1 thymic pro-T cell	naive regulatory T cell	126
DN1 thymic pro-T cell	plasma cell	140
DN1 thymic pro-T cell	vascular associated smooth muscle cell	221
DN1 thymic pro-T cell	vein endothelial cell	181
DN3 thymocyte	B cell	186
DN3 thymocyte	CD4-positive helper T cell	169
DN3 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	144
DN3 thymocyte	DN1 thymic pro-T cell	131
DN3 thymocyte	DN4 thymocyte	96
DN3 thymocyte	T follicular helper cell	126
DN3 thymocyte	capillary endothelial cell	138
DN3 thymocyte	endothelial cell of artery	152
DN3 thymocyte	endothelial cell of lymphatic vessel	155
DN3 thymocyte	erythrocyte	44
DN3 thymocyte	fibroblast	212
DN3 thymocyte	innate lymphoid cell	137
DN3 thymocyte	macrophage	175
DN3 thymocyte	mature NK T cell	92
DN3 thymocyte	medullary thymic epithelial cell	169
DN3 thymocyte	monocyte	115
DN3 thymocyte	myeloid dendritic cell	38
DN3 thymocyte	naive regulatory T cell	138
DN3 thymocyte	plasma cell	149
DN3 thymocyte	vascular associated smooth muscle cell	208
DN3 thymocyte	vein endothelial cell	184
DN4 thymocyte	B cell	135
DN4 thymocyte	CD4-positive helper T cell	125
DN4 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	106
DN4 thymocyte	DN1 thymic pro-T cell	104
DN4 thymocyte	DN3 thymocyte	97
DN4 thymocyte	T follicular helper cell	93
DN4 thymocyte	capillary endothelial cell	93
DN4 thymocyte	endothelial cell of artery	98
DN4 thymocyte	endothelial cell of lymphatic vessel	100
DN4 thymocyte	erythrocyte	29
DN4 thymocyte	fibroblast	144
DN4 thymocyte	innate lymphoid cell	107
DN4 thymocyte	macrophage	130
DN4 thymocyte	mature NK T cell	77
DN4 thymocyte	medullary thymic epithelial cell	113
DN4 thymocyte	monocyte	88
DN4 thymocyte	myeloid dendritic cell	32
DN4 thymocyte	naive regulatory T cell	98
DN4 thymocyte	plasma cell	105
DN4 thymocyte	vascular associated smooth muscle cell	136
DN4 thymocyte	vein endothelial cell	119
T follicular helper cell	B cell	178
T follicular helper cell	CD4-positive helper T cell	160
T follicular helper cell	CD8-positive, alpha-beta cytotoxic T cell	135
T follicular helper cell	DN1 thymic pro-T cell	133
T follicular helper cell	DN3 thymocyte	131
T follicular helper cell	DN4 thymocyte	91
T follicular helper cell	capillary endothelial cell	129
T follicular helper cell	endothelial cell of artery	142
T follicular helper cell	endothelial cell of lymphatic vessel	146
T follicular helper cell	erythrocyte	37
T follicular helper cell	fibroblast	217
T follicular helper cell	innate lymphoid cell	140
T follicular helper cell	macrophage	160
T follicular helper cell	mature NK T cell	93
T follicular helper cell	medullary thymic epithelial cell	165
T follicular helper cell	monocyte	101
T follicular helper cell	myeloid dendritic cell	33
T follicular helper cell	naive regulatory T cell	128
T follicular helper cell	plasma cell	135
T follicular helper cell	vascular associated smooth muscle cell	210
T follicular helper cell	vein endothelial cell	176
capillary endothelial cell	B cell	193
capillary endothelial cell	CD4-positive helper T cell	170
capillary endothelial cell	CD8-positive, alpha-beta cytotoxic T cell	143
capillary endothelial cell	DN1 thymic pro-T cell	129
capillary endothelial cell	DN3 thymocyte	134
capillary endothelial cell	DN4 thymocyte	93
capillary endothelial cell	T follicular helper cell	128
capillary endothelial cell	endothelial cell of artery	158
capillary endothelial cell	endothelial cell of lymphatic vessel	158
capillary endothelial cell	erythrocyte	48
capillary endothelial cell	fibroblast	244
capillary endothelial cell	innate lymphoid cell	130
capillary endothelial cell	macrophage	181
capillary endothelial cell	mature NK T cell	95
capillary endothelial cell	medullary thymic epithelial cell	178
capillary endothelial cell	monocyte	115
capillary endothelial cell	myeloid dendritic cell	24
capillary endothelial cell	naive regulatory T cell	134
capillary endothelial cell	plasma cell	138
capillary endothelial cell	vascular associated smooth muscle cell	237
capillary endothelial cell	vein endothelial cell	189
endothelial cell of artery	B cell	233
endothelial cell of artery	CD4-positive helper T cell	205
endothelial cell of artery	CD8-positive, alpha-beta cytotoxic T cell	169
endothelial cell of artery	DN1 thymic pro-T cell	153
endothelial cell of artery	DN3 thymocyte	154
endothelial cell of artery	DN4 thymocyte	105
endothelial cell of artery	T follicular helper cell	148
endothelial cell of artery	capillary endothelial cell	172
endothelial cell of artery	endothelial cell of lymphatic vessel	191
endothelial cell of artery	erythrocyte	58
endothelial cell of artery	fibroblast	286
endothelial cell of artery	innate lymphoid cell	155
endothelial cell of artery	macrophage	207
endothelial cell of artery	mature NK T cell	106
endothelial cell of artery	medullary thymic epithelial cell	221
endothelial cell of artery	monocyte	124
endothelial cell of artery	myeloid dendritic cell	29
endothelial cell of artery	naive regulatory T cell	158
endothelial cell of artery	plasma cell	161
endothelial cell of artery	vascular associated smooth muscle cell	282
endothelial cell of artery	vein endothelial cell	230
endothelial cell of lymphatic vessel	B cell	245
