source	target	count
B cell	CD4-positive helper T cell	181
B cell	CD8-positive, alpha-beta cytotoxic T cell	149
B cell	DN1 thymic pro-T cell	133
B cell	DN3 thymocyte	134
B cell	DN4 thymocyte	104
B cell	T follicular helper cell	130
B cell	capillary endothelial cell	160
B cell	endothelial cell of artery	208
B cell	endothelial cell of lymphatic vessel	207
B cell	erythrocyte	52
B cell	fibroblast	308
B cell	innate lymphoid cell	133
B cell	macrophage	204
B cell	mature NK T cell	103
B cell	medullary thymic epithelial cell	226
B cell	monocyte	125
B cell	naive regulatory T cell	147
B cell	plasma cell	161
B cell	vascular associated smooth muscle cell	291
B cell	vein endothelial cell	236
CD4-positive helper T cell	B cell	206
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	150
CD4-positive helper T cell	DN1 thymic pro-T cell	141
CD4-positive helper T cell	DN3 thymocyte	142
CD4-positive helper T cell	DN4 thymocyte	114
CD4-positive helper T cell	T follicular helper cell	128
CD4-positive helper T cell	capillary endothelial cell	164
CD4-positive helper T cell	endothelial cell of artery	206
CD4-positive helper T cell	endothelial cell of lymphatic vessel	198
CD4-positive helper T cell	erythrocyte	53
CD4-positive helper T cell	fibroblast	297
CD4-positive helper T cell	innate lymphoid cell	146
CD4-positive helper T cell	macrophage	191
CD4-positive helper T cell	mature NK T cell	105
CD4-positive helper T cell	medullary thymic epithelial cell	221
CD4-positive helper T cell	monocyte	129
CD4-positive helper T cell	naive regulatory T cell	153
CD4-positive helper T cell	plasma cell	160
CD4-positive helper T cell	vascular associated smooth muscle cell	282
CD4-positive helper T cell	vein endothelial cell	229
CD8-positive, alpha-beta cytotoxic T cell	B cell	173
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	156
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	123
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	121
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	94
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	112
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	131
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	171
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	163
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	44
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	249
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	122
CD8-positive, alpha-beta cytotoxic T cell	macrophage	165
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	90
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	184
CD8-positive, alpha-beta cytotoxic T cell	monocyte	115
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	129
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	134
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	230
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	188
