source	target	count
B cell	CD4-positive helper T cell	210
B cell	CD8-positive, alpha-beta cytotoxic T cell	171
B cell	DN1 thymic pro-T cell	137
B cell	DN3 thymocyte	152
B cell	DN4 thymocyte	111
B cell	T follicular helper cell	151
B cell	capillary endothelial cell	127
B cell	endothelial cell of artery	180
B cell	endothelial cell of lymphatic vessel	173
B cell	erythrocyte	26
B cell	fibroblast	288
B cell	innate lymphoid cell	156
B cell	macrophage	201
B cell	mature NK T cell	96
B cell	medullary thymic epithelial cell	225
B cell	monocyte	99
B cell	myeloid dendritic cell	34
B cell	naive regulatory T cell	163
B cell	plasma cell	150
B cell	vascular associated smooth muscle cell	266
B cell	vein endothelial cell	232
CD4-positive helper T cell	B cell	204
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	183
CD4-positive helper T cell	DN1 thymic pro-T cell	152
CD4-positive helper T cell	DN3 thymocyte	173
CD4-positive helper T cell	DN4 thymocyte	131
CD4-positive helper T cell	T follicular helper cell	168
CD4-positive helper T cell	capillary endothelial cell	146
CD4-positive helper T cell	endothelial cell of artery	204
CD4-positive helper T cell	endothelial cell of lymphatic vessel	191
CD4-positive helper T cell	erythrocyte	28
CD4-positive helper T cell	fibroblast	328
CD4-positive helper T cell	innate lymphoid cell	172
CD4-positive helper T cell	macrophage	207
CD4-positive helper T cell	mature NK T cell	106
CD4-positive helper T cell	medullary thymic epithelial cell	244
CD4-positive helper T cell	monocyte	111
CD4-positive helper T cell	myeloid dendritic cell	41
CD4-positive helper T cell	naive regulatory T cell	176
CD4-positive helper T cell	plasma cell	169
CD4-positive helper T cell	vascular associated smooth muscle cell	305
CD4-positive helper T cell	vein endothelial cell	267
CD8-positive, alpha-beta cytotoxic T cell	B cell	175
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	194
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	138
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	152
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	116
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	146
