source	target	count
B cell	CD4-positive helper T cell	191
B cell	CD8-positive, alpha-beta cytotoxic T cell	162
B cell	DN1 thymic pro-T cell	143
B cell	DN3 thymocyte	143
B cell	DN4 thymocyte	99
B cell	T follicular helper cell	134
B cell	capillary endothelial cell	173
B cell	endothelial cell of artery	207
B cell	endothelial cell of lymphatic vessel	212
B cell	erythrocyte	51
B cell	fibroblast	285
B cell	innate lymphoid cell	152
B cell	macrophage	174
B cell	mature NK T cell	95
B cell	medullary thymic epithelial cell	210
B cell	monocyte	109
B cell	naive regulatory T cell	147
B cell	plasma cell	162
B cell	vascular associated smooth muscle cell	276
B cell	vein endothelial cell	263
CD4-positive helper T cell	B cell	212
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	179
CD4-positive helper T cell	DN1 thymic pro-T cell	166
CD4-positive helper T cell	DN3 thymocyte	171
CD4-positive helper T cell	DN4 thymocyte	126
CD4-positive helper T cell	T follicular helper cell	158
CD4-positive helper T cell	capillary endothelial cell	208
CD4-positive helper T cell	endothelial cell of artery	244
CD4-positive helper T cell	endothelial cell of lymphatic vessel	239
CD4-positive helper T cell	erythrocyte	57
CD4-positive helper T cell	fibroblast	332
CD4-positive helper T cell	innate lymphoid cell	181
CD4-positive helper T cell	macrophage	186
CD4-positive helper T cell	mature NK T cell	107
CD4-positive helper T cell	medullary thymic epithelial cell	243
CD4-positive helper T cell	monocyte	123
CD4-positive helper T cell	naive regulatory T cell	171
CD4-positive helper T cell	plasma cell	185
CD4-positive helper T cell	vascular associated smooth muscle cell	318
CD4-positive helper T cell	vein endothelial cell	297
CD8-positive, alpha-beta cytotoxic T cell	B cell	184
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	182
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	147
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	148
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	110
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	135
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	167
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	199
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	190
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	48
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	263
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	164
