source	target	count
B cell	CD4-positive helper T cell	233
B cell	CD8-positive, alpha-beta cytotoxic T cell	184
B cell	DN1 thymic pro-T cell	165
B cell	DN3 thymocyte	167
B cell	DN4 thymocyte	115
B cell	T follicular helper cell	155
B cell	capillary endothelial cell	220
B cell	endothelial cell of artery	266
B cell	endothelial cell of lymphatic vessel	252
B cell	erythrocyte	56
B cell	fibroblast	357
B cell	innate lymphoid cell	187
B cell	macrophage	239
B cell	mature NK T cell	115
B cell	medullary thymic epithelial cell	254
B cell	monocyte	141
B cell	myeloid dendritic cell	37
B cell	naive regulatory T cell	174
B cell	plasma cell	196
B cell	vascular associated smooth muscle cell	325
B cell	vein endothelial cell	317
CD4-positive helper T cell	B cell	227
CD4-positive helper T cell	CD8-positive, alpha-beta cytotoxic T cell	173
CD4-positive helper T cell	DN1 thymic pro-T cell	167
CD4-positive helper T cell	DN3 thymocyte	170
CD4-positive helper T cell	DN4 thymocyte	120
CD4-positive helper T cell	T follicular helper cell	152
CD4-positive helper T cell	capillary endothelial cell	212
CD4-positive helper T cell	endothelial cell of artery	266
CD4-positive helper T cell	endothelial cell of lymphatic vessel	240
CD4-positive helper T cell	erythrocyte	60
CD4-positive helper T cell	fibroblast	356
CD4-positive helper T cell	innate lymphoid cell	191
CD4-positive helper T cell	macrophage	223
CD4-positive helper T cell	mature NK T cell	109
CD4-positive helper T cell	medullary thymic epithelial cell	244
CD4-positive helper T cell	monocyte	143
CD4-positive helper T cell	myeloid dendritic cell	41
CD4-positive helper T cell	naive regulatory T cell	167
CD4-positive helper T cell	plasma cell	188
CD4-positive helper T cell	vascular associated smooth muscle cell	321
CD4-positive helper T cell	vein endothelial cell	303
CD8-positive, alpha-beta cytotoxic T cell	B cell	201
CD8-positive, alpha-beta cytotoxic T cell	CD4-positive helper T cell	193
CD8-positive, alpha-beta cytotoxic T cell	DN1 thymic pro-T cell	157
CD8-positive, alpha-beta cytotoxic T cell	DN3 thymocyte	157
CD8-positive, alpha-beta cytotoxic T cell	DN4 thymocyte	111
CD8-positive, alpha-beta cytotoxic T cell	T follicular helper cell	138
CD8-positive, alpha-beta cytotoxic T cell	capillary endothelial cell	172
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of artery	211
CD8-positive, alpha-beta cytotoxic T cell	endothelial cell of lymphatic vessel	191
CD8-positive, alpha-beta cytotoxic T cell	erythrocyte	48
CD8-positive, alpha-beta cytotoxic T cell	fibroblast	277
CD8-positive, alpha-beta cytotoxic T cell	innate lymphoid cell	175
CD8-positive, alpha-beta cytotoxic T cell	macrophage	198
CD8-positive, alpha-beta cytotoxic T cell	mature NK T cell	105
CD8-positive, alpha-beta cytotoxic T cell	medullary thymic epithelial cell	204
CD8-positive, alpha-beta cytotoxic T cell	monocyte	130
CD8-positive, alpha-beta cytotoxic T cell	myeloid dendritic cell	40
CD8-positive, alpha-beta cytotoxic T cell	naive regulatory T cell	152
CD8-positive, alpha-beta cytotoxic T cell	plasma cell	158
CD8-positive, alpha-beta cytotoxic T cell	vascular associated smooth muscle cell	251
CD8-positive, alpha-beta cytotoxic T cell	vein endothelial cell	243
DN1 thymic pro-T cell	B cell	177
DN1 thymic pro-T cell	CD4-positive helper T cell	163
DN1 thymic pro-T cell	CD8-positive, alpha-beta cytotoxic T cell	135
DN1 thymic pro-T cell	DN3 thymocyte	135
DN1 thymic pro-T cell	DN4 thymocyte	90
DN1 thymic pro-T cell	T follicular helper cell	114
DN1 thymic pro-T cell	capillary endothelial cell	144
DN1 thymic pro-T cell	endothelial cell of artery	185
DN1 thymic pro-T cell	endothelial cell of lymphatic vessel	176
DN1 thymic pro-T cell	erythrocyte	44
DN1 thymic pro-T cell	fibroblast	251
DN1 thymic pro-T cell	innate lymphoid cell	145
DN1 thymic pro-T cell	macrophage	167
DN1 thymic pro-T cell	mature NK T cell	93
DN1 thymic pro-T cell	medullary thymic epithelial cell	172
DN1 thymic pro-T cell	monocyte	112
DN1 thymic pro-T cell	myeloid dendritic cell	35
DN1 thymic pro-T cell	naive regulatory T cell	127
DN1 thymic pro-T cell	plasma cell	147
DN1 thymic pro-T cell	vascular associated smooth muscle cell	226
DN1 thymic pro-T cell	vein endothelial cell	220
DN3 thymocyte	B cell	194
DN3 thymocyte	CD4-positive helper T cell	187
DN3 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	150
DN3 thymocyte	DN1 thymic pro-T cell	145
DN3 thymocyte	DN4 thymocyte	107
DN3 thymocyte	T follicular helper cell	131
DN3 thymocyte	capillary endothelial cell	163
DN3 thymocyte	endothelial cell of artery	196
DN3 thymocyte	endothelial cell of lymphatic vessel	183
DN3 thymocyte	erythrocyte	48
DN3 thymocyte	fibroblast	254
DN3 thymocyte	innate lymphoid cell	162
DN3 thymocyte	macrophage	188
DN3 thymocyte	mature NK T cell	106
DN3 thymocyte	medullary thymic epithelial cell	185
DN3 thymocyte	monocyte	127
DN3 thymocyte	myeloid dendritic cell	38
DN3 thymocyte	naive regulatory T cell	149
DN3 thymocyte	plasma cell	167
DN3 thymocyte	vascular associated smooth muscle cell	234
DN3 thymocyte	vein endothelial cell	232
DN4 thymocyte	B cell	117
DN4 thymocyte	CD4-positive helper T cell	116
DN4 thymocyte	CD8-positive, alpha-beta cytotoxic T cell	94
DN4 thymocyte	DN1 thymic pro-T cell	96
DN4 thymocyte	DN3 thymocyte	91
DN4 thymocyte	T follicular helper cell	79
DN4 thymocyte	capillary endothelial cell	94
DN4 thymocyte	endothelial cell of artery	107
DN4 thymocyte	endothelial cell of lymphatic vessel	99
DN4 thymocyte	erythrocyte	28
DN4 thymocyte	fibroblast	135
DN4 thymocyte	innate lymphoid cell	105
DN4 thymocyte	macrophage	127
DN4 thymocyte	mature NK T cell	69
DN4 thymocyte	medullary thymic epithelial cell	108
DN4 thymocyte	monocyte	88
DN4 thymocyte	myeloid dendritic cell	29
DN4 thymocyte	naive regulatory T cell	91
DN4 thymocyte	plasma cell	97
DN4 thymocyte	vascular associated smooth muscle cell	124
DN4 thymocyte	vein endothelial cell	127
T follicular helper cell	B cell	173
T follicular helper cell	CD4-positive helper T cell	160
T follicular helper cell	CD8-positive, alpha-beta cytotoxic T cell	124
T follicular helper cell	DN1 thymic pro-T cell	127
T follicular helper cell	DN3 thymocyte	128
T follicular helper cell	DN4 thymocyte	85
T follicular helper cell	capillary endothelial cell	144
T follicular helper cell	endothelial cell of artery	177
T follicular helper cell	endothelial cell of lymphatic vessel	167
T follicular helper cell	erythrocyte	38
T follicular helper cell	fibroblast	235
T follicular helper cell	innate lymphoid cell	141
T follicular helper cell	macrophage	164
T follicular helper cell	mature NK T cell	88
T follicular helper cell	medullary thymic epithelial cell	172
T follicular helper cell	monocyte	107
