Region	Mucosa	Lamina_Propria_Crypt	Lamina_Propria_Endothelial_Plasma	Immune_Epithelium	Lamina_Propria_Immune	Stem	Crypt
HBM942.WHFC.488_reg001	4949.0	2821.0	3924.0	3128.0	305.0	2247.0	3261.0
HBM946.NWTV.278_reg001	4306.0	2884.0	6933.0	2420.0	2134.0	1312.0	3385.0
HBM352.MDZF.598_reg001	8456.0	2567.0	11810.0	1857.0	4811.0	1971.0	3327.0
HBM725.QFKT.594_reg001	2827.0	2016.0	3878.0	2268.0	297.0	1147.0	2685.0
HBM953.LMWQ.235_reg001	4547.0	1234.0	3509.0	2059.0	358.0	885.0	1500.0
HBM599.BFHP.494_reg001	10321.0	6881.0	2490.0	5096.0	397.0	893.0	4444.0
HBM636.GTZK.259_reg001	11348.0	3378.0	6902.0	1608.0	802.0	3185.0	3642.0
HBM578.XJZQ.389_reg001	2255.0	2831.0	1654.0	2936.0	196.0	1364.0	2143.0
HBM423.MMGW.744_reg001	3347.0	843.0	3452.0	1715.0	188.0	604.0	1630.0
HBM538.PGFT.538_reg001	801.0	687.0	1191.0	4589.0	41.0	2491.0	1803.0
HBM292.FCMS.497_reg001	3889.0	2086.0	2701.0	3804.0	182.0	1089.0	2691.0
HBM889.KDGM.632_reg001	1306.0	801.0	2085.0	11316.0	480.0	3199.0	4428.0
HBM657.JVPV.825_reg001	747.0	374.0	527.0	7087.0	52.0	1325.0	1370.0
HBM776.FNRJ.959_reg001	6910.0	7946.0	4058.0	5008.0	5484.0	2345.0	5743.0
HBM396.FNQW.543_reg001	12609.0	7034.0	4651.0	7277.0	1074.0	1685.0	4688.0
HBM634.MSKL.575_reg001	1404.0	1471.0	1059.0	3181.0	61.0	905.0	1622.0
HBM937.XPRG.696_reg001	3109.0	232.0	1486.0	14568.0	22.0	2200.0	2698.0
HBM658.HHLH.689_reg001	1905.0	214.0	1090.0	9854.0	85.0	114.0	637.0
HBM749.PPQP.849_reg001	10986.0	2326.0	3413.0	2814.0	1256.0	2138.0	2973.0
HBM754.SFBF.894_reg001	4227.0	205.0	923.0	7318.0	32.0	2132.0	1667.0
HBM946.GRVG.379_reg001	1049.0	631.0	1215.0	5383.0	33.0	2391.0	3317.0
HBM245.NHMB.685_reg001	3790.0	1355.0	3996.0	1064.0	1561.0	2084.0	2637.0
HBM753.VDXD.934_reg001	7077.0	3035.0	4031.0	2108.0	1419.0	2397.0	3399.0
HBM685.PCCJ.427_reg001	3179.0	3697.0	2666.0	3425.0	6385.0	4167.0	4084.0
HBM293.LGZW.236_reg001	2005.0	65.0	869.0	19007.0		1001.0	1518.0
HBM996.CGFD.228_reg001	625.0	227.0	1906.0	370.0	106.0	340.0	421.0
HBM676.VBCN.445_reg001	10627.0	3896.0	4883.0	822.0	2380.0	1328.0	3174.0
HBM494.VNTQ.422_reg001	9594.0	2851.0	11821.0	1974.0	2757.0	1452.0	3848.0
HBM972.WNBG.933_reg001	7410.0	216.0	1443.0	83.0	185.0	2059.0	1470.0
HBM994.KDNT.678_reg001	2197.0	1441.0	2697.0	1662.0	221.0	1678.0	2763.0
HBM524.VWGB.378_reg001	8591.0	8749.0	7318.0	7457.0	9698.0	3507.0	10815.0
HBM393.TMDX.795_reg001	4095.0	2699.0	382.0	15010.0	112.0	3468.0	3401.0
HBM393.TMDX.795_reg002	1294.0	2832.0	462.0	13590.0	263.0	3048.0	3324.0
HBM393.TMDX.795_reg003	945.0	1690.0	337.0	6392.0	160.0	1917.0	2221.0
HBM393.TMDX.795_reg004	1402.0	1441.0	223.0	5768.0	75.0	2559.0	1789.0
HBM886.NTZN.682_reg001	7128.0	473.0	2328.0	1432.0	346.0	786.0	1288.0
